Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),149.99,0.00,1717.60,,,,,,156.59,,189.06,195.14,205.27,51.69
Active Decode Throughput Per User (tokens/sec/user),38.88,0.00,572.53,,,,,,39.56,,47.86,49.50,62.56,14.34
Active Prefill Throughput (tokens/sec),190.97,23.48,521.74,,,,,,175.60,,342.31,415.91,422.50,98.24
Active Prefill Throughput Per User (tokens/sec/user),50.10,5.87,138.64,,,,,,43.90,,85.97,138.64,138.64,30.70
Active Total Throughput (tokens/sec),327.72,41.84,636.61,,,,,,327.57,,451.26,570.60,570.60,106.12
Credit-to-Start Latency (ms),1.49,0.46,5.51,74.66,0.55,0.70,0.83,0.99,1.19,1.61,2.08,3.24,4.95,0.90
Decode Duration (ms),3339.41,734.86,6433.28,166970.67,907.06,1716.09,1964.39,2635.82,3226.98,3981.06,4634.16,5009.12,6420.79,1129.62
E2E Output Token Throughput (tokens/sec/user),20.73,6.98,40.44,1036.70,9.39,13.63,16.62,17.81,19.26,21.22,25.74,39.11,40.03,6.43
Effective Concurrency,7.54,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,1.31
Effective Decode Concurrency,3.81,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.52
Effective Decode Throughput (tokens/sec),149.42,0.00,1717.60,,,,,,156.51,,189.06,195.14,204.56,52.42
Effective Decode Throughput Per User (tokens/sec/user),38.73,0.00,572.53,,,,,,39.55,,47.84,49.46,62.56,14.51
Effective Latency (CO-aware) (ms),6615.20,1254.77,12813.65,330759.98,1692.23,3416.02,4148.69,5849.85,6851.34,7722.28,8537.12,9066.42,11141.33,1913.50
Effective Prefill Concurrency,3.73,0.00,8.00,,,,,,4.00,,5.00,5.00,5.00,1.17
Effective Prefill Throughput (tokens/sec),178.28,0.00,521.74,,,,,,171.13,,310.39,415.91,422.50,106.17
Effective Prefill Throughput Per User (tokens/sec/user),46.77,0.00,138.64,,,,,,42.78,,85.58,138.64,138.64,32.18
Effective Total Throughput (tokens/sec),327.70,0.00,636.61,,,,,,327.57,,451.26,570.60,570.60,106.15
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,132.10,29.00,249.00,6605.00,38.80,67.40,84.10,104.25,132.00,157.25,178.80,195.10,245.08,42.36
HTTP Chunks Sent,1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.11,0.00,1.47,5.68,0.00,0.00,0.00,0.00,0.00,0.00,0.09,1.06,1.38,0.35
HTTP Connection Overhead (ms),0.16,0.00,2.11,7.99,0.00,0.00,0.00,0.00,0.00,0.00,0.12,1.46,1.93,0.49
