Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),119.29,0.00,824.07,,,,,,119.74,,143.72,151.22,166.97,25.41
Active Decode Throughput Per User (tokens/sec/user),46.82,0.00,824.07,,,,,,44.61,,60.72,63.72,66.17,16.53
Active Prefill Throughput (tokens/sec),315.02,96.94,316.60,,,,,,316.60,,316.60,316.60,316.60,14.43
Active Prefill Throughput Per User (tokens/sec/user),105.59,93.47,129.66,,,,,,105.53,,105.53,105.53,113.30,1.00
Active Total Throughput (tokens/sec),125.87,46.83,316.60,,,,,,134.67,,134.67,134.67,316.60,43.88
Credit-to-Start Latency (ms),1.36,1.13,1.51,4.09,1.13,1.16,1.19,1.29,1.45,1.48,1.50,1.51,1.51,0.17
Decode Duration (ms),3160.77,2565.92,3587.78,9482.30,2581.17,2642.18,2718.45,2947.26,3328.60,3458.19,3535.94,3561.86,3582.59,433.73
E2E Output Token Throughput (tokens/sec/user),43.49,40.90,45.55,130.48,40.97,41.22,41.53,42.46,44.03,44.79,45.25,45.40,45.52,1.94
Effective Concurrency,2.65,0.00,3.00,,,,,,3.00,,3.00,3.00,3.00,0.61
Effective Decode Concurrency,2.55,0.00,3.00,,,,,,3.00,,3.00,3.00,3.00,0.77
Effective Decode Throughput (tokens/sec),115.24,0.00,824.07,,,,,,117.35,,143.72,151.22,163.77,33.02
Effective Decode Throughput Per User (tokens/sec/user),45.23,0.00,824.07,,,,,,44.24,,60.32,63.72,66.17,18.32
Effective Latency (CO-aware) (ms),3285.26,2690.77,3711.50,9855.79,2706.02,2767.04,2843.32,3072.14,3453.52,3582.51,3659.91,3685.71,3706.34,433.37
Effective Prefill Concurrency,0.10,0.00,3.00,,,,,,0.00,,0.00,0.00,3.00,0.54
Effective Prefill Throughput (tokens/sec),10.50,0.00,316.60,,,,,,0.00,,0.00,0.00,316.60,56.61
Effective Prefill Throughput Per User (tokens/sec/user),3.52,0.00,129.66,,,,,,0.00,,0.00,0.00,105.53,18.95
Effective Total Throughput (tokens/sec),125.75,0.00,316.60,,,,,,134.67,,134.67,134.67,316.60,44.04
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,143.67,110.00,169.00,431.00,110.84,114.20,118.40,131.00,152.00,160.50,165.60,167.30,168.66,24.80
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),1.21,0.81,1.45,3.62,0.82,0.86,0.92,1.08,1.36,1.41,1.43,1.44,1.45,0.29
HTTP Connection Overhead (ms),1.70,1.15,1.99,5.11,1.17,1.23,1.31,1.56,1.97,1.98,1.98,1.98,1.99,0.39
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),37.17,28.56,43.63,111.50,28.77,29.63,30.71,33.93,39.31,41.47,42.77,43.20,43.55,6.34
HTTP Data Sent (KB),0.23,0.22,0.26,0.70,0.22,0.22,0.22,0.22,0.22,0.24,0.25,0.25,0.26,0.02
HTTP DNS Lookup (ms),0.50,0.34,0.62,1.49,0.35,0.36,0.38,0.44,0.53,0.57,0.60,0.61,0.61,0.11
HTTP Duration (excl. conn) (ms),3283.67,2689.03,3709.81,9851.00,2704.29,2765.34,2841.66,3070.60,3452.16,3580.99,3658.28,3684.05,3704.66,433.43
HTTP Receiving (ms),3160.83,2565.96,3587.85,9482.49,2581.22,2642.23,2718.51,2947.32,3328.68,3458.26,3536.01,3561.93,3582.66,433.74
HTTP Sending (ms),1.69,1.18,2.09,5.06,1.19,1.24,1.30,1.49,1.80,1.94,2.03,2.06,2.08,0.38
HTTP Total Time (ms),3285.37,2691.02,3710.96,9856.11,2706.28,2767.33,2843.64,3072.58,3454.14,3582.55,3659.60,3685.28,3705.82,433.15
HTTP Waiting (TTFB) (ms),121.15,120.79,121.69,363.45,120.79,120.81,120.82,120.88,120.98,121.33,121.55,121.62,121.67,0.39
Input Sequence Length (tokens),13.00,11.00,16.00,39.00,11.02,11.10,11.20,11.50,12.00,14.00,15.20,15.60,15.92,2.16
Inter Chunk Latency (ms),22.15,1.21,29.66,9482.30,15.32,15.80,17.15,19.77,22.39,25.21,26.61,27.13,28.11,3.60
Inter Token Latency (ms),22.31,21.36,23.54,66.94,21.37,21.42,21.49,21.70,22.04,22.79,23.24,23.39,23.51,0.91
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),143.67,110.00,169.00,431.00,110.84,114.20,118.40,131.00,152.00,160.50,165.60,167.30,168.66,24.80
