Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),144.51,0.00,1571.68,,,,,,154.30,,188.09,194.76,203.43,54.06
Active Decode Throughput Per User (tokens/sec/user),38.09,0.00,570.31,,,,,,39.23,,47.79,49.57,63.70,14.81
Active Prefill Throughput (tokens/sec),1858.09,41.50,5250.78,,,,,,1664.56,,3668.25,4279.23,4371.98,1321.70
Active Prefill Throughput Per User (tokens/sec/user),1849.15,41.50,4371.98,,,,,,1664.56,,3668.25,4279.23,4371.98,1317.51
Active Total Throughput (tokens/sec),441.12,45.96,5324.46,,,,,,153.72,,1337.53,2738.07,4388.78,850.95
Credit-to-Start Latency (ms),1.41,0.54,3.49,70.45,0.61,0.72,0.92,1.00,1.18,1.54,2.07,3.26,3.47,0.69
Decode Duration (ms),3315.60,798.74,6610.52,165780.05,993.99,1517.05,1915.63,2604.84,3177.83,4196.00,4646.81,4980.55,5937.05,1143.42
E2E Output Token Throughput (tokens/sec/user),37.08,28.56,44.93,1853.88,31.17,34.04,34.55,35.80,37.24,38.12,39.44,39.83,43.14,2.30
Effective Concurrency,3.91,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.41
Effective Decode Concurrency,3.74,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.56
Effective Decode Throughput (tokens/sec),144.05,0.00,1571.68,,,,,,154.15,,188.09,194.76,203.43,54.58
Effective Decode Throughput Per User (tokens/sec/user),37.97,0.00,570.31,,,,,,39.22,,47.79,49.57,63.70,14.94
Effective Latency (CO-aware) (ms),3467.48,1016.51,6699.65,173374.11,1161.48,1729.62,2041.38,2710.90,3330.08,4385.47,4846.76,5128.00,6050.27,1140.82
Effective Prefill Concurrency,0.17,0.00,4.00,,,,,,0.00,,1.00,1.00,1.00,0.42
Effective Prefill Throughput (tokens/sec),297.04,0.00,5250.78,,,,,,0.00,,1220.21,2622.18,4279.23,861.95
Effective Prefill Throughput Per User (tokens/sec/user),295.61,0.00,4371.98,,,,,,0.00,,1220.21,2622.18,4279.23,858.34
Effective Total Throughput (tokens/sec),441.09,0.00,5324.46,,,,,,153.72,,1337.53,2738.07,4388.78,850.93
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,128.62,29.00,249.00,6431.00,38.80,63.80,75.80,104.00,125.50,157.25,178.80,195.10,225.97,42.31
HTTP Chunks Sent,1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.02,0.00,1.09,1.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.55,0.15
HTTP Connection Overhead (ms),0.03,0.00,1.68,1.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.86,0.24
HTTP Connection Reused (ratio),0.98,0.00,1.00,49.00,0.49,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.14
HTTP Data Received (KB),33.33,7.78,64.11,1666.36,10.32,16.71,19.75,27.03,32.51,40.68,46.20,50.36,58.26,10.84
HTTP Data Sent (KB),1.37,0.15,6.21,68.67,0.15,0.15,0.16,0.18,0.80,1.96,3.49,4.31,5.79,1.47
HTTP DNS Lookup (ms),0.01,0.00,0.60,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.08
HTTP Duration (excl. conn) (ms),3465.95,1015.11,6696.96,173297.28,1160.21,1727.40,2040.31,2709.37,3328.73,4384.24,4845.30,5125.44,6048.29,1140.71
HTTP Receiving (ms),3315.61,798.74,6610.56,165780.40,994.00,1517.05,1915.65,2604.84,3177.83,4195.99,4646.81,4980.55,5937.08,1143.42
HTTP Sending (ms),0.30,0.10,1.55,14.95,0.12,0.15,0.16,0.22,0.28,0.32,0.37,0.38,1.00,0.19
HTTP Total Time (ms),3465.98,1015.11,6696.96,173298.97,1160.21,1727.40,2040.31,2709.37,3328.73,4384.24,4845.30,5125.44,6048.29,1140.71
HTTP Waiting (TTFB) (ms),150.04,83.47,290.47,7501.93,84.75,90.57,97.39,105.65,141.34,176.47,216.68,241.84,279.14,49.95
Input Sequence Length (tokens),263.16,6.00,1272.00,13158.00,6.49,7.45,8.90,11.50,149.00,385.00,708.00,877.45,1180.86,306.62
Inter Chunk Latency (ms),25.98,1.73,139.66,165780.05,14.69,20.09,20.66,22.06,24.55,26.63,28.07,29.37,94.38,11.63
Inter Token Latency (ms),25.91,21.76,28.53,1295.52,22.41,23.62,24.54,25.25,25.85,26.70,27.68,27.99,28.32,1.31
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),128.62,29.00,249.00,6431.00,38.80,63.80,75.80,104.00,125.50,157.25,178.80,195.10,225.97,42.31
Output Token Throughput Per User (tokens/sec/user),38.70,35.06,45.96,1934.87,35.31,35.73,36.12,37.45,38.69,39.61,40.74,42.34,44.66,2.04
Prefill Throughput Per User (tokens/sec/user),1369.36,41.50,4371.98,68468.19,48.27,63.75,73.00,124.88,1169.70,2141.21,3460.12,3639.27,4326.53,1254.72
Reasoning Token Count (tokens),128.62,29.00,249.00,6431.00,38.80,63.80,75.80,104.00,125.50,157.25,178.80,195.10,225.97,42.31
Request Latency (ms),3466.07,1015.31,6697.10,173303.66,1160.36,1727.50,2040.44,2709.48,3328.84,4384.36,4845.43,5125.55,6048.42,1140.71
Time to First Token (ms),150.47,84.03,290.94,7523.61,85.28,90.94,97.91,106.10,142.23,176.87,217.14,242.35,279.52,49.95
Time to Second Token (ms),25.16,7.29,101.06,1257.77,13.20,20.18,20.38,21.20,23.27,26.78,28.20,28.76,66.83,11.49
Tokens In Flight (tokens),1297.26,0.00,2820.00,,,,,,1170.00,,2377.00,2556.00,2750.00,714.44

Metric,Value
Benchmark Duration (sec),44.29
Input Token Throughput (tokens/sec),297.04
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),145.18
Request Count,50.00
Request Throughput (requests/sec),1.13
Total Input Sequence Length (tokens),13158.00
Total Output Sequence Length (tokens),6431.00
Total Reasoning Tokens (tokens),6431.00
Total Token Throughput (tokens/sec),442.22
