Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),101.05,0.00,1373.67,,,,,,100.88,,122.13,124.33,128.44,22.66
Active Decode Throughput Per User (tokens/sec/user),51.32,0.00,1373.67,,,,,,50.70,,61.34,62.54,67.42,11.73
Active Prefill Throughput (tokens/sec),4896.96,58.21,13806.83,,,,,,4285.62,,9358.61,12330.40,13806.83,3199.69
Active Prefill Throughput Per User (tokens/sec/user),4896.19,58.21,13806.83,,,,,,4285.62,,9358.61,12330.40,13806.83,3200.85
Active Total Throughput (tokens/sec),310.41,49.29,13858.77,,,,,,103.93,,105.60,111.51,5398.52,1182.65
Credit-to-Start Latency (ms),2.30,0.84,4.16,114.95,0.93,1.17,1.48,1.84,2.26,2.80,3.29,3.55,3.95,0.72
Decode Duration (ms),9910.83,2155.19,19116.54,495541.25,2900.47,4803.42,5825.09,8118.98,9737.86,11951.69,14033.80,14760.36,17378.36,3232.92
E2E Output Token Throughput (tokens/sec/user),50.81,42.60,58.28,2540.35,44.46,48.06,49.20,50.18,51.14,51.67,52.24,52.44,55.46,1.99
Effective Concurrency,1.99,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.12
Effective Decode Concurrency,1.94,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.24
Effective Decode Throughput (tokens/sec),101.00,0.00,1373.67,,,,,,100.88,,122.13,124.33,128.44,22.78
Effective Decode Throughput Per User (tokens/sec/user),51.30,0.00,1373.67,,,,,,50.70,,61.34,62.54,67.42,11.78
Effective Latency (CO-aware) (ms),10134.00,2678.11,19207.23,506700.23,3252.83,5151.15,5919.36,8459.31,9960.02,12094.61,14398.97,15048.92,17529.61,3218.32
Effective Prefill Concurrency,0.04,0.00,2.00,,,,,,0.00,,0.00,0.00,1.00,0.21
Effective Prefill Throughput (tokens/sec),209.41,0.00,13806.83,,,,,,0.00,,0.00,0.00,5347.75,1191.39
Effective Prefill Throughput Per User (tokens/sec/user),209.38,0.00,13806.83,,,,,,0.00,,0.00,0.00,5347.75,1191.40
Effective Total Throughput (tokens/sec),310.40,0.00,13858.77,,,,,,103.93,,105.60,111.51,5398.52,1182.64
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,515.64,114.00,993.00,25782.00,153.69,253.20,301.10,414.00,502.00,627.25,712.30,778.85,901.86,166.22
HTTP Chunks Sent,1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,0.69,0.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.10
HTTP Connection Overhead (ms),0.01,0.00,0.69,0.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.10
HTTP Connection Reused (ratio),0.98,0.00,1.00,49.00,0.49,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.14
HTTP Data Received (KB),132.43,29.60,254.79,6621.33,39.75,65.25,77.42,106.40,129.05,160.75,182.98,199.83,231.43,42.55
HTTP Data Sent (KB),4.82,0.15,21.62,240.78,0.15,0.16,0.16,0.18,2.97,7.73,11.98,14.92,20.02,5.20
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),10131.58,2675.78,19204.85,506578.77,3250.52,5149.41,5917.17,8457.15,9957.70,12092.71,14395.83,15046.31,17527.35,3218.26
HTTP Receiving (ms),9910.83,2155.21,19116.54,495541.70,2900.49,4803.42,5825.09,8118.99,9737.86,11951.69,14033.81,14760.35,17378.35,3232.92
HTTP Sending (ms),0.29,0.11,0.96,14.33,0.11,0.15,0.16,0.24,0.28,0.33,0.35,0.37,0.70,0.12
HTTP Total Time (ms),10131.59,2675.78,19204.85,506579.46,3250.52,5149.79,5917.17,8457.15,9957.70,12092.71,14395.83,15046.31,17527.35,3218.23
HTTP Waiting (TTFB) (ms),220.45,72.18,567.41,11022.74,72.51,73.30,75.51,86.79,199.67,290.47,449.02,463.74,544.37,134.08
Input Sequence Length (tokens),1068.40,6.00,4758.00,53420.00,6.49,8.00,9.00,15.00,664.00,1722.25,2621.50,3262.95,4405.20,1162.62
Inter Chunk Latency (ms),19.26,0.73,270.12,495541.25,15.02,15.95,16.24,17.14,19.20,20.57,21.29,21.91,23.75,6.79
Inter Token Latency (ms),19.22,16.90,20.29,960.80,17.75,18.78,18.90,18.98,19.18,19.49,19.70,19.88,20.17,0.48
OSL Mismatch Diff % (%),-0.01,-0.16,0.00,-0.41,-0.16,-0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03
Output Sequence Length (tokens),516.28,114.00,994.00,25814.00,153.69,253.20,301.10,416.25,502.00,627.25,715.00,778.85,902.37,166.55
Output Token Count (tokens),94.00,44.00,155.00,282.00,44.78,47.90,51.80,63.50,83.00,119.00,140.60,147.80,153.56,45.98
Output Token Throughput Per User (tokens/sec/user),52.07,49.29,59.16,2603.70,49.57,50.30,50.75,51.32,52.14,52.68,52.91,53.26,56.46,1.37
Prefill Throughput Per User (tokens/sec/user),3642.41,58.21,13806.82,182120.47,62.23,87.82,112.29,177.53,3406.64,4385.98,8862.59,12099.95,13333.62,3545.64
Reasoning Token Count (tokens),510.64,114.00,950.00,25532.00,153.69,253.20,301.10,416.25,502.00,615.75,715.00,778.85,879.93,161.93
Request Latency (ms),10131.71,2675.84,19204.97,506585.28,3250.63,5149.51,5917.25,8457.28,9957.84,12092.80,14395.95,15046.47,17527.49,3218.26
Time to First Output Token (ms),13155.42,10388.56,18393.40,39466.27,10394.48,10418.14,10447.71,10536.43,10684.30,14538.85,16851.58,17622.49,18239.22,3705.78
Time to First Token (ms),220.88,72.66,567.63,11044.03,72.87,73.77,75.96,87.32,199.97,290.85,449.45,464.24,544.61,134.06
Time to Second Token (ms),18.67,2.14,22.32,933.70,8.73,16.21,16.73,17.39,19.07,20.19,21.38,21.79,22.32,2.91
Tokens In Flight (tokens),2642.27,0.00,7301.00,,,,,,2484.00,,4769.03,6054.89,7035.00,1550.09

Metric,Value
Benchmark Duration (sec),255.10
Input Token Throughput (tokens/sec),209.41
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),101.19
Request Count,50.00
Request Throughput (requests/sec),0.20
Total Input Sequence Length (tokens),53420.00
Total Output Sequence Length (tokens),25814.00
Total Output Tokens (tokens),282.00
Total Reasoning Tokens (tokens),25532.00
Total Token Throughput (tokens/sec),310.60
