Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),91.55,0.00,577.67,,,,,,96.46,,119.84,124.57,128.95,22.34
Active Decode Throughput Per User (tokens/sec/user),58.33,0.00,577.67,,,,,,57.32,,74.91,78.62,82.40,11.91
Active Prefill Throughput (tokens/sec),1753.13,97.75,2841.55,,,,,,2841.55,,2841.55,2841.55,2841.55,1286.50
Active Prefill Throughput Per User (tokens/sec/user),1704.97,97.75,2841.55,,,,,,2841.55,,2841.55,2841.55,2841.55,1343.37
Active Total Throughput (tokens/sec),118.46,52.38,2893.93,,,,,,105.62,,115.84,115.84,234.88,267.75
Credit-to-Start Latency (ms),2.48,1.25,4.59,7.44,1.26,1.29,1.32,1.42,1.59,3.09,3.99,4.29,4.53,1.50
Decode Duration (ms),10974.06,9241.13,12886.70,32922.17,9272.19,9396.45,9551.77,10017.74,10794.35,11840.52,12468.23,12677.46,12844.85,1493.71
E2E Output Token Throughput (tokens/sec/user),55.67,51.92,62.47,167.00,51.93,51.99,52.06,52.26,52.60,57.54,60.50,61.49,62.28,4.82
Effective Concurrency,1.64,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.48
Effective Decode Concurrency,1.62,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.50
Effective Decode Throughput (tokens/sec),90.94,0.00,577.67,,,,,,96.41,,119.81,124.57,128.95,23.47
Effective Decode Throughput Per User (tokens/sec/user),57.94,0.00,577.67,,,,,,57.27,,74.84,78.62,82.40,12.78
Effective Latency (CO-aware) (ms),11126.68,9373.65,13021.28,33380.03,9405.88,9534.79,9695.94,10179.38,10985.10,12003.19,12614.05,12817.66,12980.56,1492.50
Effective Prefill Concurrency,0.02,0.00,2.00,,,,,,0.00,,0.00,0.00,1.00,0.19
Effective Prefill Throughput (tokens/sec),27.50,0.00,2841.55,,,,,,0.00,,0.00,0.00,234.88,270.94
Effective Prefill Throughput Per User (tokens/sec/user),26.74,0.00,2841.55,,,,,,0.00,,0.00,0.00,117.44,270.53
Effective Total Throughput (tokens/sec),118.44,0.00,2893.93,,,,,,105.62,,115.84,115.84,234.88,267.72
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,618.33,493.00,686.00,1855.00,496.66,511.30,529.60,584.50,676.00,681.00,684.00,685.00,685.80,88.72
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.74,0.00,1.38,2.23,0.02,0.09,0.17,0.43,0.86,1.12,1.27,1.32,1.37,0.57
HTTP Connection Overhead (ms),1.06,0.00,1.90,3.17,0.03,0.13,0.25,0.64,1.27,1.59,1.77,1.84,1.89,0.79
HTTP Connection Reused (ratio),0.33,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.50,0.80,0.90,0.98,0.47
HTTP Data Received (KB),158.73,126.59,176.04,476.18,127.53,131.29,135.98,150.07,173.54,174.79,175.54,175.79,175.99,22.74
HTTP Data Sent (KB),0.94,0.21,2.39,2.83,0.21,0.21,0.21,0.22,0.23,1.31,1.96,2.18,2.35,1.02
HTTP DNS Lookup (ms),0.31,0.00,0.52,0.94,0.01,0.04,0.08,0.21,0.41,0.47,0.50,0.51,0.52,0.23
HTTP Duration (excl. conn) (ms),11123.99,9372.23,13019.45,33371.97,9404.39,9533.04,9693.84,10176.26,10980.29,11999.87,12611.62,12815.54,12978.67,1492.43
HTTP Receiving (ms),10974.13,9241.23,12886.82,32922.40,9272.29,9396.54,9551.85,10017.79,10794.36,11840.59,12468.32,12677.57,12844.97,1493.72
HTTP Sending (ms),1.22,0.47,1.93,3.65,0.48,0.55,0.62,0.86,1.24,1.59,1.80,1.87,1.92,0.60
HTTP Total Time (ms),11125.05,9373.51,13021.35,33375.15,9405.64,9534.18,9694.86,10176.90,10980.29,12000.82,12613.14,12817.25,12980.53,1492.74
HTTP Waiting (TTFB) (ms),148.64,129.76,185.46,445.93,129.78,129.86,129.95,130.23,130.70,158.08,174.51,179.99,184.37,26.04
Input Sequence Length (tokens),186.67,13.00,529.00,560.00,13.10,13.50,14.00,15.50,18.00,273.50,426.80,477.90,518.78,242.07
Inter Chunk Latency (ms),17.78,1.73,100.09,32922.17,12.14,12.78,13.71,15.86,17.71,20.14,20.92,21.41,23.03,3.60
Inter Token Latency (ms),17.88,15.76,19.09,53.63,15.82,16.06,16.36,17.27,18.78,18.94,19.03,19.06,19.09,1.50
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),618.33,493.00,686.00,1855.00,496.66,511.30,529.60,584.50,676.00,681.00,684.00,685.00,685.80,88.72
Output Token Throughput Per User (tokens/sec/user),56.36,52.38,63.46,169.08,52.40,52.47,52.55,52.81,53.24,58.35,61.42,62.44,63.25,5.03
Prefill Throughput Per User (tokens/sec/user),1025.48,97.75,2841.55,3076.43,98.54,101.69,105.63,117.44,137.13,1489.34,2300.67,2571.11,2787.46,1284.26
Reasoning Token Count (tokens),618.33,493.00,686.00,1855.00,496.66,511.30,529.60,584.50,676.00,681.00,684.00,685.00,685.80,88.72
Request Latency (ms),11124.20,9372.39,13019.69,33372.60,9404.56,9533.21,9694.02,10176.45,10980.51,12000.10,12611.85,12815.77,12978.90,1492.46
Time to First Token (ms),150.14,131.27,186.17,450.42,131.30,131.44,131.61,132.13,132.99,159.58,175.53,180.85,185.10,25.48
Time to Second Token (ms),13.24,1.73,22.75,39.71,2.00,3.08,4.43,8.48,15.23,18.99,21.24,22.00,22.60,8.70
Tokens In Flight (tokens),800.63,0.00,1400.00,,,,,,862.00,,1202.00,1290.00,1376.00,351.89

Metric,Value
Benchmark Duration (sec),20.36
Input Token Throughput (tokens/sec),27.50
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),91.09
Request Count,3.00
Request Throughput (requests/sec),0.15
Total Input Sequence Length (tokens),560.00
Total Output Sequence Length (tokens),1855.00
Total Reasoning Tokens (tokens),1855.00
Total Token Throughput (tokens/sec),118.58
