Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),64.67,0.00,183.14,,,,,,63.31,,73.94,77.60,82.06,7.00
Active Decode Throughput Per User (tokens/sec/user),64.67,0.00,183.14,,,,,,63.31,,73.94,77.60,82.06,7.00
Active Prefill Throughput (tokens/sec),3648.98,162.17,4583.01,,,,,,3832.75,,4583.01,4583.01,4583.01,1478.79
Active Prefill Throughput Per User (tokens/sec/user),3648.98,162.17,4583.01,,,,,,3832.75,,4583.01,4583.01,4583.01,1478.79
Active Total Throughput (tokens/sec),137.32,63.74,4583.01,,,,,,64.67,,65.09,65.09,3832.75,547.21
Credit-to-Start Latency (ms),1.53,1.10,2.03,4.59,1.11,1.14,1.17,1.28,1.47,1.75,1.91,1.97,2.01,0.38
Decode Duration (ms),7519.73,4596.68,10354.73,22559.18,4656.90,4897.79,5198.90,6102.23,7607.77,8981.25,9805.34,10080.04,10299.79,2351.54
E2E Output Token Throughput (tokens/sec/user),63.10,61.53,64.76,189.30,61.56,61.68,61.83,62.27,63.00,63.88,64.41,64.59,64.73,1.32
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.02
Effective Decode Concurrency,0.98,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.14
Effective Decode Throughput (tokens/sec),63.33,0.00,183.14,,,,,,63.21,,73.81,77.54,81.91,11.52
Effective Decode Throughput Per User (tokens/sec/user),63.33,0.00,183.14,,,,,,63.21,,73.81,77.54,81.91,11.52
Effective Latency (CO-aware) (ms),7676.83,4780.04,10424.03,23030.48,4840.96,5084.67,5389.31,6303.23,7826.41,9125.22,9904.51,10164.27,10372.08,2306.58
Effective Prefill Concurrency,0.02,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.14
Effective Prefill Throughput (tokens/sec),73.93,0.00,4583.01,,,,,,0.00,,0.00,0.00,3832.75,555.51
Effective Prefill Throughput Per User (tokens/sec/user),73.93,0.00,4583.01,,,,,,0.00,,0.00,0.00,3832.75,555.51
