Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),98.09,0.00,823.23,,,,,,98.82,,115.06,119.11,126.10,20.12
Active Decode Throughput Per User (tokens/sec/user),49.57,0.00,823.23,,,,,,49.53,,57.86,60.01,65.26,10.46
Active Prefill Throughput (tokens/sec),4141.27,54.31,11754.26,,,,,,3937.82,,10664.14,11501.20,11754.26,2873.09
Active Prefill Throughput Per User (tokens/sec/user),4140.14,54.31,11754.26,,,,,,3937.82,,10664.14,11501.20,11754.26,2874.67
Active Total Throughput (tokens/sec),256.94,47.84,11802.27,,,,,,100.08,,101.39,118.49,4444.43,966.56
Credit-to-Start Latency (ms),2.14,0.83,3.53,106.84,0.86,1.05,1.22,1.63,2.20,2.66,2.97,3.22,3.49,0.69
Decode Duration (ms),10272.16,2151.48,19675.45,513607.81,2991.91,5186.21,5881.96,8166.90,10123.83,12483.99,14235.73,15389.84,17759.61,3302.54
E2E Output Token Throughput (tokens/sec/user),49.34,45.34,59.72,2467.25,46.22,47.35,47.67,48.51,49.07,49.58,50.16,52.58,57.75,2.14
Effective Concurrency,1.99,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.08
Effective Decode Concurrency,1.95,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.21
Effective Decode Throughput (tokens/sec),98.04,0.00,823.23,,,,,,98.81,,115.06,119.11,126.09,20.24
Effective Decode Throughput Per User (tokens/sec/user),49.54,0.00,823.23,,,,,,49.53,,57.86,60.01,65.26,10.51
Effective Latency (CO-aware) (ms),10479.32,2279.72,19949.56,523965.76,3121.41,5394.22,6078.90,8460.70,10368.20,12705.21,14457.17,15497.39,18033.97,3303.47
Effective Prefill Concurrency,0.04,0.00,2.00,,,,,,0.00,,0.00,0.00,1.00,0.20
Effective Prefill Throughput (tokens/sec),158.90,0.00,11754.26,,,,,,0.00,,0.00,0.00,4395.35,974.44
Effective Prefill Throughput Per User (tokens/sec/user),158.86,0.00,11754.26,,,,,,0.00,,0.00,0.00,4395.35,974.44
Effective Total Throughput (tokens/sec),256.94,0.00,11802.27,,,,,,100.08,,101.39,118.49,4444.43,966.55
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,515.88,114.00,995.00,25794.00,153.69,267.15,332.60,415.25,502.00,627.25,705.90,775.00,890.63,163.22
HTTP Chunks Sent,1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,0.44,0.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.06
HTTP Connection Overhead (ms),0.01,0.00,0.44,0.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.06
HTTP Connection Reused (ratio),0.98,0.00,1.00,49.00,0.49,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.14
HTTP Data Received (KB),132.40,29.61,254.78,6620.02,39.73,68.80,85.46,106.63,128.85,160.85,181.23,198.77,228.21,41.78
HTTP Data Sent (KB),3.64,0.17,15.66,181.77,0.17,0.17,0.18,0.22,2.62,5.02,9.02,11.76,14.62,3.87
