Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),76.07,0.00,206.56,,,,,,76.65,,81.30,82.87,87.82,5.80
Active Decode Throughput Per User (tokens/sec/user),76.07,0.00,206.56,,,,,,76.65,,81.30,82.87,87.82,5.80
Active Prefill Throughput (tokens/sec),5673.57,111.00,16086.37,,,,,,5550.49,,12085.43,14633.63,16086.37,3513.79
Active Prefill Throughput Per User (tokens/sec/user),5673.57,111.00,16086.37,,,,,,5550.49,,12085.43,14633.63,16086.37,3513.79
Active Total Throughput (tokens/sec),223.44,74.92,16086.37,,,,,,76.17,,76.54,76.55,5586.47,1062.19
Credit-to-Start Latency (ms),1.33,0.59,3.49,66.40,0.59,0.63,0.69,0.85,1.28,1.56,1.99,2.02,3.05,0.55
Decode Duration (ms),6712.45,1495.64,13196.79,335622.35,2002.56,3504.86,4357.04,5443.63,6597.10,8133.98,8899.75,9971.81,11766.65,2105.45
E2E Output Token Throughput (tokens/sec/user),73.91,63.34,76.08,3695.71,66.68,70.64,71.02,73.19,74.38,75.37,75.92,75.99,76.05,2.17
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.02
Effective Decode Concurrency,0.97,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.16
Effective Decode Throughput (tokens/sec),74.03,0.00,206.56,,,,,,76.47,,81.23,82.81,87.66,13.55
Effective Decode Throughput Per User (tokens/sec/user),74.03,0.00,206.56,,,,,,76.47,,81.23,82.81,87.66,13.55
Effective Latency (CO-aware) (ms),6895.28,1801.03,13402.58,344763.81,2196.30,3741.94,4480.03,5664.36,6756.38,8363.74,9087.00,10124.24,11970.97,2095.35
Effective Prefill Concurrency,0.03,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.16
Effective Prefill Throughput (tokens/sec),149.30,0.00,16086.37,,,,,,0.00,,0.00,0.00,5586.47,1072.23
Effective Prefill Throughput Per User (tokens/sec/user),149.30,0.00,16086.37,,,,,,0.00,,0.00,0.00,5586.47,1072.23
Effective Total Throughput (tokens/sec),223.33,0.00,16086.37,,,,,,76.17,,76.54,76.55,5586.47,1061.94
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,510.50,114.00,995.00,25525.00,153.69,267.15,332.60,413.75,502.00,618.50,677.60,755.55,890.14,159.20
HTTP Chunks Sent,1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),131.04,29.60,254.35,6552.00,39.78,68.82,85.68,106.33,128.89,158.84,173.28,194.00,228.10,40.68
HTTP Data Sent (KB),4.45,0.15,17.67,222.73,0.15,0.16,0.16,0.44,3.40,6.15,10.94,12.40,16.51,4.32
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),6893.89,1799.63,13400.98,344694.32,2195.01,3741.15,4479.26,5662.82,6754.67,8361.67,9085.87,10123.20,11969.52,2095.25
HTTP Receiving (ms),6712.47,1495.65,13196.81,335623.27,2002.56,3504.88,4357.05,5443.65,6597.11,8133.99,8899.77,9971.82,11766.69,2105.45
HTTP Sending (ms),0.12,0.09,0.17,6.10,0.09,0.09,0.09,0.10,0.11,0.15,0.16,0.16,0.17,0.03
HTTP Total Time (ms),6893.89,1799.63,13400.98,344694.32,2195.01,3741.15,4479.26,5662.82,6754.67,8361.67,9085.87,10123.20,11969.52,2095.25
HTTP Waiting (TTFB) (ms),181.30,62.85,460.04,9064.95,63.12,64.93,66.17,82.94,162.77,236.53,314.18,376.34,439.80,99.99
Input Sequence Length (tokens),1029.76,7.00,3789.00,51488.00,7.49,8.45,9.00,65.25,739.00,1497.25,2577.80,2886.40,3535.67,978.94
Inter Chunk Latency (ms),13.17,7.07,41.26,335622.35,11.23,12.06,12.30,12.61,13.02,13.58,14.18,14.75,16.14,1.11
Inter Token Latency (ms),13.14,13.04,13.35,657.19,13.05,13.06,13.07,13.10,13.13,13.18,13.23,13.27,13.31,0.07
OSL Mismatch Diff % (%),-0.01,-0.24,0.00,-0.57,-0.21,-0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05
Output Sequence Length (tokens),511.62,114.00,995.00,25581.00,153.69,267.15,332.60,414.50,502.00,618.50,677.70,760.15,890.63,159.55
Output Token Count (tokens),30.50,17.00,44.00,61.00,17.27,18.35,19.70,23.75,30.50,37.25,41.30,42.65,43.73,13.50
Output Token Throughput Per User (tokens/sec/user),76.08,74.92,76.67,3804.19,75.11,75.33,75.59,75.85,76.17,76.35,76.50,76.55,76.64,0.38
Prefill Throughput Per User (tokens/sec/user),4506.25,111.00,16086.40,225312.33,114.32,121.92,133.61,694.36,4584.68,5598.23,6591.94,13928.87,15654.06,3899.30
Reasoning Token Count (tokens),510.40,114.00,995.00,25520.00,153.69,267.15,332.60,413.75,502.00,618.50,671.30,760.15,890.63,158.79
Request Latency (ms),6893.95,1799.68,13401.05,344697.41,2195.06,3741.21,4479.32,5662.90,6754.74,8361.74,9085.93,10123.26,11969.58,2095.25
Time to First Output Token (ms),7108.62,5291.51,8925.72,14217.23,5327.86,5473.22,5654.93,6200.06,7108.62,8017.17,8562.30,8744.01,8889.38,1817.10
Time to First Token (ms),181.50,63.06,460.20,9075.06,63.30,65.13,66.36,83.09,163.02,236.70,314.37,376.59,440.00,100.00
Time to Second Token (ms),11.99,9.63,14.04,599.27,9.77,10.40,10.82,11.47,12.02,12.56,13.24,13.47,13.90,0.94
Tokens In Flight (tokens),1346.08,0.00,4444.00,,,,,,1073.00,,3068.00,3571.00,4184.21,1061.23

Metric,Value
Benchmark Duration (sec),344.86
Input Token Throughput (tokens/sec),149.30
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),74.18
Request Count,50.00
Request Throughput (requests/sec),0.14
Total Input Sequence Length (tokens),51488.00
Total Output Sequence Length (tokens),25581.00
Total Output Tokens (tokens),61.00
Total Reasoning Tokens (tokens),25520.00
Total Token Throughput (tokens/sec),223.48
