Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),110.04,0.00,203.41,,,,,,117.47,,125.51,128.88,138.42,19.81
Active Decode Throughput Per User (tokens/sec/user),62.12,0.00,161.82,,,,,,60.34,,76.10,79.34,83.43,8.75
Active Prefill Throughput (tokens/sec),1391.09,140.26,2030.06,,,,,,2030.06,,2030.06,2030.06,2030.06,815.43
Active Prefill Throughput Per User (tokens/sec/user),1324.45,140.26,2030.06,,,,,,2030.06,,2030.06,2030.06,2030.06,900.48
Active Total Throughput (tokens/sec),131.58,58.96,2089.02,,,,,,122.59,,122.59,122.59,350.55,197.81
Credit-to-Start Latency (ms),2.06,1.37,3.34,6.17,1.37,1.38,1.39,1.42,1.46,2.40,2.96,3.15,3.30,0.91
Decode Duration (ms),8435.86,4351.06,11448.70,25307.58,4454.19,4866.74,5382.41,6929.44,9507.82,10478.26,11060.52,11254.61,11409.88,2995.10
E2E Output Token Throughput (tokens/sec/user),60.16,58.61,62.82,180.48,58.62,58.65,58.70,58.83,59.05,60.93,62.06,62.44,62.74,1.89
Effective Concurrency,1.82,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.39
Effective Decode Concurrency,1.80,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.42
Effective Decode Throughput (tokens/sec),109.34,0.00,203.41,,,,,,117.33,,125.51,128.35,138.42,21.60
Effective Decode Throughput Per User (tokens/sec/user),61.73,0.00,161.82,,,,,,60.33,,76.07,79.34,83.43,10.02
Effective Latency (CO-aware) (ms),8541.44,4437.99,11535.76,25624.31,4542.24,4959.25,5480.50,7044.28,9650.57,10593.16,11158.72,11347.24,11498.05,3001.91
Effective Prefill Concurrency,0.02,0.00,2.00,,,,,,0.00,,0.00,0.00,1.00,0.18
Effective Prefill Throughput (tokens/sec),22.21,0.00,2030.06,,,,,,0.00,,0.00,0.00,350.55,202.52
Effective Prefill Throughput Per User (tokens/sec/user),21.14,0.00,2030.06,,,,,,0.00,,0.00,0.00,175.27,201.25
