Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),65.58,0.00,164.44,,,,,,64.57,,75.48,78.36,82.69,6.67
Active Decode Throughput Per User (tokens/sec/user),65.58,0.00,164.44,,,,,,64.57,,75.48,78.36,82.69,6.67
Active Prefill Throughput (tokens/sec),1390.28,49.29,3882.07,,,,,,49.29,,3882.07,3882.07,3882.07,1801.16
Active Prefill Throughput Per User (tokens/sec/user),1390.28,49.29,3882.07,,,,,,49.29,,3882.07,3882.07,3882.07,1801.16
Active Total Throughput (tokens/sec),96.14,49.29,3882.07,,,,,,65.49,,65.76,65.76,220.29,338.23
Credit-to-Start Latency (ms),2.09,0.97,3.41,6.26,0.99,1.06,1.15,1.42,1.88,2.65,3.11,3.26,3.38,1.01
Decode Duration (ms),7421.31,4474.63,10307.66,22263.94,4534.77,4775.33,5076.03,5978.14,7481.65,8894.66,9742.46,10025.06,10251.14,2381.71
E2E Output Token Throughput (tokens/sec/user),64.10,63.16,65.18,192.29,63.17,63.24,63.32,63.55,63.95,64.56,64.94,65.06,65.16,0.83
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.02
Effective Decode Concurrency,0.98,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.15
Effective Decode Throughput (tokens/sec),64.02,0.00,164.44,,,,,,64.35,,75.31,78.34,82.43,11.95
Effective Decode Throughput Per User (tokens/sec/user),64.02,0.00,164.44,,,,,,64.35,,75.31,78.34,82.43,11.95
Effective Latency (CO-aware) (ms),7598.67,4658.36,10573.31,22796.00,4716.48,4948.96,5239.55,6111.34,7564.33,9068.82,9971.51,10272.41,10513.13,2414.89
Effective Prefill Concurrency,0.02,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.15
Effective Prefill Throughput (tokens/sec),32.06,0.00,3882.07,,,,,,0.00,,0.00,0.00,220.29,344.01
Effective Prefill Throughput Per User (tokens/sec/user),32.06,0.00,3882.07,,,,,,0.00,,0.00,0.00,220.29,344.01
Effective Total Throughput (tokens/sec),96.08,0.00,3882.07,,,,,,65.49,,65.76,65.76,220.29,338.14
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,487.67,294.00,676.00,1463.00,297.98,313.90,333.80,393.50,493.00,584.50,639.40,657.70,672.34,156.00
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.48,0.00,1.45,1.45,0.00,0.00,0.00,0.00,0.00,0.72,1.16,1.30,1.42,0.68
HTTP Connection Overhead (ms),0.70,0.00,2.09,2.09,0.00,0.00,0.00,0.00,0.00,1.04,1.67,1.88,2.05,0.98
HTTP Connection Reused (ratio),0.67,0.00,1.00,2.00,0.02,0.10,0.20,0.50,1.00,1.00,1.00,1.00,1.00,0.47
HTTP Data Received (KB),125.24,75.58,173.46,375.71,76.60,80.69,85.80,101.12,126.67,150.06,164.10,168.78,172.52,39.97
HTTP Data Sent (KB),1.17,0.21,3.08,3.52,0.21,0.21,0.21,0.22,0.23,1.65,2.51,2.80,3.02,1.35
HTTP DNS Lookup (ms),0.21,0.00,0.64,0.64,0.00,0.00,0.00,0.00,0.00,0.32,0.51,0.58,0.63,0.30
HTTP Duration (excl. conn) (ms),7596.45,4654.85,10571.20,22789.35,4713.02,4945.69,5236.54,6109.07,7563.30,9067.25,9969.62,10270.41,10511.04,2415.45
HTTP Receiving (ms),7421.36,4474.63,10307.78,22264.08,4534.77,4775.33,5076.04,5978.15,7481.67,8894.72,9742.56,10025.17,10251.26,2381.76
HTTP Sending (ms),0.78,0.10,2.01,2.35,0.10,0.11,0.13,0.17,0.24,1.13,1.65,1.83,1.97,0.87
