Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),97.36,0.00,632.73,,,,,,98.78,,114.66,118.69,124.57,20.94
Active Decode Throughput Per User (tokens/sec/user),49.46,0.00,544.36,,,,,,49.56,,57.85,60.13,65.34,10.55
Active Prefill Throughput (tokens/sec),4740.28,64.96,14639.28,,,,,,4088.00,,9605.13,12113.80,14639.28,3266.11
Active Prefill Throughput Per User (tokens/sec/user),4739.54,64.96,14639.28,,,,,,4088.00,,9605.13,12113.80,14639.28,3267.17
Active Total Throughput (tokens/sec),299.13,47.64,14689.64,,,,,,100.24,,101.91,106.76,4862.37,1162.26
Credit-to-Start Latency (ms),2.16,0.96,3.51,108.18,0.96,1.09,1.38,1.76,2.14,2.55,3.17,3.31,3.45,0.65
Decode Duration (ms),10286.25,2223.91,19701.95,514312.29,3003.31,4965.91,6056.12,8427.85,10161.96,12379.95,14473.45,15450.13,17929.83,3341.10
E2E Output Token Throughput (tokens/sec/user),48.95,41.12,55.64,2447.27,42.95,46.17,47.82,48.30,49.08,49.69,50.30,50.57,53.30,1.86
Effective Concurrency,1.99,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.12
Effective Decode Concurrency,1.94,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.23
Effective Decode Throughput (tokens/sec),97.31,0.00,632.73,,,,,,98.78,,114.66,118.69,124.57,21.05
Effective Decode Throughput Per User (tokens/sec/user),49.44,0.00,544.36,,,,,,49.55,,57.85,60.13,65.34,10.60
Effective Latency (CO-aware) (ms),10516.29,2774.88,19785.40,525814.33,3358.81,5333.92,6164.06,8753.03,10382.88,12592.91,14863.48,15728.75,18086.52,3324.45
Effective Prefill Concurrency,0.04,0.00,2.00,,,,,,0.00,,0.00,0.00,1.00,0.21
Effective Prefill Throughput (tokens/sec),201.81,0.00,14639.28,,,,,,0.00,,0.00,0.00,4812.98,1170.51
Effective Prefill Throughput Per User (tokens/sec/user),201.78,0.00,14639.28,,,,,,0.00,,0.00,0.00,4812.98,1170.51
Effective Total Throughput (tokens/sec),299.13,0.00,14689.64,,,,,,100.24,,101.91,106.76,4862.37,1162.25
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,515.94,114.00,995.00,25797.00,153.69,253.20,301.10,416.25,502.00,627.25,712.30,778.85,902.88,166.35
HTTP Chunks Sent,1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,0.54,0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.08
HTTP Connection Overhead (ms),0.01,0.00,0.54,0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.08
HTTP Connection Reused (ratio),0.98,0.00,1.00,49.00,0.49,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.14
HTTP Data Received (KB),132.53,29.57,255.24,6626.34,39.78,65.24,77.47,107.07,129.15,160.83,182.85,199.83,231.67,42.59
HTTP Data Sent (KB),4.80,0.15,21.24,240.16,0.15,0.16,0.16,0.18,2.97,7.77,11.94,14.81,19.71,5.16
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),10513.99,2772.46,19783.62,525699.63,3356.59,5332.16,6161.57,8750.37,10379.93,12591.28,14860.68,15726.89,18084.69,3324.43
HTTP Receiving (ms),10286.25,2223.91,19701.91,514312.62,3003.33,4965.92,6056.12,8427.86,10161.97,12379.95,14473.45,15450.15,17929.80,3341.09
HTTP Sending (ms),0.27,0.11,0.81,13.37,0.11,0.14,0.16,0.19,0.28,0.31,0.33,0.34,0.59,0.10
HTTP Total Time (ms),10514.00,2772.46,19783.62,525700.17,3356.59,5332.46,6161.57,8750.37,10379.93,12591.28,14860.68,15726.89,18084.69,3324.42
HTTP Waiting (TTFB) (ms),227.47,77.53,614.97,11373.64,78.22,82.09,87.07,102.11,187.16,324.89,423.71,522.87,582.29,139.71
Input Sequence Length (tokens),1068.72,6.00,4758.00,53436.00,6.49,8.00,9.00,15.00,663.50,1722.25,2621.50,3262.95,4405.20,1162.81
Inter Chunk Latency (ms),19.98,1.84,306.95,514312.29,15.42,16.56,17.15,18.26,19.94,20.94,21.73,22.50,24.13,6.88
Inter Token Latency (ms),19.95,17.68,20.99,997.37,18.57,19.54,19.65,19.69,19.94,20.24,20.46,20.62,20.89,0.47
OSL Mismatch Diff % (%),-0.00,-0.24,0.20,-0.20,-0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.05
Output Sequence Length (tokens),516.32,114.00,995.00,25816.00,153.69,253.20,301.10,415.50,502.50,627.25,715.00,778.85,902.88,166.64
Output Token Throughput Per User (tokens/sec/user),50.16,47.64,56.55,2508.05,47.87,48.50,48.88,49.41,50.16,50.79,50.89,51.19,53.99,1.24
Prefill Throughput Per User (tokens/sec/user),3623.97,64.96,14639.28,181198.27,66.62,78.59,103.14,150.68,3552.68,4167.38,9538.60,12105.01,14175.30,3648.64
Reasoning Token Count (tokens),516.32,114.00,995.00,25816.00,153.69,253.20,301.10,415.50,502.50,627.25,715.00,778.85,902.88,166.64
Request Latency (ms),10514.12,2772.59,19783.81,525706.16,3356.70,5332.25,6161.69,8750.54,10380.09,12591.41,14860.86,15726.97,18084.86,3324.44
Time to First Token (ms),227.88,77.89,615.25,11393.87,78.63,82.50,87.58,102.61,187.50,325.40,424.18,523.21,582.63,139.70
Time to Second Token (ms),18.64,2.00,23.48,931.80,8.50,15.45,15.66,17.31,18.76,20.57,21.72,22.30,23.33,3.20
Tokens In Flight (tokens),2639.04,0.00,7306.00,,,,,,2480.41,,4753.50,6048.42,7041.00,1548.99

Metric,Value
Benchmark Duration (sec),264.78
Input Token Throughput (tokens/sec),201.81
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),97.50
Request Count,50.00
Request Throughput (requests/sec),0.19
Total Input Sequence Length (tokens),53436.00
Total Output Sequence Length (tokens),25816.00
Total Reasoning Tokens (tokens),25816.00
Total Token Throughput (tokens/sec),299.31
