Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),174.50,0.00,8031.79,,,,,,187.75,,200.59,204.29,219.61,72.31
Active Decode Throughput Per User (tokens/sec/user),45.78,0.00,2677.26,,,,,,47.13,,50.61,52.92,78.51,22.23
Active Prefill Throughput (tokens/sec),87.50,9.34,341.77,,,,,,82.60,,152.52,153.09,161.42,43.73
Active Prefill Throughput Per User (tokens/sec/user),4.94,1.20,99.32,,,,,,5.71,,7.04,8.58,9.34,2.28
Active Total Throughput (tokens/sec),256.31,59.60,341.77,,,,,,252.67,,321.19,331.60,333.50,53.68
Credit-to-Start Latency (ms),2.20,0.79,5.79,131.76,0.81,0.89,0.95,1.17,1.66,3.08,3.98,4.56,5.68,1.31
Decode Duration (ms),2856.02,594.83,5378.65,171361.42,859.34,1305.80,1890.50,2400.92,2817.84,3343.49,3782.88,4248.53,4972.81,873.43
E2E Output Token Throughput (tokens/sec/user),10.71,3.58,46.65,642.88,3.68,3.93,4.21,5.23,6.79,10.09,22.98,46.05,46.53,10.70
Effective Concurrency,23.54,0.00,32.00,,,,,,29.00,,32.00,32.00,32.00,10.05
Effective Decode Concurrency,3.80,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.60
Effective Decode Throughput (tokens/sec),173.94,0.00,8031.79,,,,,,187.70,,200.59,204.29,219.61,72.86
Effective Decode Throughput Per User (tokens/sec/user),45.63,0.00,2677.26,,,,,,47.12,,50.60,52.92,78.51,22.34
Effective Latency (CO-aware) (ms),17688.78,2401.92,26317.33,1061326.55,2713.30,3989.58,6273.81,11813.12,20835.57,23864.19,25324.08,25980.85,26269.19,7340.37
Effective Prefill Concurrency,19.74,0.00,32.00,,,,,,25.00,,28.00,28.00,29.00,9.89
Effective Prefill Throughput (tokens/sec),82.35,0.00,341.77,,,,,,74.48,,152.52,153.09,161.42,47.16
Effective Prefill Throughput Per User (tokens/sec/user),4.65,0.00,99.32,,,,,,5.45,,7.04,8.58,9.34,2.50
Effective Total Throughput (tokens/sec),256.29,0.00,341.77,,,,,,252.67,,321.19,331.60,333.50,53.72
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,131.68,29.00,241.00,7901.00,40.80,61.40,85.00,113.50,133.00,153.50,173.40,192.10,222.71,39.19
HTTP Chunks Sent,1.00,1.00,1.00,60.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.78,0.00,4.36,46.81,0.00,0.00,0.00,0.00,0.44,1.12,2.45,2.87,3.92,1.04
HTTP Connection Overhead (ms),0.98,0.00,6.71,59.09,0.00,0.00,0.00,0.00,0.44,1.12,2.99,3.97,6.22,1.50
HTTP Connection Reused (ratio),0.47,0.00,1.00,28.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.50
HTTP Data Received (KB),34.11,7.80,62.14,2046.65,10.82,16.09,22.17,29.45,34.46,39.69,44.76,49.55,57.46,10.04
HTTP Data Sent (KB),0.44,0.16,1.07,26.29,0.16,0.17,0.17,0.18,0.21,0.80,0.98,1.04,1.06,0.33
HTTP DNS Lookup (ms),0.20,0.00,2.35,12.28,0.00,0.00,0.00,0.00,0.00,0.00,0.78,1.38,2.30,0.51
HTTP Duration (excl. conn) (ms),17686.44,2400.75,26316.08,1061186.60,2711.83,3987.93,6272.02,11809.47,20834.36,23862.00,25321.77,25979.37,26267.98,7340.52
HTTP Receiving (ms),2856.04,594.83,5378.66,171362.48,859.34,1305.82,1890.50,2400.92,2817.84,3343.55,3782.89,4248.53,4972.81,873.43
HTTP Sending (ms),1.08,0.13,4.82,65.00,0.17,0.23,0.24,0.32,0.60,1.28,2.84,3.41,4.37,1.10
HTTP Total Time (ms),17687.43,2400.75,26316.08,1061245.69,2711.83,3988.28,6273.78,11810.50,20834.36,23862.78,25322.54,25979.37,26267.98,7340.26
HTTP Waiting (TTFB) (ms),14829.32,140.65,23461.25,889759.12,141.18,142.02,3057.98,9107.19,18216.23,20794.59,21982.66,22757.18,23210.74,7158.81
Input Sequence Length (tokens),61.87,6.00,206.00,3712.00,6.00,6.95,7.00,9.75,14.00,134.25,175.50,183.50,200.10,70.30
Inter Chunk Latency (ms),21.85,0.32,92.09,171361.42,2.40,18.84,19.68,20.32,21.05,21.79,23.02,24.07,68.70,7.75
Inter Token Latency (ms),21.84,16.78,23.02,1310.33,18.88,20.70,21.23,21.63,21.88,22.36,22.61,22.85,22.95,0.87
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),131.68,29.00,241.00,7901.00,40.80,61.40,85.00,113.50,133.00,153.50,173.40,192.10,222.71,39.19
Output Token Throughput Per User (tokens/sec/user),45.88,43.44,59.60,2752.54,43.58,43.76,44.23,44.73,45.70,46.23,47.11,48.30,53.43,2.16
Prefill Throughput Per User (tokens/sec/user),8.39,0.27,99.32,503.18,0.31,0.43,0.46,0.89,2.73,7.34,8.96,50.70,86.41,18.86
Reasoning Token Count (tokens),131.68,29.00,241.00,7901.00,40.80,61.40,85.00,113.50,133.00,153.50,173.40,192.10,222.71,39.19
Request Latency (ms),17686.58,2400.80,26316.26,1061194.79,2711.92,3987.97,6272.25,11809.54,20834.47,23862.13,25321.96,25979.50,26268.13,7340.52
Time to First Token (ms),14830.56,140.96,23461.80,889833.36,141.58,142.23,3058.82,9108.58,18216.75,20795.03,21983.11,22757.56,23211.21,7158.65
Time to Second Token (ms),21.77,1.61,59.18,1305.91,2.27,18.23,19.31,20.42,21.30,22.06,22.58,23.11,58.24,7.69
Tokens In Flight (tokens),2158.47,0.00,3773.00,,,,,,2231.00,,3523.00,3602.00,3690.00,1012.82

Metric,Value
Benchmark Duration (sec),45.07
Input Token Throughput (tokens/sec),82.35
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),175.28
Request Count,60.00
Request Throughput (requests/sec),1.33
Total Input Sequence Length (tokens),3712.00
Total Output Sequence Length (tokens),7901.00
Total Reasoning Tokens (tokens),7901.00
Total Token Throughput (tokens/sec),257.62
