Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),136.54,0.00,501.64,,,,,,142.19,,160.39,165.96,174.34,24.45
Active Decode Throughput Per User (tokens/sec/user),53.91,0.00,501.64,,,,,,51.20,,63.11,73.29,82.97,14.19
Active Prefill Throughput (tokens/sec),279.76,79.11,282.12,,,,,,282.12,,282.12,282.12,282.12,17.48
Active Prefill Throughput Per User (tokens/sec/user),93.92,79.11,116.62,,,,,,94.04,,94.04,94.04,94.04,1.85
Active Total Throughput (tokens/sec),142.73,53.63,282.12,,,,,,155.16,,155.16,155.16,282.12,41.98
Credit-to-Start Latency (ms),1.41,1.12,1.60,4.24,1.13,1.16,1.20,1.32,1.53,1.56,1.58,1.59,1.60,0.21
Decode Duration (ms),2746.10,2195.36,3132.47,8238.31,2209.67,2266.87,2338.39,2552.92,2910.47,3021.47,3088.07,3110.27,3128.03,399.84
E2E Output Token Throughput (tokens/sec/user),49.55,47.16,51.66,148.66,47.21,47.43,47.70,48.50,49.85,50.75,51.30,51.48,51.62,1.85
Effective Concurrency,2.64,0.00,3.00,,,,,,3.00,,3.00,3.00,3.00,0.61
Effective Decode Concurrency,2.52,0.00,3.00,,,,,,3.00,,3.00,3.00,3.00,0.80
Effective Decode Throughput (tokens/sec),130.68,0.00,501.64,,,,,,141.30,,159.87,165.92,174.34,36.57
Effective Decode Throughput Per User (tokens/sec/user),51.60,0.00,501.64,,,,,,50.97,,62.98,73.29,82.97,17.66
Effective Latency (CO-aware) (ms),2885.90,2333.68,3273.11,8657.70,2348.02,2405.40,2477.12,2692.29,3050.91,3162.01,3228.67,3250.89,3268.67,400.88
Effective Prefill Concurrency,0.13,0.00,3.00,,,,,,0.00,,0.00,0.00,3.00,0.60
Effective Prefill Throughput (tokens/sec),11.91,0.00,282.12,,,,,,0.00,,0.00,0.00,282.12,56.59
Effective Prefill Throughput Per User (tokens/sec/user),4.00,0.00,116.62,,,,,,0.00,,0.00,0.00,94.04,18.96
Effective Total Throughput (tokens/sec),142.59,0.00,282.12,,,,,,155.16,,155.16,155.16,282.12,42.20
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,143.67,110.00,169.00,431.00,110.84,114.20,118.40,131.00,152.00,160.50,165.60,167.30,168.66,24.80
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.96,0.85,1.13,2.87,0.85,0.85,0.86,0.87,0.89,1.01,1.09,1.11,1.13,0.13
HTTP Connection Overhead (ms),1.41,1.26,1.64,4.23,1.26,1.27,1.28,1.29,1.32,1.48,1.58,1.61,1.64,0.17
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),37.18,28.56,43.68,111.55,28.77,29.63,30.71,33.93,39.31,41.50,42.81,43.25,43.60,6.36
HTTP Data Sent (KB),0.23,0.22,0.26,0.70,0.22,0.22,0.22,0.22,0.22,0.24,0.25,0.25,0.26,0.02
HTTP DNS Lookup (ms),0.45,0.41,0.51,1.36,0.41,0.42,0.42,0.43,0.44,0.47,0.49,0.50,0.51,0.04
HTTP Duration (excl. conn) (ms),2884.29,2332.36,3271.32,8652.88,2346.70,2404.04,2475.73,2690.78,3049.20,3160.26,3226.90,3249.11,3266.88,400.67
HTTP Receiving (ms),2746.18,2195.51,3132.52,8238.53,2209.81,2267.01,2338.51,2553.01,2910.50,3021.51,3088.12,3110.32,3128.08,399.79
HTTP Sending (ms),1.36,1.25,1.54,4.07,1.25,1.25,1.26,1.27,1.29,1.41,1.49,1.51,1.53,0.13
HTTP Total Time (ms),2885.70,2333.62,3272.64,8657.11,2347.97,2405.34,2477.07,2692.23,3050.84,3161.74,3228.28,3250.46,3268.21,400.74
HTTP Waiting (TTFB) (ms),136.76,135.60,137.51,410.27,135.63,135.75,135.91,136.38,137.16,137.34,137.44,137.48,137.50,0.83
Input Sequence Length (tokens),13.00,11.00,16.00,39.00,11.02,11.10,11.20,11.50,12.00,14.00,15.20,15.60,15.92,2.16
Inter Chunk Latency (ms),19.25,1.99,26.83,8238.31,12.43,15.32,16.17,17.90,19.60,20.90,21.69,22.48,25.28,2.56
Inter Token Latency (ms),19.35,18.65,20.14,58.06,18.66,18.71,18.77,18.96,19.27,19.71,19.97,20.05,20.12,0.61
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),143.67,110.00,169.00,431.00,110.84,114.20,118.40,131.00,152.00,160.50,165.60,167.30,168.66,24.80
Output Token Throughput Per User (tokens/sec/user),51.72,49.65,53.63,155.16,49.69,49.87,50.10,50.77,51.88,52.76,53.28,53.46,53.60,1.63
Prefill Throughput Per User (tokens/sec/user),94.04,79.11,116.62,282.12,79.26,79.84,80.57,82.75,86.39,101.51,110.57,113.60,116.02,16.24
Reasoning Token Count (tokens),143.67,110.00,169.00,431.00,110.84,114.20,118.40,131.00,152.00,160.50,165.60,167.30,168.66,24.80
Request Latency (ms),2884.48,2332.56,3271.52,8653.45,2346.90,2404.24,2475.92,2690.97,3049.38,3160.45,3227.09,3249.30,3267.07,400.67
Time to First Token (ms),138.38,137.20,139.04,415.14,137.23,137.37,137.54,138.05,138.91,138.97,139.01,139.03,139.04,0.84
