Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),108.38,0.00,467.98,,,,,,84.56,,154.16,164.12,176.18,36.98
Active Decode Throughput Per User (tokens/sec/user),64.80,0.00,467.98,,,,,,64.36,,80.79,81.81,87.50,17.72
Active Prefill Throughput (tokens/sec),288.16,77.40,290.39,,,,,,290.39,,290.39,290.39,290.39,17.30
Active Prefill Throughput Per User (tokens/sec/user),96.54,77.40,106.50,,,,,,96.80,,96.80,96.80,96.80,2.02
Active Total Throughput (tokens/sec),117.83,64.80,290.39,,,,,,116.70,,166.54,290.39,290.39,61.22
Credit-to-Start Latency (ms),1.32,1.21,1.40,3.96,1.22,1.23,1.24,1.28,1.35,1.37,1.39,1.40,1.40,0.08
Decode Duration (ms),1602.69,962.98,2592.62,4808.06,968.77,991.93,1020.87,1107.72,1252.46,1922.54,2324.59,2458.61,2565.82,709.90
E2E Output Token Throughput (tokens/sec/user),51.17,44.34,61.85,153.51,44.40,44.64,44.94,45.83,47.32,54.58,58.94,60.39,61.56,7.65
Effective Concurrency,1.91,0.00,3.00,,,,,,2.00,,3.00,3.00,3.00,0.94
Effective Decode Concurrency,1.76,0.00,3.00,,,,,,1.00,,3.00,3.00,3.00,1.00
Effective Decode Throughput (tokens/sec),102.73,0.00,467.98,,,,,,82.16,,154.16,164.12,176.18,43.33
Effective Decode Throughput Per User (tokens/sec/user),61.41,0.00,467.98,,,,,,61.27,,80.52,81.77,87.50,22.48
Effective Latency (CO-aware) (ms),1745.44,1106.44,2733.96,5236.32,1112.23,1135.39,1164.34,1251.18,1395.91,2064.94,2466.35,2600.16,2707.20,708.91
Effective Prefill Concurrency,0.16,0.00,3.00,,,,,,0.00,,0.00,3.00,3.00,0.66
Effective Prefill Throughput (tokens/sec),14.99,0.00,290.39,,,,,,0.00,,0.00,290.39,290.39,64.11
Effective Prefill Throughput Per User (tokens/sec/user),5.02,0.00,106.50,,,,,,0.00,,0.00,96.80,96.80,21.44
Effective Total Throughput (tokens/sec),117.71,0.00,290.39,,,,,,116.70,,166.54,290.39,290.39,61.30
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,94.67,49.00,169.00,284.00,49.34,50.70,52.40,57.50,66.00,117.50,148.40,158.70,166.94,53.02
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),1.19,1.04,1.30,3.58,1.05,1.06,1.08,1.14,1.24,1.27,1.29,1.30,1.30,0.11
HTTP Connection Overhead (ms),1.71,1.58,1.82,5.12,1.58,1.59,1.61,1.65,1.71,1.77,1.80,1.81,1.82,0.10
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),24.65,12.94,43.75,73.96,13.03,13.37,13.81,15.11,17.27,30.51,38.45,41.10,43.22,13.62
HTTP Data Sent (KB),0.21,0.20,0.24,0.64,0.20,0.20,0.20,0.20,0.20,0.22,0.23,0.24,0.24,0.02
HTTP DNS Lookup (ms),0.51,0.48,0.54,1.54,0.48,0.48,0.49,0.50,0.52,0.53,0.53,0.54,0.54,0.02
HTTP Duration (excl. conn) (ms),1743.92,1104.87,2732.38,5231.76,1110.66,1133.83,1162.80,1249.69,1394.51,2063.45,2464.81,2598.60,2705.63,708.88
HTTP Receiving (ms),1602.77,963.04,2592.74,4808.32,968.83,991.99,1020.94,1107.79,1252.55,1922.64,2324.70,2458.72,2565.93,709.92
HTTP Sending (ms),1.64,1.42,1.81,4.93,1.42,1.45,1.47,1.56,1.70,1.75,1.79,1.80,1.81,0.16
HTTP Total Time (ms),1745.63,1106.69,2733.96,5236.88,1112.48,1135.64,1164.60,1251.46,1396.23,2065.10,2466.42,2600.19,2707.21,708.79
HTTP Waiting (TTFB) (ms),139.50,138.23,140.27,418.51,138.26,138.41,138.59,139.12,140.02,140.14,140.22,140.24,140.26,0.91
Input Sequence Length (tokens),13.67,11.00,18.00,41.00,11.02,11.10,11.20,11.50,12.00,15.00,16.80,17.40,17.88,3.09
Inter Chunk Latency (ms),17.11,2.14,26.31,4808.06,11.20,12.28,12.50,13.59,17.49,19.89,21.11,22.92,24.53,3.64
Inter Token Latency (ms),18.25,15.43,20.06,54.76,15.51,15.82,16.20,17.35,19.27,19.67,19.90,19.98,20.05,2.02
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),94.67,49.00,169.00,284.00,49.34,50.70,52.40,57.50,66.00,117.50,148.40,158.70,166.94,53.02
Output Token Throughput Per User (tokens/sec/user),55.51,49.85,64.80,166.54,49.89,50.05,50.26,50.87,51.90,58.35,62.22,63.51,64.54,6.62
Prefill Throughput Per User (tokens/sec/user),96.80,77.40,128.63,290.39,77.54,78.10,78.79,80.88,84.36,106.50,119.78,124.20,127.74,22.69
Reasoning Token Count (tokens),94.67,49.00,169.00,284.00,49.34,50.70,52.40,57.50,66.00,117.50,148.40,158.70,166.94,53.02
