Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),173.12,0.00,41565.43,,,,,,185.78,,199.59,204.09,223.61,90.18
Active Decode Throughput Per User (tokens/sec/user),45.20,0.00,13855.14,,,,,,46.81,,50.51,53.23,73.89,28.69
Active Prefill Throughput (tokens/sec),81.50,0.35,314.02,,,,,,77.50,,138.13,141.79,151.70,41.12
Active Prefill Throughput Per User (tokens/sec/user),4.01,0.35,69.04,,,,,,4.77,,5.34,5.43,5.51,1.46
Active Total Throughput (tokens/sec),248.23,52.42,332.26,,,,,,248.58,,313.18,324.15,332.26,51.16
Credit-to-Start Latency (ms),2.13,0.67,5.93,127.52,0.72,0.87,1.03,1.23,1.68,3.04,3.90,4.12,5.56,1.19
Decode Duration (ms),2891.21,1474.15,5381.20,173472.43,1546.51,1820.95,1923.79,2478.94,2862.11,3367.30,3712.53,4079.11,5316.47,771.11
E2E Output Token Throughput (tokens/sec/user),10.51,3.19,46.31,630.68,3.51,3.90,4.56,5.50,6.40,9.50,21.50,45.46,46.11,10.52
Effective Concurrency,23.84,0.00,32.00,,,,,,30.00,,32.00,32.00,32.00,10.16
Effective Decode Concurrency,3.80,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.55
Effective Decode Throughput (tokens/sec),172.56,0.00,41565.43,,,,,,185.73,,199.58,204.03,223.61,90.57
Effective Decode Throughput Per User (tokens/sec/user),45.05,0.00,13855.14,,,,,,46.78,,50.51,53.19,73.89,28.76
Effective Latency (CO-aware) (ms),18128.71,2246.94,25936.70,1087722.84,2534.84,5255.02,6552.66,13032.48,22086.39,23895.81,24686.57,24843.89,25633.05,7051.77
Effective Prefill Concurrency,20.04,0.00,32.00,,,,,,27.00,,28.00,28.00,29.00,10.01
Effective Prefill Throughput (tokens/sec),75.66,0.00,314.02,,,,,,68.48,,138.13,141.79,151.70,44.85
Effective Prefill Throughput Per User (tokens/sec/user),3.72,0.00,69.04,,,,,,4.46,,5.31,5.43,5.51,1.75
Effective Total Throughput (tokens/sec),248.22,0.00,332.26,,,,,,248.58,,313.18,324.15,332.26,51.19
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,132.18,66.00,249.00,7931.00,69.54,83.60,89.70,111.50,128.00,152.75,167.50,192.15,244.28,35.78
HTTP Chunks Sent,1.00,1.00,1.00,60.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.82,0.00,5.09,49.22,0.00,0.00,0.00,0.00,0.44,1.29,2.42,2.62,4.15,1.05
HTTP Connection Overhead (ms),0.99,0.00,8.04,59.43,0.00,0.00,0.00,0.00,0.44,1.37,3.12,3.55,5.80,1.45
HTTP Connection Reused (ratio),0.45,0.00,1.00,27.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.50
HTTP Data Received (KB),34.23,17.30,64.21,2053.89,18.18,21.77,23.35,28.92,33.16,39.52,43.27,49.60,62.99,9.17
HTTP Data Sent (KB),0.39,0.15,1.37,23.39,0.15,0.15,0.15,0.16,0.18,0.70,0.86,0.97,1.21,0.33
HTTP DNS Lookup (ms),0.17,0.00,2.95,10.22,0.00,0.00,0.00,0.00,0.00,0.00,0.68,0.89,1.85,0.46
HTTP Duration (excl. conn) (ms),18126.44,2245.72,25934.88,1087586.22,2533.43,5253.27,6549.77,13028.84,22083.02,23894.76,24684.91,24842.25,25631.73,7051.87
HTTP Receiving (ms),2891.23,1474.13,5381.23,173473.65,1546.51,1820.99,1923.79,2478.93,2862.09,3367.30,3712.56,4079.11,5316.48,771.11
HTTP Sending (ms),1.14,0.13,5.56,68.13,0.14,0.25,0.27,0.32,0.64,1.60,2.97,3.07,4.70,1.12
HTTP Total Time (ms),18127.43,2245.72,25934.88,1087645.65,2533.43,5254.32,6550.21,13029.97,22084.34,23894.76,24684.91,24849.89,25631.73,7051.66
HTTP Waiting (TTFB) (ms),15234.07,144.64,22233.57,914044.44,145.17,146.33,3512.38,10080.36,19345.42,20716.77,21458.75,21827.05,22166.62,7015.60
Input Sequence Length (tokens),57.52,6.00,267.00,3451.00,6.59,7.00,7.00,9.00,12.00,131.00,151.70,181.35,235.14,70.35
Inter Chunk Latency (ms),22.04,0.03,93.89,173472.43,2.57,18.58,19.66,20.43,21.21,22.06,23.19,24.17,70.20,8.02
Inter Token Latency (ms),22.08,19.08,23.49,1324.60,19.49,20.84,21.25,21.84,22.19,22.50,22.81,23.01,23.40,0.76
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),132.18,66.00,249.00,7931.00,69.54,83.60,89.70,111.50,128.00,152.75,167.50,192.15,244.28,35.78
Output Token Throughput Per User (tokens/sec/user),45.35,42.57,52.42,2721.19,42.73,43.46,43.84,44.45,45.07,45.79,47.05,47.98,51.33,1.65
Prefill Throughput Per User (tokens/sec/user),7.76,0.35,102.67,465.39,0.35,0.40,0.44,0.64,1.41,6.74,9.46,48.12,82.83,17.45
Reasoning Token Count (tokens),132.18,66.00,249.00,7931.00,69.54,83.60,89.70,111.50,128.00,152.75,167.50,192.15,244.28,35.78
Request Latency (ms),18126.59,2245.77,25935.00,1087595.31,2533.52,5253.30,6549.82,13028.91,22083.14,23894.93,24685.05,24842.50,25631.83,7051.87
Time to First Token (ms),15235.38,144.84,22234.10,914122.88,145.58,146.52,3513.24,10081.82,19346.32,20717.26,21459.21,21827.49,22170.25,7015.45
Time to Second Token (ms),22.56,2.30,66.36,1353.85,2.51,18.73,19.31,21.00,21.65,22.45,23.58,24.29,64.16,8.64
Tokens In Flight (tokens),1982.83,0.00,3600.00,,,,,,2026.00,,3289.00,3391.00,3515.00,918.98

Metric,Value
Benchmark Duration (sec),45.61
Input Token Throughput (tokens/sec),75.66
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),173.88
Request Count,60.00
Request Throughput (requests/sec),1.32
Total Input Sequence Length (tokens),3451.00
Total Output Sequence Length (tokens),7931.00
Total Reasoning Tokens (tokens),7931.00
Total Token Throughput (tokens/sec),249.53
