Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),137.97,53.77,364.26,,,,,,141.21,,153.48,160.62,171.45,16.87
Active Decode Throughput Per User (tokens/sec/user),51.36,27.72,364.26,,,,,,48.58,,60.63,62.22,77.41,11.01
Active Prefill Throughput (tokens/sec),308.47,109.25,310.19,,,,,,310.19,,310.19,310.19,310.19,12.31
Active Prefill Throughput Per User (tokens/sec/user),103.56,97.19,115.80,,,,,,103.40,,103.40,103.40,112.53,1.25
Active Total Throughput (tokens/sec),145.66,51.11,310.19,,,,,,150.26,,150.26,150.26,310.19,41.75
Credit-to-Start Latency (ms),1.30,1.19,1.39,3.91,1.19,1.20,1.21,1.26,1.33,1.36,1.38,1.39,1.39,0.09
Decode Duration (ms),3065.00,2551.73,3345.75,9195.01,2566.65,2626.31,2700.89,2924.63,3297.53,3321.64,3336.10,3340.92,3344.78,363.47
E2E Output Token Throughput (tokens/sec/user),47.97,45.80,49.12,143.91,45.87,46.12,46.44,47.39,48.98,49.05,49.10,49.11,49.12,1.53
Effective Concurrency,2.76,0.00,3.00,,,,,,3.00,,3.00,3.00,3.00,0.47
Effective Decode Concurrency,2.62,0.00,3.00,,,,,,3.00,,3.00,3.00,3.00,0.73
Effective Decode Throughput (tokens/sec),131.84,0.00,364.26,,,,,,141.01,,153.14,160.62,171.45,32.87
Effective Decode Throughput Per User (tokens/sec/user),49.08,0.00,364.26,,,,,,48.36,,60.58,62.22,77.41,15.10
Effective Latency (CO-aware) (ms),3220.89,2708.56,3502.53,9662.66,2723.42,2782.86,2857.16,3080.06,3451.57,3477.05,3492.34,3497.44,3501.51,362.87
Effective Prefill Concurrency,0.13,0.00,3.00,,,,,,0.00,,0.00,0.00,3.00,0.61
Effective Prefill Throughput (tokens/sec),13.70,0.00,310.19,,,,,,0.00,,0.00,0.00,310.19,63.59
Effective Prefill Throughput Per User (tokens/sec/user),4.60,0.00,115.80,,,,,,0.00,,0.00,0.00,103.40,21.33
Effective Total Throughput (tokens/sec),145.53,0.00,310.19,,,,,,150.26,,150.26,150.26,310.19,41.95
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,155.00,124.00,172.00,465.00,124.90,128.50,133.00,146.50,169.00,170.50,171.40,171.70,171.94,21.95
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.88,0.83,1.00,2.65,0.83,0.83,0.83,0.83,0.83,0.91,0.96,0.98,0.99,0.08
HTTP Connection Overhead (ms),1.26,1.21,1.36,3.79,1.21,1.21,1.21,1.22,1.23,1.29,1.33,1.34,1.35,0.06
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),40.09,32.15,44.44,120.26,32.38,33.30,34.45,37.91,43.68,44.06,44.28,44.36,44.42,5.62
HTTP Data Sent (KB),0.22,0.21,0.23,0.66,0.21,0.21,0.21,0.22,0.23,0.23,0.23,0.23,0.23,0.01
HTTP DNS Lookup (ms),0.38,0.36,0.40,1.14,0.36,0.36,0.36,0.37,0.38,0.39,0.40,0.40,0.40,0.02
HTTP Duration (excl. conn) (ms),3219.37,2706.92,3501.16,9658.12,2721.79,2781.24,2855.55,3078.48,3450.04,3475.60,3490.93,3496.04,3500.13,362.96
HTTP Receiving (ms),3065.07,2551.80,3345.82,9195.21,2566.72,2626.38,2700.96,2924.70,3297.59,3321.71,3336.18,3341.00,3344.86,363.47
HTTP Sending (ms),1.30,1.21,1.49,3.90,1.21,1.21,1.21,1.21,1.21,1.35,1.43,1.46,1.48,0.13
HTTP Total Time (ms),3220.64,2708.28,3502.37,9661.91,2723.14,2782.58,2856.88,3079.77,3451.26,3476.81,3492.15,3497.26,3501.34,362.89
HTTP Waiting (TTFB) (ms),153.00,151.24,154.12,459.00,151.29,151.48,151.72,152.44,153.64,153.88,154.03,154.07,154.11,1.26
Input Sequence Length (tokens),16.00,13.00,18.00,48.00,13.08,13.40,13.80,15.00,17.00,17.50,17.80,17.90,17.98,2.16
Inter Chunk Latency (ms),19.90,2.75,23.62,9195.01,14.60,16.19,16.73,18.69,20.60,21.27,22.03,22.62,23.48,2.18
Inter Token Latency (ms),19.98,19.57,20.75,59.94,19.57,19.57,19.58,19.60,19.63,20.19,20.52,20.63,20.72,0.54
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),155.00,124.00,172.00,465.00,124.90,128.50,133.00,146.50,169.00,170.50,171.40,171.70,171.94,21.95
Output Token Throughput Per User (tokens/sec/user),50.09,48.20,51.11,150.26,48.26,48.48,48.75,49.57,50.95,51.03,51.08,51.09,51.11,1.33
Prefill Throughput Per User (tokens/sec/user),103.40,85.13,115.80,310.19,85.61,87.54,89.95,97.19,109.25,112.53,114.49,115.15,115.67,13.19
Reasoning Token Count (tokens),155.00,124.00,172.00,465.00,124.90,128.50,133.00,146.50,169.00,170.50,171.40,171.70,171.94,21.95
Request Latency (ms),3219.58,2707.16,3501.35,9658.75,2722.03,2781.47,2855.78,3078.70,3450.24,3475.79,3491.13,3496.24,3500.32,362.94
Time to First Token (ms),154.58,152.71,155.60,463.74,152.76,152.98,153.25,154.07,155.43,155.52,155.57,155.58,155.60,1.33
Time to Second Token (ms),13.22,2.75,18.47,39.67,3.06,4.32,5.89,10.60,18.46,18.46,18.47,18.47,18.47,7.41
Tokens In Flight (tokens),246.60,0.00,421.00,,,,,,277.00,,370.00,394.00,415.00,106.87

Metric,Value
Benchmark Duration (sec),3.50
Input Token Throughput (tokens/sec),13.70
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),132.69
Request Count,3.00
Request Throughput (requests/sec),0.86
Total Input Sequence Length (tokens),48.00
Total Output Sequence Length (tokens),465.00
Total Reasoning Tokens (tokens),465.00
Total Token Throughput (tokens/sec),146.39
