Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),136.40,0.00,600.32,,,,,,142.08,,155.79,163.19,185.64,24.93
Active Decode Throughput Per User (tokens/sec/user),53.54,0.00,600.32,,,,,,50.29,,62.28,75.34,81.99,15.29
Active Prefill Throughput (tokens/sec),286.32,81.85,287.60,,,,,,287.60,,287.60,287.60,287.60,10.74
Active Prefill Throughput Per User (tokens/sec/user),95.94,81.85,102.88,,,,,,95.87,,95.87,95.87,102.88,0.91
Active Total Throughput (tokens/sec),142.71,53.54,287.60,,,,,,154.20,,154.20,154.20,287.60,42.05
Credit-to-Start Latency (ms),1.39,1.33,1.46,4.17,1.33,1.33,1.34,1.36,1.39,1.42,1.44,1.45,1.46,0.05
Decode Duration (ms),2762.11,2219.52,3137.94,8286.32,2233.71,2290.45,2361.39,2574.19,2928.86,3033.40,3096.13,3117.03,3133.76,393.05
E2E Output Token Throughput (tokens/sec/user),49.31,46.70,51.65,147.94,46.76,46.99,47.28,48.14,49.59,50.62,51.23,51.44,51.60,2.03
Effective Concurrency,2.65,0.00,3.00,,,,,,3.00,,3.00,3.00,3.00,0.60
Effective Decode Concurrency,2.53,0.00,3.00,,,,,,3.00,,3.00,3.00,3.00,0.79
Effective Decode Throughput (tokens/sec),130.67,0.00,600.32,,,,,,141.21,,155.42,163.19,185.64,36.65
Effective Decode Throughput Per User (tokens/sec/user),51.29,0.00,600.32,,,,,,50.03,,61.88,75.34,81.99,18.42
Effective Latency (CO-aware) (ms),2899.03,2356.99,3273.72,8697.08,2371.17,2427.92,2498.86,2711.68,3066.38,3170.05,3232.25,3252.98,3269.57,392.52
Effective Prefill Concurrency,0.12,0.00,3.00,,,,,,0.00,,0.00,0.00,3.00,0.60
Effective Prefill Throughput (tokens/sec),11.91,0.00,287.60,,,,,,0.00,,0.00,0.00,287.60,57.20
Effective Prefill Throughput Per User (tokens/sec/user),3.99,0.00,102.88,,,,,,0.00,,0.00,0.00,95.87,19.16
Effective Total Throughput (tokens/sec),142.58,0.00,287.60,,,,,,154.20,,154.20,154.20,287.60,42.26
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,143.67,110.00,169.00,431.00,110.84,114.20,118.40,131.00,152.00,160.50,165.60,167.30,168.66,24.80
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),1.02,0.79,1.32,3.07,0.80,0.81,0.83,0.88,0.96,1.14,1.25,1.28,1.31,0.22
HTTP Connection Overhead (ms),1.54,1.16,1.96,4.61,1.17,1.19,1.23,1.33,1.49,1.72,1.86,1.91,1.95,0.33
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),37.17,28.56,43.65,111.51,28.78,29.64,30.71,33.93,39.30,41.47,42.78,43.22,43.56,6.34
HTTP Data Sent (KB),0.23,0.22,0.26,0.70,0.22,0.22,0.22,0.22,0.22,0.24,0.25,0.25,0.26,0.02
HTTP DNS Lookup (ms),0.51,0.37,0.64,1.54,0.37,0.38,0.40,0.45,0.54,0.59,0.62,0.63,0.64,0.11
HTTP Duration (excl. conn) (ms),2897.44,2355.33,3272.13,8692.32,2369.52,2426.28,2497.24,2710.10,3064.86,3168.50,3230.68,3251.40,3267.98,392.56
HTTP Receiving (ms),2762.17,2219.57,3138.03,8286.52,2233.76,2290.51,2361.44,2574.24,2928.92,3033.47,3096.21,3117.12,3133.85,393.06
HTTP Sending (ms),1.44,1.19,1.76,4.31,1.19,1.21,1.22,1.28,1.36,1.56,1.68,1.72,1.75,0.24
HTTP Total Time (ms),2898.98,2356.49,3273.62,8696.93,2370.70,2427.52,2498.56,2711.66,3066.82,3170.22,3232.26,3252.94,3269.48,392.78
HTTP Waiting (TTFB) (ms),133.83,132.73,134.57,401.49,132.76,132.88,133.02,133.46,134.19,134.38,134.49,134.53,134.56,0.79
Input Sequence Length (tokens),13.00,11.00,16.00,39.00,11.02,11.10,11.20,11.50,12.00,14.00,15.20,15.60,15.92,2.16
Inter Chunk Latency (ms),19.36,1.67,24.76,8286.32,12.25,15.49,16.34,17.67,19.93,20.95,21.64,22.62,24.25,2.55
Inter Token Latency (ms),19.48,18.68,20.36,58.44,18.69,18.75,18.82,19.04,19.40,19.88,20.17,20.27,20.34,0.69
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
