Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),108.56,0.00,627.82,,,,,,85.21,,155.27,160.80,176.27,37.73
Active Decode Throughput Per User (tokens/sec/user),65.29,0.00,627.82,,,,,,66.22,,81.51,83.97,87.22,19.57
Active Prefill Throughput (tokens/sec),308.13,82.68,309.52,,,,,,309.52,,309.52,309.52,309.52,11.70
Active Prefill Throughput Per User (tokens/sec/user),103.23,82.68,135.46,,,,,,103.17,,103.17,103.17,109.07,0.97
Active Total Throughput (tokens/sec),118.40,64.95,309.52,,,,,,117.73,,167.71,167.71,309.52,63.72
Credit-to-Start Latency (ms),1.28,1.13,1.51,3.84,1.13,1.14,1.15,1.17,1.21,1.36,1.45,1.48,1.50,0.16
Decode Duration (ms),1592.82,960.40,2586.61,4778.45,965.82,987.51,1014.61,1095.92,1231.44,1909.02,2315.57,2451.09,2559.50,711.37
E2E Output Token Throughput (tokens/sec/user),51.80,44.81,62.14,155.39,44.88,45.17,45.54,46.62,48.43,55.29,59.40,60.77,61.87,7.46
Effective Concurrency,1.90,0.00,3.00,,,,,,2.00,,3.00,3.00,3.00,0.95
Effective Decode Concurrency,1.75,0.00,3.00,,,,,,1.00,,3.00,3.00,3.00,0.99
Effective Decode Throughput (tokens/sec),103.18,0.00,627.82,,,,,,83.97,,155.27,160.80,176.27,43.69
Effective Decode Throughput Per User (tokens/sec/user),62.05,0.00,627.82,,,,,,63.79,,81.42,83.97,87.22,23.77
Effective Latency (CO-aware) (ms),1726.51,1094.58,2721.00,5179.54,1099.97,1121.52,1148.46,1229.27,1363.97,2042.48,2449.59,2585.29,2693.85,711.75
Effective Prefill Concurrency,0.15,0.00,3.00,,,,,,0.00,,0.00,0.00,3.00,0.64
Effective Prefill Throughput (tokens/sec),15.05,0.00,309.52,,,,,,0.00,,0.00,0.00,309.52,66.47
Effective Prefill Throughput Per User (tokens/sec/user),5.04,0.00,135.46,,,,,,0.00,,0.00,0.00,103.17,22.25
Effective Total Throughput (tokens/sec),118.23,0.00,309.52,,,,,,117.73,,167.71,167.71,309.52,63.83
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,94.67,49.00,169.00,284.00,49.34,50.70,52.40,57.50,66.00,117.50,148.40,158.70,166.94,53.02
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.84,0.75,1.02,2.52,0.75,0.75,0.75,0.75,0.75,0.89,0.97,0.99,1.01,0.13
HTTP Connection Overhead (ms),1.18,1.08,1.38,3.54,1.08,1.08,1.08,1.08,1.08,1.23,1.32,1.35,1.38,0.14
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),24.63,12.90,43.72,73.88,12.99,13.34,13.77,15.08,17.26,30.49,38.43,41.08,43.19,13.62
HTTP Data Sent (KB),0.21,0.20,0.24,0.64,0.20,0.20,0.20,0.20,0.20,0.22,0.23,0.24,0.24,0.02
HTTP DNS Lookup (ms),0.34,0.33,0.36,1.02,0.33,0.33,0.33,0.33,0.33,0.35,0.36,0.36,0.36,0.02
HTTP Duration (excl. conn) (ms),1725.07,1093.30,2719.29,5175.21,1098.69,1120.23,1147.16,1227.96,1362.62,2040.96,2447.96,2583.62,2692.16,711.56
HTTP Receiving (ms),1592.91,960.47,2586.69,4778.72,965.89,987.58,1014.69,1096.02,1231.57,1909.13,2315.66,2451.18,2559.58,711.37
HTTP Sending (ms),1.18,1.03,1.48,3.55,1.03,1.03,1.03,1.03,1.04,1.26,1.39,1.43,1.47,0.21
HTTP Total Time (ms),1726.25,1094.38,2720.67,5178.76,1099.76,1121.31,1148.24,1229.04,1363.71,2042.19,2449.28,2584.98,2693.53,711.71
HTTP Waiting (TTFB) (ms),130.98,130.02,131.80,392.94,130.04,130.13,130.24,130.57,131.12,131.46,131.67,131.73,131.79,0.74
Input Sequence Length (tokens),13.67,11.00,18.00,41.00,11.02,11.10,11.20,11.50,12.00,15.00,16.80,17.40,17.88,3.09
Inter Chunk Latency (ms),17.01,1.59,22.97,4778.45,11.36,11.98,12.38,13.40,17.77,20.11,21.28,22.05,22.89,3.60
Inter Token Latency (ms),18.12,15.40,20.01,54.35,15.47,15.75,16.11,17.17,18.95,19.48,19.80,19.90,19.99,1.97
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),94.67,49.00,169.00,284.00,49.34,50.70,52.40,57.50,66.00,117.50,148.40,158.70,166.94,53.02
Output Token Throughput Per User (tokens/sec/user),55.90,49.98,64.95,167.71,50.04,50.26,50.54,51.38,52.78,58.87,62.52,63.73,64.71,6.50
Prefill Throughput Per User (tokens/sec/user),103.17,82.68,135.46,309.52,82.85,83.55,84.42,87.03,91.38,113.42,126.64,131.05,134.58,23.11
Reasoning Token Count (tokens),94.67,49.00,169.00,284.00,49.34,50.70,52.40,57.50,66.00,117.50,148.40,158.70,166.94,53.02
Request Latency (ms),1725.23,1093.45,2719.49,5175.70,1098.84,1120.38,1147.31,1228.10,1362.76,2041.12,2448.14,2583.82,2692.35,711.59
Time to First Token (ms),132.42,131.32,133.05,397.25,131.35,131.48,131.63,132.10,132.88,132.96,133.01,133.03,133.04,0.78
Time to Second Token (ms),12.68,1.59,18.26,38.04,1.92,3.25,4.91,9.89,18.18,18.22,18.25,18.25,18.26,7.84
Tokens In Flight (tokens),124.37,0.00,189.00,,,,,,131.00,,173.00,180.00,186.00,39.21

Metric,Value
Benchmark Duration (sec),2.72
Input Token Throughput (tokens/sec),15.05
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),104.28
Request Count,3.00
Request Throughput (requests/sec),1.10
Total Input Sequence Length (tokens),41.00
Total Output Sequence Length (tokens),284.00
Total Reasoning Tokens (tokens),284.00
Total Token Throughput (tokens/sec),119.33
