Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),140.56,0.00,525.39,,,,,,142.61,,157.70,163.93,173.14,17.88
Active Decode Throughput Per User (tokens/sec/user),52.33,0.00,525.39,,,,,,49.58,,62.03,63.72,77.52,13.12
Active Prefill Throughput (tokens/sec),375.40,101.84,378.12,,,,,,378.12,,378.12,378.12,378.12,20.57
Active Prefill Throughput Per User (tokens/sec/user),125.93,101.84,143.05,,,,,,126.04,,126.04,126.04,126.04,1.31
Active Total Throughput (tokens/sec),149.44,52.06,378.12,,,,,,153.17,,153.17,153.17,378.12,50.12
Credit-to-Start Latency (ms),1.67,1.51,1.79,5.02,1.51,1.53,1.55,1.61,1.72,1.76,1.78,1.79,1.79,0.12
Decode Duration (ms),3007.69,2490.31,3284.81,9023.08,2505.46,2566.07,2641.84,2869.14,3247.97,3266.39,3277.44,3281.12,3284.07,366.16
E2E Output Token Throughput (tokens/sec/user),49.29,47.40,50.40,147.87,47.45,47.66,47.93,48.73,50.06,50.23,50.34,50.37,50.40,1.34
Effective Concurrency,2.75,0.00,3.00,,,,,,3.00,,3.00,3.00,3.00,0.46
Effective Decode Concurrency,2.64,0.00,3.00,,,,,,3.00,,3.00,3.00,3.00,0.69
Effective Decode Throughput (tokens/sec),135.25,0.00,525.39,,,,,,142.49,,156.52,163.93,173.14,32.03
Effective Decode Throughput Per User (tokens/sec/user),50.35,0.00,525.39,,,,,,49.46,,61.97,63.72,77.52,16.28
Effective Latency (CO-aware) (ms),3136.39,2617.64,3414.13,9409.18,2632.84,2693.62,2769.60,2997.53,3377.41,3395.77,3406.78,3410.45,3413.39,367.12
Effective Prefill Concurrency,0.11,0.00,3.00,,,,,,0.00,,0.00,0.00,3.00,0.57
Effective Prefill Throughput (tokens/sec),14.05,0.00,378.12,,,,,,0.00,,0.00,0.00,378.12,71.37
Effective Prefill Throughput Per User (tokens/sec/user),4.71,0.00,143.05,,,,,,0.00,,0.00,0.00,126.04,23.90
Effective Total Throughput (tokens/sec),149.30,0.00,378.12,,,,,,153.17,,153.17,153.17,378.12,50.31
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,155.00,124.00,172.00,465.00,124.90,128.50,133.00,146.50,169.00,170.50,171.40,171.70,171.94,21.95
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),1.14,0.99,1.33,3.41,0.99,1.00,1.01,1.04,1.09,1.21,1.28,1.30,1.32,0.14
HTTP Connection Overhead (ms),1.59,1.38,1.86,4.78,1.39,1.40,1.42,1.46,1.54,1.70,1.80,1.83,1.85,0.20
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),40.13,32.17,44.51,120.38,32.40,33.32,34.47,37.93,43.70,44.11,44.35,44.43,44.49,5.64
HTTP Data Sent (KB),0.22,0.21,0.23,0.66,0.21,0.21,0.21,0.22,0.23,0.23,0.23,0.23,0.23,0.01
HTTP DNS Lookup (ms),0.46,0.40,0.53,1.38,0.40,0.40,0.41,0.42,0.45,0.49,0.51,0.52,0.53,0.06
HTTP Duration (excl. conn) (ms),3134.46,2615.91,3412.13,9403.39,2631.09,2691.85,2767.79,2995.63,3375.35,3393.74,3404.78,3408.46,3411.40,366.98
HTTP Receiving (ms),3007.76,2490.39,3284.88,9023.28,2505.54,2566.15,2641.92,2869.20,3248.01,3266.45,3277.50,3281.19,3284.14,366.14
HTTP Sending (ms),1.67,1.38,1.96,5.00,1.38,1.41,1.44,1.52,1.66,1.81,1.90,1.93,1.95,0.24
HTTP Total Time (ms),3136.06,2617.29,3413.68,9408.18,2632.49,2693.28,2769.27,2997.25,3377.21,3395.44,3406.38,3410.03,3412.95,367.13
HTTP Waiting (TTFB) (ms),125.04,124.13,125.59,375.11,124.16,124.26,124.38,124.76,125.38,125.49,125.55,125.57,125.59,0.64
Input Sequence Length (tokens),16.00,13.00,18.00,48.00,13.08,13.40,13.80,15.00,17.00,17.50,17.80,17.90,17.98,2.16
Inter Chunk Latency (ms),19.53,1.90,24.19,9023.08,15.17,15.73,16.30,18.09,20.16,21.04,21.63,22.00,23.46,2.19
Inter Token Latency (ms),19.60,19.21,20.25,58.79,19.21,19.22,19.23,19.27,19.33,19.79,20.06,20.16,20.23,0.46
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),155.00,124.00,172.00,465.00,124.90,128.50,133.00,146.50,169.00,170.50,171.40,171.70,171.94,21.95
Output Token Throughput Per User (tokens/sec/user),51.06,49.39,52.06,153.17,49.44,49.62,49.86,50.56,51.72,51.89,51.99,52.02,52.05,1.19
Prefill Throughput Per User (tokens/sec/user),126.04,101.84,143.05,378.12,102.47,104.98,108.12,117.53,133.23,138.14,141.09,142.07,142.85,17.58
Reasoning Token Count (tokens),155.00,124.00,172.00,465.00,124.90,128.50,133.00,146.50,169.00,170.50,171.40,171.70,171.94,21.95
Request Latency (ms),3134.72,2616.13,3412.41,9404.16,2631.32,2692.08,2768.03,2995.88,3375.62,3394.01,3405.05,3408.73,3411.67,367.00
Time to First Token (ms),127.03,125.83,127.65,381.08,125.86,126.01,126.18,126.72,127.60,127.63,127.64,127.65,127.65,0.85
Time to Second Token (ms),12.33,1.90,17.59,37.00,2.22,3.46,5.02,9.70,17.51,17.55,17.57,17.58,17.59,7.37
Tokens In Flight (tokens),247.58,0.00,418.00,,,,,,278.00,,367.00,391.00,412.00,104.98

Metric,Value
Benchmark Duration (sec),3.41
Input Token Throughput (tokens/sec),14.05
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),136.13
Request Count,3.00
Request Throughput (requests/sec),0.88
Total Input Sequence Length (tokens),48.00
Total Output Sequence Length (tokens),465.00
Total Reasoning Tokens (tokens),465.00
Total Token Throughput (tokens/sec),150.18
