Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),57.38,0.00,90.19,,,,,,62.49,,65.78,66.49,67.68,10.25
Active Decode Throughput Per User (tokens/sec/user),21.21,0.00,45.39,,,,,,21.22,,22.09,22.28,22.70,0.70
Active Prefill Throughput (tokens/sec),251.90,90.48,274.31,,,,,,274.31,,274.31,274.31,274.31,39.23
Active Prefill Throughput Per User (tokens/sec/user),91.56,90.48,94.54,,,,,,91.44,,91.92,91.92,91.92,0.21
Active Total Throughput (tokens/sec),58.60,21.23,274.31,,,,,,63.56,,63.56,63.56,63.56,18.47
Credit-to-Start Latency (ms),1.39,1.34,1.41,4.16,1.34,1.35,1.36,1.37,1.40,1.41,1.41,1.41,1.41,0.03
Decode Duration (ms),29114.01,23267.11,32214.08,87342.02,23438.98,24126.48,24985.85,27563.97,31860.83,32037.46,32143.43,32178.76,32207.02,4136.90
E2E Output Token Throughput (tokens/sec/user),21.09,21.02,21.14,63.28,21.02,21.03,21.04,21.07,21.12,21.13,21.14,21.14,21.14,0.05
Effective Concurrency,2.71,0.00,3.00,,,,,,3.00,,3.00,3.00,3.00,0.48
Effective Decode Concurrency,2.69,0.00,3.00,,,,,,3.00,,3.00,3.00,3.00,0.52
Effective Decode Throughput (tokens/sec),57.11,0.00,90.19,,,,,,62.47,,65.77,66.49,67.68,10.94
Effective Decode Throughput Per User (tokens/sec/user),21.12,0.00,45.39,,,,,,21.22,,22.09,22.28,22.70,1.59
Effective Latency (CO-aware) (ms),29290.21,23458.92,32405.86,87870.64,23629.86,24313.62,25168.31,27732.39,32005.85,32205.86,32325.86,32365.86,32397.86,4126.58
Effective Prefill Concurrency,0.02,0.00,3.00,,,,,,0.00,,0.00,0.00,0.00,0.21
Effective Prefill Throughput (tokens/sec),1.48,0.00,274.31,,,,,,0.00,,0.00,0.00,0.00,19.49
Effective Prefill Throughput Per User (tokens/sec/user),0.54,0.00,94.54,,,,,,0.00,,0.00,0.00,0.00,7.00
Effective Total Throughput (tokens/sec),58.59,0.00,274.31,,,,,,63.56,,63.56,63.56,63.56,18.48
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,617.67,493.00,684.00,1853.00,496.66,511.30,529.60,584.50,676.00,680.00,682.40,683.20,683.84,88.21
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),1.21,0.90,1.37,3.62,0.91,0.95,0.99,1.13,1.36,1.36,1.36,1.36,1.37,0.22
HTTP Connection Overhead (ms),1.74,1.33,1.97,5.21,1.34,1.39,1.44,1.62,1.92,1.94,1.96,1.96,1.97,0.29
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),157.35,125.72,174.13,472.04,126.65,130.37,135.02,148.96,172.19,173.16,173.74,173.93,174.09,22.38
HTTP Data Sent (KB),0.22,0.21,0.23,0.66,0.21,0.21,0.21,0.22,0.23,0.23,0.23,0.23,0.23,0.01
HTTP DNS Lookup (ms),0.53,0.43,0.61,1.59,0.43,0.44,0.45,0.49,0.55,0.58,0.60,0.60,0.61,0.08
HTTP Duration (excl. conn) (ms),29288.59,23457.26,32404.21,87865.77,23628.20,24311.96,25166.67,27730.78,32004.30,32204.25,32324.23,32364.22,32396.21,4126.60
HTTP Receiving (ms),29114.07,23267.17,32214.15,87342.20,23439.05,24126.54,24985.91,27564.02,31860.87,32037.51,32143.50,32178.82,32207.09,4136.89
HTTP Sending (ms),1.76,1.28,2.01,5.28,1.29,1.35,1.42,1.63,1.99,2.00,2.01,2.01,2.01,0.34
HTTP Total Time (ms),29290.33,23459.23,32406.13,87870.98,23630.15,24313.87,25168.51,27732.43,32005.63,32205.88,32326.03,32366.08,32398.12,4126.45
HTTP Waiting (TTFB) (ms),172.76,142.15,188.07,518.29,143.07,146.74,151.33,165.11,188.07,188.07,188.07,188.07,188.07,21.65
Input Sequence Length (tokens),16.00,13.00,18.00,48.00,13.08,13.40,13.80,15.00,17.00,17.50,17.80,17.90,17.98,2.16
Inter Chunk Latency (ms),47.21,42.63,53.57,87342.02,44.13,44.91,45.30,46.04,47.15,48.20,49.24,49.88,51.52,1.56
Inter Token Latency (ms),47.20,47.10,47.29,141.59,47.10,47.11,47.12,47.15,47.20,47.25,47.27,47.28,47.29,0.08
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),618.00,493.00,685.00,1854.00,496.66,511.30,529.60,584.50,676.00,680.50,683.20,684.10,684.82,88.46
Output Token Count (tokens),618.00,493.00,685.00,1854.00,496.66,511.30,529.60,584.50,676.00,680.50,683.20,684.10,684.82,88.46
Output Token Throughput Per User (tokens/sec/user),21.19,21.15,21.23,63.56,21.15,21.15,21.15,21.17,21.19,21.21,21.22,21.23,21.23,0.04
Prefill Throughput Per User (tokens/sec/user),91.44,89.30,94.54,274.31,89.32,89.42,89.53,89.89,90.48,92.51,93.73,94.13,94.46,2.24
Request Latency (ms),29288.83,23457.51,32404.46,87866.48,23628.45,24312.21,25166.91,27731.01,32004.51,32204.48,32324.47,32364.46,32396.46,4126.59
Time to First Output Token (ms),174.82,143.68,190.40,524.46,144.61,148.35,153.02,167.03,190.38,190.39,190.40,190.40,190.40,22.02
Time to First Token (ms),174.82,143.68,190.40,524.46,144.61,148.35,153.02,167.03,190.38,190.39,190.40,190.40,190.40,22.02
Time to Second Token (ms),45.98,45.59,46.75,137.94,45.59,45.59,45.59,45.59,45.59,46.17,46.52,46.64,46.73,0.55
Tokens In Flight (tokens),889.76,0.00,1527.72,,,,,,1025.73,,1355.97,1423.67,1507.71,413.17

Metric,Value
Benchmark Duration (sec),32.40
Input Token Throughput (tokens/sec),1.48
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),57.20
Request Count,3.00
Request Throughput (requests/sec),0.09
Total Input Sequence Length (tokens),48.00
Total Output Sequence Length (tokens),1854.00
Total Output Tokens (tokens),1854.00
Total Token Throughput (tokens/sec),58.69
