Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),35.05,0.00,86.53,,,,,,21.78,,62.54,63.24,64.48,18.11
Active Decode Throughput Per User (tokens/sec/user),20.96,0.00,44.41,,,,,,21.00,,21.82,22.01,22.29,0.68
Active Prefill Throughput (tokens/sec),206.65,60.48,225.40,,,,,,225.40,,225.40,225.40,225.40,32.26
Active Prefill Throughput Per User (tokens/sec/user),75.25,60.48,75.62,,,,,,75.13,,75.62,75.62,75.62,0.27
Active Total Throughput (tokens/sec),36.16,20.97,225.40,,,,,,20.97,,62.07,62.07,62.07,23.00
Credit-to-Start Latency (ms),1.30,1.23,1.41,3.90,1.23,1.23,1.24,1.25,1.26,1.34,1.38,1.40,1.41,0.08
Decode Duration (ms),18109.26,9437.19,32187.09,54327.78,9502.52,9763.82,10090.45,11070.34,12703.50,22445.29,28290.37,30238.73,31797.42,10043.44
E2E Output Token Throughput (tokens/sec/user),20.51,20.31,20.87,61.52,20.31,20.31,20.31,20.33,20.34,20.61,20.77,20.82,20.86,0.26
Effective Concurrency,1.69,0.00,3.00,,,,,,1.00,,3.00,3.00,3.00,0.90
Effective Decode Concurrency,1.68,0.00,3.00,,,,,,1.00,,3.00,3.00,3.00,0.90
Effective Decode Throughput (tokens/sec),34.89,0.00,86.53,,,,,,21.78,,62.54,63.24,64.48,18.22
Effective Decode Throughput Per User (tokens/sec/user),20.86,0.00,44.41,,,,,,21.00,,21.82,22.01,22.29,1.59
Effective Latency (CO-aware) (ms),18292.25,9586.74,32386.83,54876.74,9653.06,9918.38,10250.02,11244.95,12903.17,22645.00,28490.10,30438.47,31997.16,10057.92
Effective Prefill Concurrency,0.02,0.00,3.00,,,,,,0.00,,0.00,0.00,0.00,0.22
Effective Prefill Throughput (tokens/sec),1.27,0.00,225.40,,,,,,0.00,,0.00,0.00,0.00,16.32
Effective Prefill Throughput Per User (tokens/sec/user),0.46,0.00,75.62,,,,,,0.00,,0.00,0.00,0.00,5.87
Effective Total Throughput (tokens/sec),36.15,0.00,225.40,,,,,,20.97,,62.07,62.07,62.07,23.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,377.33,195.00,675.00,1132.00,196.34,201.70,208.40,228.50,262.00,468.50,592.40,633.70,666.74,212.25
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.84,0.83,0.84,2.51,0.83,0.83,0.83,0.84,0.84,0.84,0.84,0.84,0.84,0.01
HTTP Connection Overhead (ms),1.26,1.25,1.28,3.79,1.25,1.25,1.25,1.26,1.26,1.27,1.27,1.27,1.28,0.01
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),96.32,49.99,172.22,288.97,50.32,51.66,53.34,58.38,66.77,119.49,151.13,161.67,170.11,54.10
HTTP Data Sent (KB),0.21,0.20,0.24,0.64,0.20,0.20,0.20,0.20,0.20,0.22,0.23,0.24,0.24,0.02
HTTP DNS Lookup (ms),0.42,0.41,0.45,1.27,0.41,0.41,0.41,0.41,0.41,0.43,0.44,0.44,0.45,0.02
HTTP Duration (excl. conn) (ms),18290.79,9585.35,32385.28,54872.38,9651.68,9916.99,10248.63,11243.55,12901.75,22643.52,28488.58,30436.93,31995.61,10057.85
HTTP Receiving (ms),18109.34,9437.31,32187.14,54328.01,9502.64,9763.94,10090.56,11070.44,12703.56,22445.35,28290.43,30238.79,31797.47,10043.42
HTTP Sending (ms),1.20,1.17,1.22,3.61,1.17,1.18,1.18,1.19,1.21,1.22,1.22,1.22,1.22,0.02
HTTP Total Time (ms),18292.06,9586.60,32386.56,54876.17,9652.93,9918.24,10249.88,11244.81,12903.01,22644.78,28489.85,30438.20,31996.89,10057.86
HTTP Waiting (TTFB) (ms),180.25,146.82,196.97,540.76,147.83,151.84,156.85,171.89,196.97,196.97,196.97,196.97,196.97,23.64
Input Sequence Length (tokens),13.67,11.00,18.00,41.00,11.02,11.10,11.20,11.50,12.00,15.00,16.80,17.40,17.88,3.09
Inter Chunk Latency (ms),48.12,43.28,56.40,54327.78,45.16,45.75,46.19,47.13,48.03,49.03,49.98,50.51,53.75,1.59
Inter Token Latency (ms),48.33,47.68,48.67,145.00,47.70,47.78,47.88,48.16,48.65,48.66,48.67,48.67,48.67,0.46
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),377.67,195.00,676.00,1133.00,196.34,201.70,208.40,228.50,262.00,469.00,593.20,634.60,667.72,212.72
Output Token Count (tokens),377.67,195.00,676.00,1133.00,196.34,201.70,208.40,228.50,262.00,469.00,593.20,634.60,667.72,212.72
Output Token Throughput Per User (tokens/sec/user),20.69,20.55,20.97,62.07,20.55,20.55,20.55,20.55,20.56,20.76,20.89,20.93,20.96,0.20
Prefill Throughput Per User (tokens/sec/user),75.13,60.48,90.76,225.40,60.76,61.85,63.22,67.32,74.17,82.46,87.44,89.10,90.42,12.38
Request Latency (ms),18290.94,9585.51,32385.42,54872.83,9651.83,9917.15,10248.79,11243.71,12901.90,22643.66,28488.72,30437.07,31995.75,10057.85
Time to First Output Token (ms),181.68,148.31,198.41,545.05,149.31,153.32,158.32,173.32,198.33,198.37,198.39,198.40,198.40,23.60
Time to First Token (ms),181.68,148.31,198.41,545.05,149.31,153.32,158.32,173.32,198.33,198.37,198.39,198.40,198.40,23.60
Time to Second Token (ms),47.21,45.75,50.03,141.63,45.75,45.76,45.77,45.80,45.85,47.94,49.19,49.61,49.95,1.99
Tokens In Flight (tokens),439.04,0.00,694.00,,,,,,456.31,,623.90,658.95,685.99,150.53

Metric,Value
Benchmark Duration (sec),32.39
Input Token Throughput (tokens/sec),1.27
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),34.98
Request Count,3.00
Request Throughput (requests/sec),0.09
Total Input Sequence Length (tokens),41.00
Total Output Sequence Length (tokens),1133.00
Total Output Tokens (tokens),1133.00
Total Token Throughput (tokens/sec),36.24
