Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),310.59,0.00,1572.32,,,,,,333.44,,401.48,415.59,536.14,97.93
Active Decode Throughput Per User (tokens/sec/user),13.21,0.00,1572.32,,,,,,12.21,,20.92,22.37,23.66,5.69
Active Prefill Throughput (tokens/sec),1383.40,29.49,1973.06,,,,,,1488.76,,1866.14,1866.60,1973.06,401.03
Active Prefill Throughput Per User (tokens/sec/user),1298.81,25.36,1866.60,,,,,,1445.17,,1647.98,1866.14,1866.60,461.36
Active Total Throughput (tokens/sec),452.64,15.84,2307.84,,,,,,360.96,,418.15,1837.16,2215.27,463.27
Credit-to-Start Latency (ms),3.04,0.64,6.77,182.17,0.70,1.13,1.35,1.90,2.61,4.00,5.22,5.61,6.68,1.50
Decode Duration (ms),42888.97,24040.27,66887.85,2573338.16,24830.91,28105.22,30992.44,36098.79,42158.12,49129.91,57803.52,59766.64,63775.38,9647.76
E2E Output Token Throughput (tokens/sec/user),11.92,10.19,16.06,715.36,10.35,10.84,10.94,11.03,11.33,12.35,13.70,15.35,15.97,1.38
Effective Concurrency,26.16,0.00,32.00,,,,,,32.00,,32.00,32.00,32.00,9.17
Effective Decode Concurrency,25.91,0.00,32.00,,,,,,32.00,,32.00,32.00,32.00,9.26
Effective Decode Throughput (tokens/sec),309.61,0.00,1572.32,,,,,,333.31,,401.48,415.07,536.14,99.31
Effective Decode Throughput Per User (tokens/sec/user),13.17,0.00,1572.32,,,,,,12.20,,20.92,22.36,23.66,5.73
Effective Latency (CO-aware) (ms),43299.35,24482.69,67329.71,2597960.99,25208.33,28541.86,31427.36,36501.75,42577.26,49536.98,58246.53,60208.77,64217.29,9657.08
Effective Prefill Concurrency,0.24,0.00,32.00,,,,,,0.00,,1.00,1.00,1.00,2.12
Effective Prefill Throughput (tokens/sec),143.01,0.00,1973.06,,,,,,0.00,,69.59,1488.76,1866.14,440.47
Effective Prefill Throughput Per User (tokens/sec/user),134.26,0.00,1866.60,,,,,,0.00,,28.13,1445.78,1647.98,422.33
