Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),71.06,0.00,244.62,,,,,,79.93,,86.73,88.85,94.83,18.46
Active Decode Throughput Per User (tokens/sec/user),28.06,0.00,244.62,,,,,,27.92,,29.73,30.36,31.61,5.85
Active Prefill Throughput (tokens/sec),211.38,59.77,243.43,,,,,,243.43,,243.43,243.43,243.43,52.66
Active Prefill Throughput Per User (tokens/sec/user),76.13,59.77,91.83,,,,,,81.14,,81.14,81.14,81.14,8.33
Active Total Throughput (tokens/sec),75.83,28.12,243.43,,,,,,83.35,,83.35,83.35,243.43,31.54
Credit-to-Start Latency (ms),1.25,1.06,1.59,3.76,1.07,1.07,1.07,1.09,1.11,1.35,1.49,1.54,1.58,0.24
Decode Duration (ms),5126.59,3974.39,5973.79,15379.78,4003.53,4120.11,4265.83,4703.00,5431.60,5702.70,5865.35,5919.57,5962.95,844.26
E2E Output Token Throughput (tokens/sec/user),27.09,26.77,27.44,81.28,26.77,26.80,26.83,26.92,27.07,27.25,27.37,27.41,27.44,0.28
Effective Concurrency,2.58,0.00,3.00,,,,,,3.00,,3.00,3.00,3.00,0.65
Effective Decode Concurrency,2.50,0.00,3.00,,,,,,3.00,,3.00,3.00,3.00,0.76
Effective Decode Throughput (tokens/sec),69.47,0.00,244.62,,,,,,79.72,,85.96,88.85,94.83,21.06
Effective Decode Throughput Per User (tokens/sec/user),27.43,0.00,244.62,,,,,,27.87,,29.73,30.36,31.61,7.12
Effective Latency (CO-aware) (ms),5295.66,4110.39,6159.43,15886.97,4140.52,4261.06,4411.74,4863.77,5617.16,5888.29,6050.98,6105.20,6148.58,866.86
Effective Prefill Concurrency,0.08,0.00,3.00,,,,,,0.00,,0.00,0.00,3.00,0.47
Effective Prefill Throughput (tokens/sec),6.33,0.00,243.43,,,,,,0.00,,0.00,0.00,243.43,37.16
Effective Prefill Throughput Per User (tokens/sec/user),2.28,0.00,91.83,,,,,,0.00,,0.00,0.00,81.14,13.05
Effective Total Throughput (tokens/sec),75.80,0.00,243.43,,,,,,83.35,,83.35,83.35,243.43,31.57
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,143.67,110.00,169.00,431.00,110.84,114.20,118.40,131.00,152.00,160.50,165.60,167.30,168.66,24.80
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),1.06,0.87,1.16,3.18,0.87,0.90,0.92,1.01,1.15,1.16,1.16,1.16,1.16,0.14
HTTP Connection Overhead (ms),1.49,1.29,1.61,4.48,1.29,1.32,1.34,1.43,1.58,1.60,1.61,1.61,1.61,0.15
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),36.61,28.11,43.00,109.83,28.32,29.17,30.23,33.41,38.72,40.86,42.15,42.58,42.92,6.26
HTTP Data Sent (KB),0.23,0.21,0.25,0.68,0.21,0.21,0.21,0.22,0.22,0.24,0.25,0.25,0.25,0.02
HTTP DNS Lookup (ms),0.43,0.42,0.45,1.30,0.42,0.42,0.42,0.42,0.43,0.44,0.45,0.45,0.45,0.01
HTTP Duration (excl. conn) (ms),5294.18,4109.08,6157.59,15882.54,4139.22,4259.76,4410.44,4862.47,5615.87,5886.73,6049.25,6103.42,6146.76,866.68
HTTP Receiving (ms),5126.65,3974.50,5973.83,15379.95,4003.64,4120.21,4265.93,4703.06,5431.63,5702.73,5865.39,5919.61,5962.98,844.23
HTTP Sending (ms),1.50,1.25,1.68,4.51,1.26,1.28,1.31,1.41,1.58,1.63,1.66,1.67,1.68,0.18
HTTP Total Time (ms),5295.67,4110.37,6159.17,15887.02,4140.51,4261.08,4411.79,4863.92,5617.48,5888.33,6050.83,6105.00,6148.34,866.82
HTTP Waiting (TTFB) (ms),166.03,133.33,182.67,498.08,134.31,138.21,143.08,157.71,182.08,182.38,182.55,182.61,182.65,23.12
Input Sequence Length (tokens),13.00,11.00,16.00,39.00,11.02,11.10,11.20,11.50,12.00,14.00,15.20,15.60,15.92,2.16
Inter Chunk Latency (ms),35.93,4.09,49.48,15379.78,31.63,32.95,33.74,34.82,35.98,37.18,38.05,38.91,39.93,2.42
Inter Token Latency (ms),36.00,35.56,36.46,107.99,35.57,35.60,35.64,35.76,35.97,36.22,36.36,36.41,36.45,0.37
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),143.67,110.00,169.00,431.00,110.84,114.20,118.40,131.00,152.00,160.50,165.60,167.30,168.66,24.80
Output Token Throughput Per User (tokens/sec/user),27.78,27.43,28.12,83.35,27.43,27.46,27.50,27.61,27.80,27.96,28.06,28.09,28.12,0.28
Prefill Throughput Per User (tokens/sec/user),81.14,59.77,118.62,243.43,59.87,60.29,60.82,62.40,65.04,91.83,107.91,113.26,117.55,26.59
Reasoning Token Count (tokens),143.67,110.00,169.00,431.00,110.84,114.20,118.40,131.00,152.00,160.50,165.60,167.30,168.66,24.80
Request Latency (ms),5294.40,4109.27,6157.84,15883.21,4139.41,4259.96,4410.64,4862.68,5616.09,5886.97,6049.49,6103.67,6147.01,866.71
Time to First Token (ms),167.81,134.88,184.49,503.43,135.87,139.80,144.72,159.47,184.05,184.27,184.40,184.45,184.48,23.28
Time to Second Token (ms),42.36,38.77,49.48,127.07,38.77,38.78,38.78,38.80,38.82,44.15,47.35,48.41,49.27,5.04
Tokens In Flight (tokens),215.47,0.00,367.00,,,,,,238.00,,322.00,340.00,361.00,90.18

Metric,Value
Benchmark Duration (sec),6.16
Input Token Throughput (tokens/sec),6.33
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),69.96
Request Count,3.00
Request Throughput (requests/sec),0.49
Total Input Sequence Length (tokens),39.00
Total Output Sequence Length (tokens),431.00
Total Reasoning Tokens (tokens),431.00
Total Token Throughput (tokens/sec),76.29
