Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),90.94,0.00,380.68,,,,,,98.56,,103.02,104.26,106.51,21.74
Active Decode Throughput Per User (tokens/sec/user),23.27,0.00,380.68,,,,,,24.66,,25.80,26.16,27.04,4.59
Active Prefill Throughput (tokens/sec),155.83,7.05,460.82,,,,,,134.31,,288.75,324.71,403.00,90.04
Active Prefill Throughput Per User (tokens/sec/user),38.02,1.76,103.29,,,,,,33.57,,69.10,79.49,97.57,21.50
Active Total Throughput (tokens/sec),243.74,26.38,528.26,,,,,,228.27,,376.51,414.62,485.24,90.56
Credit-to-Start Latency (ms),1.19,0.48,3.59,238.07,0.62,0.71,0.75,0.86,1.03,1.42,1.63,1.80,3.27,0.52
Decode Duration (ms),5430.58,1206.37,10442.41,1086115.80,2033.16,2895.11,3551.75,4520.74,5376.20,6339.15,7217.70,8068.77,8905.77,1521.80
E2E Output Token Throughput (tokens/sec/user),11.69,3.79,24.30,2338.83,5.70,8.65,9.18,10.44,11.37,12.80,14.19,14.93,24.09,2.64
Effective Concurrency,7.87,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,0.81
Effective Decode Concurrency,3.85,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.43
Effective Decode Throughput (tokens/sec),90.89,0.00,380.68,,,,,,98.56,,103.02,104.26,106.51,21.83
Effective Decode Throughput Per User (tokens/sec/user),23.26,0.00,380.68,,,,,,24.66,,25.80,26.16,27.04,4.61
Effective Latency (CO-aware) (ms),11086.18,3150.25,16337.35,2217235.42,4958.64,7613.73,8242.10,9809.87,11243.92,12456.52,13662.83,14404.68,16223.87,2216.09
Effective Prefill Concurrency,4.01,0.00,8.00,,,,,,4.00,,5.00,5.00,5.00,0.70
Effective Prefill Throughput (tokens/sec),152.85,0.00,460.82,,,,,,134.31,,286.28,324.71,403.00,91.69
Effective Prefill Throughput Per User (tokens/sec/user),37.29,0.00,103.29,,,,,,33.39,,69.10,78.71,97.57,21.92
Effective Total Throughput (tokens/sec),243.74,0.00,528.26,,,,,,228.27,,376.51,414.62,485.24,90.57
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,129.09,29.00,249.00,25817.00,48.99,71.95,85.00,109.00,129.00,148.25,172.00,193.05,210.31,35.63
HTTP Chunks Sent,1.00,1.00,1.00,200.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.02,0.00,1.18,4.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.86,0.15
HTTP Connection Overhead (ms),0.03,0.00,1.58,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.27,0.21
HTTP Connection Reused (ratio),0.97,0.00,1.00,195.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.16
HTTP Data Received (KB),32.94,7.67,63.26,6587.93,12.71,18.50,21.82,27.86,32.87,37.79,43.73,49.10,53.42,9.00
HTTP Data Sent (KB),1.14,0.14,6.26,227.60,0.15,0.15,0.16,0.17,0.81,1.64,2.73,3.31,4.58,1.12
HTTP DNS Lookup (ms),0.01,0.00,0.41,1.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.06
HTTP Duration (excl. conn) (ms),11084.88,3149.15,16335.69,2216976.16,4957.66,7612.10,8241.09,9808.55,11241.28,12455.47,13661.58,14403.12,16221.98,2216.08
HTTP Receiving (ms),5430.58,1206.38,10442.42,1086116.98,2033.16,2895.10,3551.75,4520.76,5376.21,6339.15,7217.70,8068.77,8905.78,1521.80
HTTP Sending (ms),0.24,0.10,1.76,48.06,0.11,0.14,0.15,0.17,0.21,0.25,0.30,0.31,1.28,0.20
HTTP Total Time (ms),11084.91,3149.15,16335.69,2216982.84,4957.66,7613.23,8241.09,9808.55,11241.28,12455.47,13661.58,14403.12,16221.98,2216.04
HTTP Waiting (TTFB) (ms),5654.06,129.97,9539.55,1130811.12,189.24,3764.08,4255.49,5040.33,5697.72,6441.65,7199.24,7547.71,8610.35,1373.50
Input Sequence Length (tokens),215.40,6.00,1272.00,43079.00,6.99,7.00,8.00,12.00,150.00,323.25,549.20,672.25,923.64,234.48
Inter Chunk Latency (ms),42.40,2.83,248.71,1086115.80,37.37,38.21,38.70,39.45,40.37,41.39,43.29,46.11,102.55,11.65
Inter Token Latency (ms),42.38,37.91,45.84,8476.40,39.79,40.65,41.08,41.64,42.39,43.07,43.74,44.27,45.15,1.12
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),129.09,29.00,249.00,25817.00,48.99,71.95,85.00,109.00,129.00,148.25,172.00,193.05,210.31,35.63
Output Token Throughput Per User (tokens/sec/user),23.61,21.81,26.38,4722.32,22.15,22.59,22.86,23.22,23.59,24.02,24.34,24.60,25.13,0.63
Prefill Throughput Per User (tokens/sec/user),39.45,0.96,258.42,7889.51,1.00,1.25,1.49,2.53,26.98,55.92,93.69,135.83,177.32,44.12
Reasoning Token Count (tokens),129.09,29.00,249.00,25817.00,48.99,71.95,85.00,109.00,129.00,148.25,172.00,193.05,210.31,35.63
Request Latency (ms),11084.99,3149.22,16335.77,2216997.35,4957.76,7612.27,8241.22,9808.66,11241.41,12455.57,13661.66,14403.19,16222.16,2216.07
Time to First Token (ms),5654.41,130.18,9539.85,1130881.55,189.55,3764.46,4255.74,5040.64,5698.04,6441.96,7199.50,7548.01,8610.70,1373.47
Time to Second Token (ms),43.41,35.14,152.68,8681.27,37.57,38.15,39.02,39.69,40.74,41.88,43.20,46.90,124.31,14.36
Tokens In Flight (tokens),1996.42,0.00,3876.00,,,,,,2004.00,,3001.00,3209.00,3604.00,770.49

Metric,Value
Benchmark Duration (sec),281.84
