Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),71.87,25.47,279.40,,,,,,78.10,,80.43,81.71,82.83,12.90
Active Decode Throughput Per User (tokens/sec/user),26.60,13.03,279.40,,,,,,26.49,,27.37,27.60,28.24,6.01
Active Prefill Throughput (tokens/sec),373.70,132.84,374.49,,,,,,374.49,,374.49,374.49,374.49,13.08
Active Prefill Throughput Per User (tokens/sec/user),124.87,117.17,140.15,,,,,,124.83,,124.83,124.83,124.83,0.82
Active Total Throughput (tokens/sec),77.78,26.60,374.49,,,,,,79.29,,79.29,79.29,374.49,43.66
Credit-to-Start Latency (ms),1.44,1.14,1.59,4.32,1.15,1.19,1.23,1.37,1.59,1.59,1.59,1.59,1.59,0.21
Decode Duration (ms),5822.60,4684.99,6428.36,17467.81,4718.38,4851.94,5018.89,5519.72,6354.45,6391.41,6413.58,6420.97,6426.89,804.98
E2E Output Token Throughput (tokens/sec/user),26.02,25.76,26.23,78.07,25.77,25.79,25.82,25.92,26.07,26.15,26.20,26.22,26.23,0.20
Effective Concurrency,2.72,0.00,3.00,,,,,,3.00,,3.00,3.00,3.00,0.48
Effective Decode Concurrency,2.66,0.00,3.00,,,,,,3.00,,3.00,3.00,3.00,0.60
Effective Decode Throughput (tokens/sec),70.43,0.00,279.40,,,,,,78.04,,80.43,81.71,82.83,16.26
Effective Decode Throughput Per User (tokens/sec/user),26.07,0.00,279.40,,,,,,26.46,,27.34,27.57,28.24,7.02
Effective Latency (CO-aware) (ms),5952.21,4814.57,6557.92,17856.62,4847.96,4981.53,5148.48,5649.35,6484.12,6521.02,6543.16,6550.54,6556.45,804.99
Effective Prefill Concurrency,0.06,0.00,3.00,,,,,,0.00,,0.00,0.00,3.00,0.42
Effective Prefill Throughput (tokens/sec),7.32,0.00,374.49,,,,,,0.00,,0.00,0.00,374.49,51.81
Effective Prefill Throughput Per User (tokens/sec/user),2.45,0.00,140.15,,,,,,0.00,,0.00,0.00,124.83,17.30
Effective Total Throughput (tokens/sec),77.75,0.00,374.49,,,,,,79.29,,79.29,79.29,374.49,43.68
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,155.00,124.00,172.00,465.00,124.90,128.50,133.00,146.50,169.00,170.50,171.40,171.70,171.94,21.95
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),1.13,1.07,1.25,3.39,1.07,1.07,1.07,1.07,1.07,1.16,1.21,1.23,1.25,0.08
HTTP Connection Overhead (ms),1.59,1.45,1.86,4.78,1.45,1.45,1.45,1.46,1.48,1.67,1.78,1.82,1.85,0.19
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),39.49,31.67,43.77,118.47,31.90,32.81,33.94,37.35,43.03,43.40,43.62,43.69,43.75,5.53
HTTP Data Sent (KB),0.22,0.20,0.23,0.65,0.20,0.20,0.21,0.21,0.22,0.22,0.23,0.23,0.23,0.01
HTTP DNS Lookup (ms),0.47,0.37,0.61,1.40,0.38,0.38,0.38,0.39,0.41,0.51,0.57,0.59,0.60,0.10
HTTP Duration (excl. conn) (ms),5950.56,4813.23,6556.13,17851.67,4846.61,4980.13,5147.04,5647.77,6482.31,6519.22,6541.37,6548.75,6554.65,804.78
HTTP Receiving (ms),5822.64,4685.03,6428.41,17467.93,4718.42,4851.97,5018.92,5519.76,6354.49,6391.45,6413.63,6421.02,6426.93,804.98
HTTP Sending (ms),1.59,1.49,1.73,4.78,1.49,1.50,1.50,1.53,1.56,1.65,1.70,1.71,1.72,0.10
HTTP Total Time (ms),5952.15,4814.71,6557.58,17856.45,4848.10,4981.65,5148.60,5649.44,6484.16,6520.87,6542.90,6550.24,6556.11,804.85
HTTP Waiting (TTFB) (ms),126.32,126.09,126.71,378.96,126.09,126.10,126.10,126.12,126.16,126.43,126.60,126.66,126.70,0.28
Input Sequence Length (tokens),16.00,13.00,18.00,48.00,13.08,13.40,13.80,15.00,17.00,17.50,17.80,17.90,17.98,2.16
Inter Chunk Latency (ms),37.81,3.58,41.07,17467.81,35.47,36.30,36.59,37.30,37.88,38.40,39.18,39.82,40.77,1.89
Inter Token Latency (ms),37.84,37.59,38.09,113.51,37.60,37.62,37.64,37.71,37.82,37.96,38.04,38.06,38.08,0.20
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),155.00,124.00,172.00,465.00,124.90,128.50,133.00,146.50,169.00,170.50,171.40,171.70,171.94,21.95
Output Token Throughput Per User (tokens/sec/user),26.43,26.25,26.60,79.29,26.26,26.27,26.29,26.35,26.44,26.52,26.57,26.58,26.60,0.14
Prefill Throughput Per User (tokens/sec/user),124.83,101.50,140.15,374.49,102.12,104.63,107.77,117.17,132.84,136.50,138.69,139.42,140.00,16.77
Reasoning Token Count (tokens),155.00,124.00,172.00,465.00,124.90,128.50,133.00,146.50,169.00,170.50,171.40,171.70,171.94,21.95
Request Latency (ms),5950.77,4813.43,6556.33,17852.30,4846.81,4980.34,5147.25,5647.98,6482.54,6519.43,6541.57,6548.95,6554.86,804.78
Time to First Token (ms),128.16,127.97,128.43,384.49,127.97,127.98,127.99,128.03,128.08,128.26,128.36,128.40,128.43,0.20
Time to Second Token (ms),39.25,39.25,39.25,117.76,39.25,39.25,39.25,39.25,39.25,39.25,39.25,39.25,39.25,0.00
Tokens In Flight (tokens),252.83,0.00,420.00,,,,,,284.00,,366.00,393.00,414.00,102.93

Metric,Value
Benchmark Duration (sec),6.56
Input Token Throughput (tokens/sec),7.32
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),70.89
Request Count,3.00
Request Throughput (requests/sec),0.46
Total Input Sequence Length (tokens),48.00
Total Output Sequence Length (tokens),465.00
Total Reasoning Tokens (tokens),465.00
Total Token Throughput (tokens/sec),78.21
