Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),68.52,0.00,201.11,,,,,,78.51,,81.28,81.86,83.57,17.33
Active Decode Throughput Per User (tokens/sec/user),27.06,0.00,201.11,,,,,,26.83,,28.24,28.87,29.94,5.05
Active Prefill Throughput (tokens/sec),214.30,66.09,247.08,,,,,,247.08,,247.08,247.08,247.08,53.57
Active Prefill Throughput Per User (tokens/sec/user),77.23,63.28,120.53,,,,,,82.36,,82.36,82.36,82.36,8.53
Active Total Throughput (tokens/sec),73.21,27.11,247.08,,,,,,80.34,,80.34,80.34,247.08,31.42
Credit-to-Start Latency (ms),1.30,1.04,1.54,3.90,1.05,1.07,1.10,1.18,1.32,1.43,1.50,1.52,1.54,0.21
Decode Duration (ms),5318.94,4121.27,6196.87,15956.81,4151.61,4273.01,4424.75,4879.97,5638.67,5917.77,6085.23,6141.05,6185.71,877.01
E2E Output Token Throughput (tokens/sec/user),26.16,25.86,26.49,78.47,25.86,25.88,25.91,25.99,26.12,26.30,26.42,26.46,26.49,0.26
Effective Concurrency,2.58,0.00,3.00,,,,,,3.00,,3.00,3.00,3.00,0.65
Effective Decode Concurrency,2.50,0.00,3.00,,,,,,3.00,,3.00,3.00,3.00,0.75
Effective Decode Throughput (tokens/sec),67.06,0.00,201.11,,,,,,78.19,,81.28,81.86,83.57,19.80
Effective Decode Throughput Per User (tokens/sec/user),26.48,0.00,201.11,,,,,,26.81,,28.23,28.87,29.94,6.34
Effective Latency (CO-aware) (ms),5485.65,4255.05,6380.13,16456.96,4286.39,4411.73,4568.40,5038.42,5821.78,6100.96,6268.46,6324.29,6368.96,899.53
Effective Prefill Concurrency,0.08,0.00,3.00,,,,,,0.00,,0.00,0.00,3.00,0.46
Effective Prefill Throughput (tokens/sec),6.11,0.00,247.08,,,,,,0.00,,0.00,0.00,247.08,36.80
Effective Prefill Throughput Per User (tokens/sec/user),2.20,0.00,120.53,,,,,,0.00,,0.00,0.00,82.36,12.93
Effective Total Throughput (tokens/sec),73.17,0.00,247.08,,,,,,80.34,,80.34,80.34,247.08,31.46
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,143.67,110.00,169.00,431.00,110.84,114.20,118.40,131.00,152.00,160.50,165.60,167.30,168.66,24.80
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.99,0.92,1.06,2.97,0.93,0.93,0.94,0.96,0.99,1.02,1.04,1.05,1.06,0.05
HTTP Connection Overhead (ms),1.43,1.37,1.51,4.29,1.37,1.37,1.38,1.39,1.41,1.46,1.49,1.50,1.51,0.06
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),36.61,28.13,42.97,109.84,28.34,29.19,30.25,33.43,38.74,40.86,42.12,42.55,42.89,6.24
