Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),51.24,0.00,223.64,,,,,,32.45,,89.35,91.18,93.45,25.09
Active Decode Throughput Per User (tokens/sec/user),30.81,0.00,223.64,,,,,,31.15,,32.39,33.00,34.75,5.85
Active Prefill Throughput (tokens/sec),212.83,82.33,251.29,,,,,,251.29,,251.29,251.29,251.29,67.73
Active Prefill Throughput Per User (tokens/sec/user),86.13,78.90,93.48,,,,,,83.76,,93.48,93.48,93.48,4.17
Active Total Throughput (tokens/sec),57.19,30.90,251.29,,,,,,30.90,,88.47,88.47,251.29,41.60
Credit-to-Start Latency (ms),1.37,1.26,1.54,4.11,1.27,1.27,1.27,1.29,1.31,1.42,1.49,1.51,1.53,0.12
Decode Duration (ms),3119.80,1678.27,5437.40,9359.39,1689.58,1734.82,1791.36,1961.00,2243.72,3840.56,4798.66,5118.03,5373.53,1654.97
E2E Output Token Throughput (tokens/sec/user),28.17,26.86,30.02,84.50,26.88,26.94,27.02,27.24,27.62,28.82,29.54,29.78,29.97,1.34
Effective Concurrency,1.75,0.00,3.00,,,,,,1.00,,3.00,3.00,3.00,0.92
Effective Decode Concurrency,1.66,0.00,3.00,,,,,,1.00,,3.00,3.00,3.00,0.93
Effective Decode Throughput (tokens/sec),49.88,0.00,223.64,,,,,,32.39,,89.09,91.18,93.45,26.09
Effective Decode Throughput Per User (tokens/sec/user),30.00,0.00,223.64,,,,,,31.03,,32.39,33.00,34.75,7.60
Effective Latency (CO-aware) (ms),3282.52,1825.28,5631.48,9847.55,1836.59,1881.83,1938.38,2108.03,2390.79,4011.14,4983.34,5307.41,5566.67,1676.94
Effective Prefill Concurrency,0.09,0.00,3.00,,,,,,0.00,,0.00,0.00,3.00,0.48
Effective Prefill Throughput (tokens/sec),7.28,0.00,251.29,,,,,,0.00,,0.00,0.00,251.29,40.66
Effective Prefill Throughput Per User (tokens/sec/user),2.95,0.00,93.48,,,,,,0.00,,0.00,0.00,83.76,15.67
Effective Total Throughput (tokens/sec),57.16,0.00,251.29,,,,,,30.90,,88.47,88.47,251.29,41.61
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,94.67,49.00,169.00,284.00,49.34,50.70,52.40,57.50,66.00,117.50,148.40,158.70,166.94,53.02
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
