Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),89.86,0.00,239.45,,,,,,98.14,,102.52,103.75,106.50,22.68
Active Decode Throughput Per User (tokens/sec/user),22.95,0.00,239.45,,,,,,24.56,,25.67,26.00,26.77,4.88
Active Prefill Throughput (tokens/sec),189.08,8.55,660.35,,,,,,161.87,,339.02,406.95,511.32,110.23
Active Prefill Throughput Per User (tokens/sec/user),45.98,2.14,135.49,,,,,,40.44,,80.83,101.47,123.65,26.09
Active Total Throughput (tokens/sec),275.14,24.99,726.89,,,,,,251.62,,418.76,496.53,604.46,110.56
Credit-to-Start Latency (ms),1.14,0.50,4.06,227.44,0.57,0.62,0.73,0.85,1.00,1.32,1.60,1.92,3.15,0.49
Decode Duration (ms),5539.94,2002.77,10606.81,1107988.77,2171.69,3165.55,3703.18,4636.44,5512.17,6418.91,7502.20,8121.40,9380.72,1465.57
E2E Output Token Throughput (tokens/sec/user),11.53,5.11,23.91,2305.32,6.67,8.25,8.92,10.12,11.48,12.65,13.66,14.28,23.78,2.53
Effective Concurrency,7.88,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,0.76
Effective Decode Concurrency,3.85,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.41
Effective Decode Throughput (tokens/sec),89.82,0.00,239.45,,,,,,98.14,,102.51,103.75,106.50,22.76
Effective Decode Throughput Per User (tokens/sec/user),22.94,0.00,239.45,,,,,,24.56,,25.67,26.00,26.77,4.91
Effective Latency (CO-aware) (ms),11334.51,4935.62,17814.28,2266901.01,5665.89,8223.31,8826.86,9950.45,11265.18,12539.87,14112.28,15073.49,16316.06,2110.84
Effective Prefill Concurrency,4.03,0.00,8.00,,,,,,4.00,,5.00,5.00,5.00,0.71
Effective Prefill Throughput (tokens/sec),185.32,0.00,660.35,,,,,,161.79,,335.68,406.95,511.32,112.28
Effective Prefill Throughput Per User (tokens/sec/user),45.06,0.00,135.49,,,,,,39.28,,80.83,101.47,123.65,26.62
Effective Total Throughput (tokens/sec),275.14,0.00,726.89,,,,,,251.62,,418.76,496.53,604.46,110.56
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,130.18,48.00,249.00,26035.00,50.99,73.95,87.90,110.00,129.00,148.25,172.00,190.10,210.31,34.01
HTTP Chunks Sent,1.00,1.00,1.00,200.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.03,0.00,1.18,5.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.98,0.16
HTTP Connection Overhead (ms),0.04,0.00,1.66,7.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.42,0.23
HTTP Connection Reused (ratio),0.97,0.00,1.00,195.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.16
HTTP Data Received (KB),33.20,12.47,63.25,6640.54,13.21,19.02,22.50,28.14,32.90,37.82,43.70,48.38,53.47,8.58
HTTP Data Sent (KB),1.36,0.14,6.39,271.04,0.15,0.15,0.16,0.19,0.90,1.89,3.30,4.30,5.47,1.31
HTTP DNS Lookup (ms),0.01,0.00,0.57,2.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.44,0.07
HTTP Duration (excl. conn) (ms),11333.26,4934.09,17813.01,2266652.11,5665.13,8220.74,8825.94,9949.52,11264.08,12538.50,14111.14,15072.53,16314.34,2110.80
HTTP Receiving (ms),5539.95,2002.80,10606.81,1107990.56,2171.69,3165.57,3703.21,4636.45,5512.18,6418.91,7502.20,8121.40,9380.76,1465.57
HTTP Sending (ms),0.25,0.09,1.84,49.79,0.10,0.13,0.14,0.17,0.21,0.26,0.31,0.37,1.49,0.22
HTTP Total Time (ms),11333.30,4935.50,17813.01,2266659.60,5665.13,8220.74,8825.94,9949.52,11264.08,12538.50,14111.14,15072.53,16314.34,2110.79
