Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),71.57,18.84,261.72,,,,,,78.01,,80.37,80.93,83.02,13.17
Active Decode Throughput Per User (tokens/sec/user),26.49,13.11,261.72,,,,,,26.37,,27.28,27.57,28.17,5.80
Active Prefill Throughput (tokens/sec),251.38,94.27,285.85,,,,,,285.85,,285.85,285.85,285.85,55.44
Active Prefill Throughput Per User (tokens/sec/user),91.36,81.19,95.28,,,,,,95.28,,95.28,95.28,95.28,6.32
Active Total Throughput (tokens/sec),77.36,26.49,285.85,,,,,,79.10,,79.10,79.10,285.85,34.31
Credit-to-Start Latency (ms),1.46,1.37,1.58,4.38,1.38,1.38,1.38,1.40,1.42,1.50,1.55,1.56,1.58,0.09
Decode Duration (ms),5837.32,4694.13,6455.02,17511.96,4727.50,4861.00,5027.87,5528.47,6362.81,6408.91,6436.58,6445.80,6453.18,809.23
E2E Output Token Throughput (tokens/sec/user),25.75,25.38,26.09,77.26,25.39,25.42,25.46,25.59,25.79,25.94,26.03,26.06,26.08,0.29
Effective Concurrency,2.73,0.00,3.00,,,,,,3.00,,3.00,3.00,3.00,0.46
Effective Decode Concurrency,2.65,0.00,3.00,,,,,,3.00,,3.00,3.00,3.00,0.62
Effective Decode Throughput (tokens/sec),70.04,0.00,261.72,,,,,,77.77,,80.37,80.93,83.02,16.64
Effective Decode Throughput Per User (tokens/sec/user),25.92,0.00,261.72,,,,,,26.36,,27.26,27.51,28.17,6.90
Effective Latency (CO-aware) (ms),6011.94,4886.50,6594.08,18035.83,4919.87,5053.37,5220.25,5720.87,6555.25,6574.67,6586.32,6590.20,6593.31,795.97
Effective Prefill Concurrency,0.08,0.00,3.00,,,,,,0.00,,0.00,0.00,3.00,0.46
Effective Prefill Throughput (tokens/sec),7.28,0.00,285.85,,,,,,0.00,,0.00,0.00,285.85,43.19
Effective Prefill Throughput Per User (tokens/sec/user),2.64,0.00,95.28,,,,,,0.00,,0.00,0.00,95.28,15.35
Effective Total Throughput (tokens/sec),77.32,0.00,285.85,,,,,,79.10,,79.10,79.10,285.85,34.35
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,155.00,124.00,172.00,465.00,124.90,128.50,133.00,146.50,169.00,170.50,171.40,171.70,171.94,21.95
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),1.26,0.87,1.48,3.79,0.88,0.93,0.99,1.15,1.43,1.46,1.47,1.48,1.48,0.28
HTTP Connection Overhead (ms),1.81,1.22,2.12,5.42,1.24,1.31,1.39,1.65,2.07,2.10,2.11,2.12,2.12,0.41
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),39.47,31.63,43.77,118.42,31.86,32.77,33.91,37.33,43.02,43.40,43.62,43.70,43.76,5.56
HTTP Data Sent (KB),0.22,0.20,0.23,0.65,0.20,0.20,0.21,0.21,0.22,0.22,0.23,0.23,0.23,0.01
HTTP DNS Lookup (ms),0.54,0.35,0.64,1.62,0.36,0.38,0.41,0.49,0.64,0.64,0.64,0.64,0.64,0.14
HTTP Duration (excl. conn) (ms),6010.25,4884.82,6592.52,18030.76,4918.19,5051.68,5218.54,5719.12,6553.42,6572.97,6584.70,6588.61,6591.74,795.96
HTTP Receiving (ms),5837.39,4694.20,6455.12,17512.17,4727.57,4861.06,5027.93,5528.52,6362.85,6408.99,6436.67,6445.89,6453.28,809.24
HTTP Sending (ms),1.83,1.33,2.08,5.48,1.35,1.41,1.48,1.70,2.07,2.07,2.08,2.08,2.08,0.35
HTTP Total Time (ms),6012.06,4886.89,6593.75,18036.18,4920.26,5053.76,5220.62,5721.22,6555.54,6574.64,6586.10,6589.92,6592.98,795.77
HTTP Waiting (TTFB) (ms),171.04,136.07,188.55,513.11,137.12,141.31,146.55,162.28,188.49,188.52,188.54,188.55,188.55,24.73
Input Sequence Length (tokens),16.00,13.00,18.00,48.00,13.08,13.40,13.80,15.00,17.00,17.50,17.80,17.90,17.98,2.16
Inter Chunk Latency (ms),37.90,3.82,53.07,17511.96,35.63,36.38,36.78,37.33,38.01,38.51,39.15,39.45,40.65,1.98
Inter Token Latency (ms),37.93,37.75,38.16,113.79,37.75,37.76,37.77,37.81,37.87,38.02,38.11,38.13,38.16,0.17
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),155.00,124.00,172.00,465.00,124.90,128.50,133.00,146.50,169.00,170.50,171.40,171.70,171.94,21.95
Output Token Throughput Per User (tokens/sec/user),26.37,26.20,26.49,79.10,26.21,26.22,26.24,26.30,26.40,26.45,26.47,26.48,26.49,0.12
Prefill Throughput Per User (tokens/sec/user),95.28,68.11,123.47,285.85,68.64,70.73,73.34,81.19,94.27,108.87,117.63,120.55,122.88,22.61
Reasoning Token Count (tokens),155.00,124.00,172.00,465.00,124.90,128.50,133.00,146.50,169.00,170.50,171.40,171.70,171.94,21.95
Request Latency (ms),6010.49,4885.08,6592.71,18031.46,4918.45,5051.94,5218.80,5719.37,6553.67,6573.19,6584.90,6588.80,6591.93,795.94
Time to First Token (ms),173.17,137.69,190.95,519.50,138.75,143.00,148.32,164.27,190.86,190.90,190.93,190.94,190.95,25.09
Time to Second Token (ms),44.79,40.64,53.07,134.36,40.64,40.64,40.64,40.65,40.66,46.86,50.58,51.82,52.82,5.85
Tokens In Flight (tokens),251.89,0.00,421.00,,,,,,283.00,,367.00,394.00,415.00,104.71

Metric,Value
Benchmark Duration (sec),6.59
Input Token Throughput (tokens/sec),7.28
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),70.50
Request Count,3.00
Request Throughput (requests/sec),0.45
Total Input Sequence Length (tokens),48.00
Total Output Sequence Length (tokens),465.00
Total Reasoning Tokens (tokens),465.00
Total Token Throughput (tokens/sec),77.77
