Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),51.56,0.00,208.41,,,,,,54.54,,58.03,60.04,63.54,11.95
Active Decode Throughput Per User (tokens/sec/user),26.50,0.00,208.41,,,,,,27.31,,29.06,30.05,31.80,4.51
Active Prefill Throughput (tokens/sec),1452.62,41.83,3144.16,,,,,,1453.51,,2632.79,2814.92,3035.87,888.09
Active Prefill Throughput Per User (tokens/sec/user),1452.39,41.83,3144.16,,,,,,1453.51,,2632.79,2814.92,3035.87,888.43
Active Total Throughput (tokens/sec),171.61,24.48,3169.12,,,,,,53.69,,59.73,1252.94,2636.22,468.22
Credit-to-Start Latency (ms),1.01,0.47,2.69,201.54,0.53,0.59,0.66,0.80,0.93,1.17,1.46,1.57,1.79,0.32
Decode Duration (ms),4738.74,895.16,9258.99,947748.31,1631.07,2729.11,3109.47,3927.49,4685.93,5527.52,6458.03,6784.86,7901.65,1311.57
E2E Output Token Throughput (tokens/sec/user),26.02,22.64,29.35,5204.76,23.71,24.45,24.91,25.33,25.86,26.51,27.58,28.21,29.25,1.10
Effective Concurrency,1.99,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.10
Effective Decode Concurrency,1.91,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.29
Effective Decode Throughput (tokens/sec),51.55,0.00,208.41,,,,,,54.54,,58.03,60.04,63.54,11.98
Effective Decode Throughput Per User (tokens/sec/user),26.49,0.00,208.41,,,,,,27.31,,29.06,30.05,31.80,4.52
Effective Latency (CO-aware) (ms),4945.63,1062.30,9448.88,989125.09,1839.94,2986.41,3314.41,4088.25,4898.13,5716.04,6599.98,7028.17,8067.76,1310.98
Effective Prefill Concurrency,0.08,0.00,2.00,,,,,,0.00,,0.00,1.00,1.00,0.28
Effective Prefill Throughput (tokens/sec),120.05,0.00,3144.16,,,,,,0.00,,0.00,1225.09,2610.07,474.51
Effective Prefill Throughput Per User (tokens/sec/user),120.04,0.00,3144.16,,,,,,0.00,,0.00,1225.09,2610.07,474.51
Effective Total Throughput (tokens/sec),171.61,0.00,3169.12,,,,,,53.69,,59.73,1252.94,2636.22,468.22
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,129.03,29.00,249.00,25807.00,48.99,72.00,85.00,107.75,128.50,148.25,172.10,193.05,210.31,35.85
HTTP Chunks Sent,1.00,1.00,1.00,200.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.61,0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04
HTTP Connection Overhead (ms),0.00,0.00,0.61,0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04
HTTP Connection Reused (ratio),0.99,0.00,1.00,199.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.07
HTTP Data Received (KB),32.92,7.67,63.16,6583.44,12.72,18.51,21.84,27.55,32.79,37.80,43.82,49.00,53.44,9.05
HTTP Data Sent (KB),1.57,0.15,5.56,314.45,0.16,0.17,0.18,0.22,1.21,2.38,3.60,4.32,4.99,1.35
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),4944.52,1061.08,9448.01,988903.96,1839.09,2985.44,3313.48,4087.48,4897.17,5715.03,6598.56,7027.40,8066.71,1310.98
HTTP Receiving (ms),4738.74,895.16,9258.99,947748.98,1631.08,2729.11,3109.47,3927.49,4685.95,5527.52,6458.03,6784.86,7901.64,1311.57
HTTP Sending (ms),0.20,0.10,0.77,39.27,0.10,0.11,0.13,0.16,0.20,0.23,0.25,0.25,0.27,0.06
HTTP Total Time (ms),4944.52,1061.68,9448.01,988904.57,1839.09,2985.44,3313.48,4087.48,4897.17,5715.03,6598.56,7027.40,8066.71,1310.97
HTTP Waiting (TTFB) (ms),205.58,115.03,369.97,41115.72,116.86,123.40,125.59,130.36,201.28,248.06,292.30,319.49,355.50,64.07
Input Sequence Length (tokens),298.17,5.00,1155.00,59634.00,6.00,7.00,9.00,14.75,216.50,460.50,709.50,838.95,1017.08,281.50
Inter Chunk Latency (ms),37.01,4.80,221.09,947748.31,31.33,32.94,34.16,35.65,36.51,37.20,37.93,38.54,68.93,8.01
Inter Token Latency (ms),37.06,31.97,40.86,7412.33,33.02,33.87,34.97,36.56,37.27,37.92,38.64,38.83,40.15,1.46
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),129.03,29.00,249.00,25807.00,48.99,72.00,85.00,107.75,128.50,148.25,172.10,193.05,210.31,35.85
Output Token Throughput Per User (tokens/sec/user),27.03,24.48,31.28,5405.13,24.91,25.76,25.88,26.37,26.83,27.35,28.59,29.52,30.29,1.11
Prefill Throughput Per User (tokens/sec/user),1174.01,41.83,3144.16,234802.28,48.43,55.60,72.10,110.88,1105.59,1871.24,2482.28,2664.77,2976.51,891.77
Reasoning Token Count (tokens),129.03,29.00,249.00,25807.00,48.99,72.00,85.00,107.75,128.50,148.25,172.10,193.05,210.31,35.85
Request Latency (ms),4944.62,1061.15,9448.09,988923.55,1839.17,2985.53,3313.57,4087.57,4897.26,5715.11,6598.66,7027.52,8066.82,1310.98
Time to First Token (ms),205.88,115.22,370.24,41175.24,117.17,123.67,125.89,130.63,201.62,248.38,292.60,319.76,355.70,64.07
Time to Second Token (ms),36.94,32.11,43.64,7387.90,32.87,34.13,35.04,36.22,37.04,37.69,38.72,39.27,40.29,1.54
Tokens In Flight (tokens),728.67,0.00,1821.00,,,,,,705.00,,1226.00,1372.00,1650.00,364.87

Metric,Value
Benchmark Duration (sec),496.72
Input Token Throughput (tokens/sec),120.05
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),51.95
Request Count,200.00
Request Throughput (requests/sec),0.40
Total Input Sequence Length (tokens),59634.00
Total Output Sequence Length (tokens),25807.00
Total Reasoning Tokens (tokens),25807.00
Total Token Throughput (tokens/sec),172.01
