Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),42.09,0.00,248.71,,,,,,31.99,,56.74,57.31,58.63,13.82
Active Decode Throughput Per User (tokens/sec/user),28.81,0.00,248.71,,,,,,28.69,,31.00,31.50,32.39,4.70
Active Prefill Throughput (tokens/sec),527.92,72.09,846.72,,,,,,846.72,,846.72,846.72,846.72,353.70
Active Prefill Throughput Per User (tokens/sec/user),501.38,72.09,846.72,,,,,,846.72,,846.72,846.72,846.72,382.05
Active Total Throughput (tokens/sec),57.39,27.36,874.08,,,,,,55.23,,55.23,57.44,874.08,106.82
Credit-to-Start Latency (ms),1.28,0.96,1.64,3.84,0.96,0.99,1.01,1.10,1.24,1.44,1.56,1.60,1.64,0.28
Decode Duration (ms),6080.79,5418.82,6683.90,18242.38,5433.24,5490.91,5562.99,5779.24,6139.66,6411.78,6575.05,6629.48,6673.02,518.14
E2E Output Token Throughput (tokens/sec/user),27.84,26.99,29.33,83.53,26.99,27.01,27.03,27.10,27.21,28.27,28.90,29.11,29.28,1.05
Effective Concurrency,1.50,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.50
Effective Decode Concurrency,1.46,0.00,2.00,,,,,,1.00,,2.00,2.00,2.00,0.52
Effective Decode Throughput (tokens/sec),41.67,0.00,248.71,,,,,,31.95,,56.74,57.30,58.63,14.38
Effective Decode Throughput Per User (tokens/sec/user),28.52,0.00,248.71,,,,,,28.68,,30.99,31.50,32.39,5.49
Effective Latency (CO-aware) (ms),6246.31,5586.93,6889.18,18738.93,5600.45,5654.52,5722.11,5924.88,6262.83,6576.00,6763.91,6826.54,6876.65,531.77
Effective Prefill Concurrency,0.04,0.00,2.00,,,,,,0.00,,0.00,0.00,1.00,0.24
Effective Prefill Throughput (tokens/sec),15.70,0.00,846.72,,,,,,0.00,,0.00,0.00,846.72,108.47
Effective Prefill Throughput Per User (tokens/sec/user),14.92,0.00,846.72,,,,,,0.00,,0.00,0.00,846.72,107.69
Effective Total Throughput (tokens/sec),57.37,0.00,874.08,,,,,,55.23,,55.23,57.44,874.08,106.81
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,174.33,152.00,202.00,523.00,152.34,153.70,155.40,160.50,169.00,185.50,195.40,198.70,201.34,20.76
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.80,0.00,1.49,2.40,0.02,0.09,0.18,0.45,0.91,1.20,1.37,1.43,1.48,0.61
