Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),28.31,0.00,285.19,,,,,,28.14,,28.76,29.02,29.47,6.73
Active Decode Throughput Per User (tokens/sec/user),28.31,0.00,285.19,,,,,,28.14,,28.76,29.02,29.47,6.73
Active Prefill Throughput (tokens/sec),1106.83,167.41,1565.75,,,,,,1214.32,,1565.75,1565.75,1565.75,543.74
Active Prefill Throughput Per User (tokens/sec/user),1106.83,167.41,1565.75,,,,,,1214.32,,1565.75,1565.75,1565.75,543.74
Active Total Throughput (tokens/sec),65.28,28.21,1565.75,,,,,,28.30,,28.47,28.47,1565.75,220.53
Credit-to-Start Latency (ms),1.03,0.67,1.58,3.10,0.67,0.69,0.71,0.76,0.85,1.22,1.44,1.51,1.57,0.39
Decode Duration (ms),4285.25,2579.25,5955.82,12855.74,2614.08,2753.39,2927.53,3449.96,4320.66,5138.24,5628.79,5792.31,5923.12,1378.71
E2E Output Token Throughput (tokens/sec/user),27.45,26.94,27.87,82.36,26.95,27.00,27.06,27.24,27.55,27.71,27.81,27.84,27.87,0.39
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.02
Effective Decode Concurrency,0.97,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.18
Effective Decode Throughput (tokens/sec),27.33,0.00,285.19,,,,,,28.13,,28.76,28.99,29.47,8.41
Effective Decode Throughput Per User (tokens/sec/user),27.33,0.00,285.19,,,,,,28.13,,28.76,28.99,29.47,8.41
Effective Latency (CO-aware) (ms),4438.37,2748.10,6064.93,13315.10,2783.18,2923.49,3098.89,3625.09,4502.08,5283.50,5752.36,5908.64,6033.67,1354.84
Effective Prefill Concurrency,0.03,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.18
Effective Prefill Throughput (tokens/sec),37.91,0.00,1565.75,,,,,,0.00,,0.00,0.00,1565.75,225.06
Effective Prefill Throughput Per User (tokens/sec/user),37.91,0.00,1565.75,,,,,,0.00,,0.00,0.00,1565.75,225.06
Effective Total Throughput (tokens/sec),65.24,0.00,1565.75,,,,,,28.30,,28.47,28.47,1565.75,220.47
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,122.33,74.00,169.00,367.00,75.00,79.00,84.00,99.00,124.00,146.50,160.00,164.50,168.10,38.80
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.41,0.00,1.24,1.24,0.00,0.00,0.00,0.00,0.00,0.62,0.99,1.11,1.21,0.58
HTTP Connection Overhead (ms),0.58,0.00,1.74,1.74,0.00,0.00,0.00,0.00,0.00,0.87,1.39,1.57,1.71,0.82
HTTP Connection Reused (ratio),0.67,0.00,1.00,2.00,0.02,0.10,0.20,0.50,1.00,1.00,1.00,1.00,1.00,0.47
HTTP Data Received (KB),31.23,19.03,43.00,93.70,19.28,20.29,21.56,25.35,31.68,37.34,40.73,41.86,42.77,9.79
HTTP Data Sent (KB),0.93,0.24,1.48,2.80,0.25,0.32,0.40,0.66,1.08,1.28,1.40,1.44,1.47,0.52
HTTP DNS Lookup (ms),0.17,0.00,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.25,0.40,0.45,0.49,0.24
HTTP Duration (excl. conn) (ms),4437.21,2747.17,6063.11,13311.62,2782.25,2922.59,3098.00,3624.25,4501.33,5282.22,5750.76,5906.94,6031.88,1354.49
HTTP Receiving (ms),4285.28,2579.26,5955.91,12855.84,2614.09,2753.40,2927.54,3449.97,4320.67,5138.29,5628.86,5792.39,5923.21,1378.74
HTTP Sending (ms),0.71,0.16,1.75,2.12,0.16,0.16,0.17,0.18,0.21,0.98,1.44,1.59,1.72,0.74
HTTP Total Time (ms),4437.79,2747.17,6064.85,13313.36,2782.25,2922.59,3098.00,3624.25,4501.33,5283.09,5752.15,5908.50,6033.58,1355.18
HTTP Waiting (TTFB) (ms),151.22,105.46,180.50,453.66,106.70,111.68,117.90,136.58,167.70,174.10,177.94,179.22,180.25,32.78
Input Sequence Length (tokens),168.33,18.00,283.00,505.00,21.72,36.60,55.20,111.00,204.00,243.50,267.20,275.10,281.42,111.09
Inter Chunk Latency (ms),35.32,3.51,38.72,12855.74,33.24,34.37,34.73,35.09,35.52,35.97,36.47,36.89,37.82,2.94
Inter Token Latency (ms),35.30,35.13,35.45,105.91,35.13,35.15,35.17,35.23,35.33,35.39,35.43,35.44,35.45,0.13
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),122.33,74.00,169.00,367.00,75.00,79.00,84.00,99.00,124.00,146.50,160.00,164.50,168.10,38.80
Output Token Throughput Per User (tokens/sec/user),28.33,28.21,28.47,84.98,28.21,28.22,28.23,28.26,28.30,28.39,28.43,28.45,28.46,0.11
Prefill Throughput Per User (tokens/sec/user),982.49,167.41,1565.75,2947.48,188.35,272.10,376.79,690.86,1214.32,1390.03,1495.46,1530.60,1558.72,593.94
Reasoning Token Count (tokens),122.33,74.00,169.00,367.00,75.00,79.00,84.00,99.00,124.00,146.50,160.00,164.50,168.10,38.80
Request Latency (ms),4437.33,2747.25,6063.34,13312.00,2782.33,2922.66,3098.08,3624.33,4501.41,5282.38,5750.96,5907.15,6032.10,1354.55
Time to First Token (ms),152.09,107.52,180.74,456.26,108.73,113.57,119.61,137.76,168.00,174.37,178.19,179.47,180.49,31.94
Time to Second Token (ms),36.08,35.54,36.38,108.25,35.56,35.62,35.70,35.93,36.32,36.35,36.37,36.37,36.38,0.38
Tokens In Flight (tokens),210.54,0.00,407.00,,,,,,216.00,,368.00,387.00,402.00,114.79

Metric,Value
Benchmark Duration (sec),13.32
Input Token Throughput (tokens/sec),37.91
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),27.55
Request Count,3.00
Request Throughput (requests/sec),0.23
Total Input Sequence Length (tokens),505.00
Total Output Sequence Length (tokens),367.00
Total Reasoning Tokens (tokens),367.00
Total Token Throughput (tokens/sec),65.47
