Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),29.61,0.00,1950.38,,,,,,28.97,,32.42,33.11,33.79,6.89
Active Decode Throughput Per User (tokens/sec/user),29.61,0.00,1950.38,,,,,,28.97,,32.42,33.11,33.79,6.89
Active Prefill Throughput (tokens/sec),1521.02,59.92,3490.58,,,,,,1459.85,,2799.38,3123.69,3490.58,976.73
Active Prefill Throughput Per User (tokens/sec/user),1521.02,59.92,3490.58,,,,,,1459.85,,2799.38,3123.69,3490.58,976.73
Active Total Throughput (tokens/sec),81.82,27.50,3490.58,,,,,,29.20,,32.68,32.99,2213.92,329.44
Credit-to-Start Latency (ms),0.75,0.27,2.27,150.09,0.34,0.38,0.44,0.57,0.68,0.92,1.11,1.22,1.43,0.27
Decode Duration (ms),4348.03,956.24,8376.56,869605.37,1606.00,2311.30,2820.07,3633.41,4279.34,5094.95,5964.88,6801.19,7068.49,1266.22
E2E Output Token Throughput (tokens/sec/user),28.83,24.43,32.50,5766.59,26.08,26.90,27.13,27.53,28.29,29.95,31.40,31.95,32.40,1.69
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.02
Effective Decode Concurrency,0.96,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.18
Effective Decode Throughput (tokens/sec),28.57,0.00,1950.38,,,,,,28.89,,32.37,33.09,33.78,8.70
Effective Decode Throughput Per User (tokens/sec/user),28.57,0.00,1950.38,,,,,,28.89,,32.37,33.09,33.78,8.70
Effective Latency (CO-aware) (ms),4506.50,1187.98,8528.40,901299.34,1696.22,2486.50,2976.54,3727.40,4421.25,5292.07,6154.89,6989.02,7236.68,1267.74
Effective Prefill Concurrency,0.03,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.18
Effective Prefill Throughput (tokens/sec),53.22,0.00,3490.58,,,,,,0.00,,0.00,0.00,2213.92,333.92
Effective Prefill Throughput Per User (tokens/sec/user),53.22,0.00,3490.58,,,,,,0.00,,0.00,0.00,2213.92,333.92
Effective Total Throughput (tokens/sec),81.79,0.00,3490.58,,,,,,29.20,,32.68,32.99,2213.92,329.38
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,129.76,29.00,249.00,25952.00,48.99,71.95,84.90,108.75,129.00,152.25,172.10,194.00,210.31,36.32
HTTP Chunks Sent,1.00,1.00,1.00,200.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,200.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),33.11,7.67,63.19,6622.14,12.71,18.51,21.78,27.81,32.91,38.81,43.85,49.23,53.46,9.17
HTTP Data Sent (KB),1.25,0.14,6.33,250.94,0.15,0.15,0.16,0.17,0.88,1.80,3.03,3.66,4.62,1.21
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),4505.69,1187.11,8527.74,901137.50,1695.03,2485.65,2975.68,3726.32,4420.50,5291.60,6154.05,6988.29,7236.05,1267.76
HTTP Receiving (ms),4348.04,956.27,8376.58,869608.19,1606.00,2311.31,2820.08,3633.44,4279.36,5094.96,5964.90,6801.21,7068.49,1266.22
HTTP Sending (ms),0.12,0.09,0.17,23.50,0.09,0.09,0.09,0.10,0.10,0.14,0.15,0.15,0.16,0.02
HTTP Total Time (ms),4505.69,1187.11,8527.74,901137.50,1695.03,2485.65,2975.68,3726.32,4420.50,5291.60,6154.05,6988.29,7236.05,1267.76
HTTP Waiting (TTFB) (ms),157.53,83.03,364.17,31505.82,86.50,89.12,91.58,98.73,154.44,194.57,234.37,261.09,293.61,56.77
Input Sequence Length (tokens),239.90,6.00,1272.00,47979.00,6.99,7.00,8.00,12.00,161.50,369.00,593.90,724.45,932.55,250.59
Inter Chunk Latency (ms),33.77,0.51,41.48,869605.37,29.20,30.06,30.61,32.77,34.36,35.52,36.25,36.71,37.72,3.30
Inter Token Latency (ms),33.73,29.91,36.36,6746.27,30.18,30.49,30.98,32.61,34.22,35.25,35.75,35.89,36.04,1.79
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),129.76,29.00,249.00,25952.00,48.99,71.95,84.90,108.75,129.00,152.25,172.10,194.00,210.31,36.32
Output Token Throughput Per User (tokens/sec/user),29.73,27.50,33.43,5946.51,27.75,27.87,27.97,28.37,29.22,30.66,32.28,32.79,33.13,1.63
Prefill Throughput Per User (tokens/sec/user),1181.20,59.92,3490.58,236240.01,71.23,78.34,89.17,130.83,1050.47,1892.84,2541.97,2891.96,3174.24,957.69
Reasoning Token Count (tokens),129.76,29.00,249.00,25952.00,48.99,71.95,84.90,108.75,129.00,152.25,172.10,194.00,210.31,36.32
Request Latency (ms),4505.75,1187.18,8527.80,901149.25,1695.08,2485.72,2975.73,3726.38,4420.56,5291.65,6154.12,6988.35,7236.12,1267.76
Time to First Token (ms),157.72,83.27,364.41,31543.88,86.72,89.31,91.75,98.90,154.61,194.77,234.54,261.26,293.77,56.77
