Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),28.06,0.00,240.54,,,,,,27.92,,28.64,28.93,29.46,5.91
Active Decode Throughput Per User (tokens/sec/user),28.06,0.00,240.54,,,,,,27.92,,28.64,28.93,29.46,5.91
Active Prefill Throughput (tokens/sec),597.93,121.39,1189.44,,,,,,170.98,,1189.44,1189.44,1189.44,517.38
Active Prefill Throughput Per User (tokens/sec/user),597.93,121.39,1189.44,,,,,,170.98,,1189.44,1189.44,1189.44,517.38
Active Total Throughput (tokens/sec),44.06,27.64,1189.44,,,,,,28.23,,28.41,28.41,1189.44,127.97
Credit-to-Start Latency (ms),1.09,0.53,1.57,3.26,0.54,0.59,0.66,0.85,1.16,1.36,1.49,1.53,1.56,0.43
Decode Duration (ms),4323.35,2569.66,5950.98,12970.06,2607.26,2757.64,2945.61,3509.54,4449.41,5200.20,5650.67,5800.83,5920.95,1383.29
E2E Output Token Throughput (tokens/sec/user),27.40,27.09,27.90,82.21,27.09,27.10,27.11,27.16,27.22,27.56,27.76,27.83,27.88,0.35
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.02
Effective Decode Concurrency,0.97,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.17
Effective Decode Throughput (tokens/sec),27.26,0.00,240.54,,,,,,27.89,,28.63,28.88,29.46,7.47
Effective Decode Throughput Per User (tokens/sec/user),27.26,0.00,240.54,,,,,,27.89,,28.63,28.88,29.46,7.47
Effective Latency (CO-aware) (ms),4449.32,2732.46,6059.64,13347.95,2768.92,2914.80,3097.14,3644.15,4555.85,5307.75,5758.88,5909.26,6029.57,1360.40
Effective Prefill Concurrency,0.03,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.17
Effective Prefill Throughput (tokens/sec),16.78,0.00,1189.44,,,,,,0.00,,0.00,0.00,1189.44,131.38
Effective Prefill Throughput Per User (tokens/sec/user),16.78,0.00,1189.44,,,,,,0.00,,0.00,0.00,1189.44,131.38
Effective Total Throughput (tokens/sec),44.04,0.00,1189.44,,,,,,28.23,,28.41,28.41,1189.44,127.94
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,122.33,74.00,169.00,367.00,75.00,79.00,84.00,99.00,124.00,146.50,160.00,164.50,168.10,38.80
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.40,0.00,1.21,1.21,0.00,0.00,0.00,0.00,0.00,0.60,0.97,1.09,1.18,0.57
HTTP Connection Overhead (ms),0.57,0.00,1.71,1.71,0.00,0.00,0.00,0.00,0.00,0.85,1.37,1.54,1.67,0.81
HTTP Connection Reused (ratio),0.67,0.00,1.00,2.00,0.02,0.10,0.20,0.50,1.00,1.00,1.00,1.00,1.00,0.47
HTTP Data Received (KB),31.23,19.02,43.00,93.69,19.28,20.29,21.55,25.34,31.67,37.33,40.73,41.86,42.77,9.79
HTTP Data Sent (KB),0.48,0.20,1.02,1.45,0.20,0.20,0.21,0.21,0.23,0.62,0.86,0.94,1.00,0.38
HTTP DNS Lookup (ms),0.17,0.00,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.25,0.40,0.45,0.49,0.24
HTTP Duration (excl. conn) (ms),4448.11,2731.87,6057.86,13344.34,2768.33,2914.15,3096.42,3643.24,4554.61,5306.23,5757.21,5907.54,6027.80,1359.91
HTTP Receiving (ms),4323.39,2569.67,5951.06,12970.17,2607.27,2757.65,2945.62,3509.55,4449.43,5200.25,5650.74,5800.90,5921.03,1383.32
HTTP Sending (ms),0.67,0.13,1.71,2.00,0.13,0.14,0.14,0.14,0.15,0.93,1.40,1.55,1.68,0.74
HTTP Total Time (ms),4448.68,2731.87,6059.57,13346.05,2768.33,2914.15,3096.42,3643.24,4554.61,5307.09,5758.58,5909.07,6029.47,1360.59
HTTP Waiting (TTFB) (ms),124.06,105.02,162.07,372.18,105.02,105.03,105.04,105.06,105.09,133.58,150.67,156.37,160.93,26.87
Input Sequence Length (tokens),74.67,13.00,193.00,224.00,13.10,13.50,14.00,15.50,18.00,105.50,158.00,175.50,189.50,83.70
Inter Chunk Latency (ms),35.63,4.16,39.45,12970.06,32.39,34.53,34.89,35.29,35.75,36.38,37.11,37.42,38.28,2.90
Inter Token Latency (ms),35.60,35.20,36.17,106.80,35.21,35.22,35.25,35.31,35.42,35.80,36.02,36.10,36.16,0.42
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),122.33,74.00,169.00,367.00,75.00,79.00,84.00,99.00,124.00,146.50,160.00,164.50,168.10,38.80
Output Token Throughput Per User (tokens/sec/user),28.09,27.64,28.41,84.28,27.66,27.70,27.76,27.94,28.23,28.32,28.37,28.39,28.40,0.33
Prefill Throughput Per User (tokens/sec/user),493.94,121.39,1189.44,1481.81,122.38,126.35,131.31,146.19,170.98,680.21,985.74,1087.59,1169.07,492.21
Reasoning Token Count (tokens),122.33,74.00,169.00,367.00,75.00,79.00,84.00,99.00,124.00,146.50,160.00,164.50,168.10,38.80
Request Latency (ms),4448.23,2731.93,6058.08,13344.69,2768.38,2914.20,3096.48,3643.31,4554.69,5306.38,5757.40,5907.74,6028.01,1359.98
Time to First Token (ms),124.88,105.27,162.26,374.63,105.31,105.46,105.64,106.18,107.09,134.68,151.23,156.75,161.16,26.45
Time to Second Token (ms),37.06,36.12,38.27,111.18,36.13,36.19,36.26,36.46,36.79,37.53,37.97,38.12,38.24,0.90
Tokens In Flight (tokens),116.63,0.00,267.00,,,,,,106.00,,228.00,247.00,262.00,69.64

Metric,Value
Benchmark Duration (sec),13.35
Input Token Throughput (tokens/sec),16.78
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),27.49
Request Count,3.00
Request Throughput (requests/sec),0.22
Total Input Sequence Length (tokens),224.00
Total Output Sequence Length (tokens),367.00
Total Reasoning Tokens (tokens),367.00
Total Token Throughput (tokens/sec),44.26
