Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),32.89,0.00,245.72,,,,,,32.87,,33.81,34.00,34.53,6.41
Active Decode Throughput Per User (tokens/sec/user),32.89,0.00,245.72,,,,,,32.87,,33.81,34.00,34.53,6.41
Active Prefill Throughput (tokens/sec),1049.91,114.44,1487.63,,,,,,1107.53,,1487.63,1487.63,1487.63,515.49
Active Prefill Throughput Per User (tokens/sec/user),1049.91,114.44,1487.63,,,,,,1107.53,,1487.63,1487.63,1487.63,515.49
Active Total Throughput (tokens/sec),72.67,32.83,1487.63,,,,,,32.86,,33.06,33.06,1487.63,221.96
Credit-to-Start Latency (ms),0.91,0.70,1.26,2.74,0.70,0.70,0.71,0.74,0.79,1.02,1.17,1.21,1.25,0.25
Decode Duration (ms),3689.16,2207.93,5116.65,11067.48,2238.62,2361.42,2514.92,2975.42,3742.91,4429.78,4841.90,4979.27,5089.17,1188.09
E2E Output Token Throughput (tokens/sec/user),31.70,31.10,32.42,95.11,31.11,31.15,31.20,31.34,31.59,32.00,32.25,32.34,32.40,0.55
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.02
Effective Decode Concurrency,0.96,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.20
Effective Decode Throughput (tokens/sec),31.59,0.00,245.72,,,,,,32.80,,33.80,33.99,34.53,8.98
Effective Decode Throughput Per User (tokens/sec/user),31.59,0.00,245.72,,,,,,32.80,,33.80,33.99,34.53,8.98
Effective Latency (CO-aware) (ms),3840.25,2380.26,5214.03,11520.74,2411.19,2534.88,2689.50,3153.36,3926.45,4570.24,4956.51,5085.27,5188.28,1158.49
Effective Prefill Concurrency,0.04,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.19
Effective Prefill Throughput (tokens/sec),41.04,0.00,1487.63,,,,,,0.00,,0.00,0.00,1487.63,227.59
Effective Prefill Throughput Per User (tokens/sec/user),41.04,0.00,1487.63,,,,,,0.00,,0.00,0.00,1487.63,227.59
Effective Total Throughput (tokens/sec),72.63,0.00,1487.63,,,,,,32.86,,33.06,33.06,1487.63,221.91
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,122.33,74.00,169.00,367.00,75.00,79.00,84.00,99.00,124.00,146.50,160.00,164.50,168.10,38.80
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.30,0.00,0.91,0.91,0.00,0.00,0.00,0.00,0.00,0.46,0.73,0.82,0.89,0.43
