Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),50.92,0.00,256.65,,,,,,54.21,,56.32,57.11,60.03,11.58
Active Decode Throughput Per User (tokens/sec/user),26.16,0.00,256.65,,,,,,27.15,,28.22,28.61,30.08,4.33
Active Prefill Throughput (tokens/sec),1450.10,40.32,3096.13,,,,,,1447.14,,2655.72,2835.78,3030.07,889.79
Active Prefill Throughput Per User (tokens/sec/user),1449.87,40.32,3096.13,,,,,,1447.14,,2655.72,2835.78,3030.07,890.14
Active Total Throughput (tokens/sec),169.46,24.38,3120.91,,,,,,53.43,,56.75,1239.54,2599.49,465.59
Credit-to-Start Latency (ms),1.01,0.34,3.15,201.05,0.41,0.56,0.66,0.77,0.92,1.21,1.48,1.60,1.88,0.35
Decode Duration (ms),4801.23,937.07,9161.93,960245.84,1694.81,2716.49,3200.20,3966.03,4778.73,5630.20,6519.70,6989.81,7869.09,1330.94
E2E Output Token Throughput (tokens/sec/user),25.69,22.50,28.76,5138.43,23.72,24.25,24.72,25.19,25.70,26.19,26.59,27.02,28.11,0.86
Effective Concurrency,1.99,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.09
Effective Decode Concurrency,1.91,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.29
Effective Decode Throughput (tokens/sec),50.91,0.00,256.65,,,,,,54.21,,56.32,57.11,60.03,11.61
Effective Decode Throughput Per User (tokens/sec/user),26.16,0.00,256.65,,,,,,27.15,,28.22,28.61,30.08,4.35
Effective Latency (CO-aware) (ms),5008.46,1102.91,9351.76,1001692.14,1900.30,2916.36,3373.17,4164.45,4982.80,5852.04,6703.30,7231.86,8035.07,1330.87
Effective Prefill Concurrency,0.08,0.00,2.00,,,,,,0.00,,0.00,1.00,1.00,0.28
Effective Prefill Throughput (tokens/sec),118.55,0.00,3096.13,,,,,,0.00,,0.00,1213.49,2573.70,471.79
Effective Prefill Throughput Per User (tokens/sec/user),118.53,0.00,3096.13,,,,,,0.00,,0.00,1213.49,2573.70,471.79
Effective Total Throughput (tokens/sec),169.46,0.00,3120.91,,,,,,53.43,,56.75,1239.54,2599.49,465.59
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,129.03,29.00,249.00,25807.00,48.99,72.00,85.00,107.75,128.50,148.25,172.10,193.05,210.31,35.85
HTTP Chunks Sent,1.00,1.00,1.00,200.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.71,0.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05
HTTP Connection Overhead (ms),0.00,0.00,0.71,0.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05
HTTP Connection Reused (ratio),0.99,0.00,1.00,199.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.07
HTTP Data Received (KB),32.92,7.67,63.22,6584.48,12.70,18.52,21.82,27.55,32.78,37.83,43.78,48.97,53.50,9.05
HTTP Data Sent (KB),1.59,0.15,5.82,317.98,0.16,0.17,0.18,0.22,1.21,2.38,3.69,4.33,5.17,1.38
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),5007.36,1101.61,9350.57,1001472.47,1899.90,2915.42,3372.20,4163.30,4981.61,5851.01,6702.64,7230.86,8034.25,1330.86
HTTP Receiving (ms),4801.23,937.08,9161.94,960246.44,1694.81,2716.50,3200.19,3966.02,4778.73,5630.21,6519.70,6989.80,7869.10,1330.94
HTTP Sending (ms),0.19,0.09,0.97,38.02,0.10,0.10,0.11,0.16,0.20,0.22,0.24,0.25,0.27,0.07
HTTP Total Time (ms),5007.37,1102.32,9350.57,1001473.19,1899.90,2915.42,3372.20,4163.30,4981.61,5851.01,6702.64,7230.86,8034.25,1330.85
HTTP Waiting (TTFB) (ms),205.94,119.13,372.73,41188.01,122.65,123.77,125.41,134.35,200.71,247.19,295.83,316.34,346.59,63.57
Input Sequence Length (tokens),298.16,5.00,1155.00,59632.00,6.00,7.00,9.00,14.75,216.50,460.50,709.50,838.95,1017.08,281.51
Inter Chunk Latency (ms),37.50,3.90,215.68,960245.84,33.09,34.88,35.38,36.05,36.75,37.46,38.27,38.92,69.10,7.87
Inter Token Latency (ms),37.54,33.44,41.02,7507.12,34.31,35.79,36.32,36.97,37.56,38.23,38.73,39.18,40.36,1.12
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),129.03,29.00,249.00,25807.00,48.99,72.00,85.00,107.75,128.50,148.25,172.10,193.05,210.31,35.85
Output Token Throughput Per User (tokens/sec/user),26.67,24.38,29.90,5333.10,24.78,25.52,25.82,26.16,26.63,27.05,27.53,27.94,29.15,0.81
Prefill Throughput Per User (tokens/sec/user),1173.60,40.32,3096.13,234719.12,48.00,56.77,72.77,112.20,1100.99,1890.27,2456.60,2697.06,2989.29,892.16
Reasoning Token Count (tokens),129.03,29.00,249.00,25807.00,48.99,72.00,85.00,107.75,128.50,148.25,172.10,193.05,210.31,35.85
