Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),29.87,0.00,303.34,,,,,,29.02,,32.77,33.09,34.04,6.90
Active Decode Throughput Per User (tokens/sec/user),29.87,0.00,303.34,,,,,,29.02,,32.77,33.09,34.04,6.90
Active Prefill Throughput (tokens/sec),1115.54,170.77,1558.50,,,,,,1231.08,,1558.50,1558.50,1558.50,539.83
Active Prefill Throughput Per User (tokens/sec/user),1115.54,170.77,1558.50,,,,,,1231.08,,1558.50,1558.50,1558.50,539.83
Active Total Throughput (tokens/sec),68.76,28.90,1558.50,,,,,,29.04,,31.76,31.76,1558.50,226.16
Credit-to-Start Latency (ms),0.93,0.55,1.63,2.80,0.55,0.56,0.56,0.58,0.61,1.12,1.43,1.53,1.61,0.50
Decode Duration (ms),4061.60,2526.15,5785.64,12184.81,2553.09,2660.84,2795.53,3199.59,3873.02,4829.33,5403.12,5594.38,5747.39,1337.35
E2E Output Token Throughput (tokens/sec/user),28.92,27.49,30.58,86.76,27.51,27.61,27.73,28.09,28.69,29.64,30.20,30.39,30.54,1.27
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.02
Effective Decode Concurrency,0.96,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.19
Effective Decode Throughput (tokens/sec),28.79,0.00,303.34,,,,,,28.98,,32.75,33.09,34.04,8.78
Effective Decode Throughput Per User (tokens/sec/user),28.79,0.00,303.34,,,,,,28.98,,32.75,33.09,34.04,8.78
Effective Latency (CO-aware) (ms),4213.43,2692.41,5892.68,12640.30,2719.67,2828.69,2964.97,3373.81,4055.21,4973.95,5525.18,5708.93,5855.93,1311.28
Effective Prefill Concurrency,0.04,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.19
Effective Prefill Throughput (tokens/sec),39.94,0.00,1558.50,,,,,,0.00,,0.00,0.00,1558.50,231.07
Effective Prefill Throughput Per User (tokens/sec/user),39.94,0.00,1558.50,,,,,,0.00,,0.00,0.00,1558.50,231.07
Effective Total Throughput (tokens/sec),68.73,0.00,1558.50,,,,,,29.04,,31.76,31.76,1558.50,226.11
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,122.33,74.00,169.00,367.00,75.00,79.00,84.00,99.00,124.00,146.50,160.00,164.50,168.10,38.80
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.28,0.00,0.85,0.85,0.00,0.00,0.00,0.00,0.00,0.42,0.68,0.76,0.83,0.40
HTTP Connection Overhead (ms),0.41,0.00,1.23,1.23,0.00,0.00,0.00,0.00,0.00,0.62,0.99,1.11,1.21,0.58
HTTP Connection Reused (ratio),0.67,0.00,1.00,2.00,0.02,0.10,0.20,0.50,1.00,1.00,1.00,1.00,1.00,0.47
HTTP Data Received (KB),31.24,19.03,43.03,93.73,19.28,20.30,21.56,25.35,31.67,37.35,40.76,41.89,42.80,9.80
HTTP Data Sent (KB),0.95,0.24,1.51,2.86,0.25,0.32,0.41,0.67,1.11,1.31,1.43,1.47,1.50,0.53
HTTP DNS Lookup (ms),0.13,0.00,0.38,0.38,0.00,0.00,0.00,0.00,0.00,0.19,0.31,0.35,0.38,0.18
HTTP Duration (excl. conn) (ms),4212.40,2691.80,5890.85,12637.19,2719.06,2828.07,2964.35,3373.17,4054.53,4972.69,5523.59,5707.22,5854.13,1310.77
HTTP Receiving (ms),4061.64,2526.17,5785.72,12184.92,2553.11,2660.86,2795.54,3199.60,3873.04,4829.38,5403.18,5594.45,5747.46,1337.37
HTTP Sending (ms),0.50,0.15,1.18,1.49,0.15,0.15,0.15,0.15,0.15,0.67,0.98,1.08,1.16,0.49
HTTP Total Time (ms),4212.81,2691.80,5892.09,12638.42,2719.06,2828.07,2964.35,3373.17,4054.53,4973.31,5524.58,5708.33,5855.34,1311.30
HTTP Waiting (TTFB) (ms),150.26,103.96,181.34,450.78,105.19,110.11,116.26,134.72,165.48,173.41,178.17,179.76,181.02,33.38
Input Sequence Length (tokens),168.33,18.00,283.00,505.00,21.72,36.60,55.20,111.00,204.00,243.50,267.20,275.10,281.42,111.09
Inter Chunk Latency (ms),33.47,3.63,39.10,12184.81,28.77,30.05,30.39,31.90,34.32,35.10,35.65,35.98,36.73,3.32
Inter Token Latency (ms),33.51,31.49,34.60,100.53,31.55,31.78,32.08,32.96,34.44,34.52,34.57,34.59,34.60,1.43
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),122.33,74.00,169.00,367.00,75.00,79.00,84.00,99.00,124.00,146.50,160.00,164.50,168.10,38.80
Output Token Throughput Per User (tokens/sec/user),29.90,28.90,31.76,89.69,28.90,28.91,28.93,28.97,29.04,30.40,31.21,31.49,31.70,1.32
Prefill Throughput Per User (tokens/sec/user),986.78,170.77,1558.50,2960.35,191.98,276.80,382.83,700.93,1231.08,1394.79,1493.02,1525.76,1551.95,592.29
Reasoning Token Count (tokens),122.33,74.00,169.00,367.00,75.00,79.00,84.00,99.00,124.00,146.50,160.00,164.50,168.10,38.80
Request Latency (ms),4212.50,2691.86,5891.04,12637.51,2719.11,2828.13,2964.41,3373.23,4054.61,4972.82,5523.75,5707.40,5854.31,1310.82
Time to First Token (ms),150.90,105.40,181.58,452.70,106.61,111.43,117.46,135.56,165.71,173.65,178.41,180.00,181.27,32.82
Time to Second Token (ms),35.63,34.93,36.09,106.88,34.95,35.02,35.12,35.40,35.86,35.98,36.05,36.07,36.09,0.50
Tokens In Flight (tokens),206.87,0.00,407.00,,,,,,212.00,,365.00,385.00,402.00,113.50

Metric,Value
Benchmark Duration (sec),12.64
Input Token Throughput (tokens/sec),39.94
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),29.03
Request Count,3.00
Request Throughput (requests/sec),0.24
Total Input Sequence Length (tokens),505.00
Total Output Sequence Length (tokens),367.00
Total Reasoning Tokens (tokens),367.00
Total Token Throughput (tokens/sec),68.96
