Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),43.28,0.00,291.77,,,,,,53.60,,56.39,57.00,59.58,14.46
Active Decode Throughput Per User (tokens/sec/user),27.91,0.00,291.77,,,,,,28.00,,29.19,29.42,29.80,5.13
Active Prefill Throughput (tokens/sec),518.48,96.06,867.08,,,,,,867.08,,867.08,867.08,867.08,350.52
Active Prefill Throughput Per User (tokens/sec/user),482.87,96.06,867.08,,,,,,867.08,,867.08,867.08,867.08,384.91
Active Total Throughput (tokens/sec),60.40,27.27,894.35,,,,,,55.04,,55.71,55.71,894.35,112.05
Credit-to-Start Latency (ms),1.08,0.55,1.35,3.23,0.57,0.63,0.71,0.94,1.32,1.34,1.35,1.35,1.35,0.37
Decode Duration (ms),5533.81,4428.99,6161.48,16601.44,4460.63,4587.19,4745.38,5219.98,6010.96,6086.22,6131.38,6146.43,6158.47,783.64
E2E Output Token Throughput (tokens/sec/user),27.16,26.84,27.76,81.48,26.84,26.84,26.85,26.86,26.88,27.32,27.59,27.67,27.74,0.43
Effective Concurrency,1.58,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.49
Effective Decode Concurrency,1.54,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.52
Effective Decode Throughput (tokens/sec),42.72,0.00,291.77,,,,,,53.51,,56.29,57.00,59.58,15.17
Effective Decode Throughput Per User (tokens/sec/user),27.56,0.00,291.77,,,,,,27.97,,29.19,29.42,29.80,5.99
Effective Latency (CO-aware) (ms),5702.76,4614.08,6298.16,17108.29,4645.72,4772.28,4930.47,5405.06,6196.04,6247.10,6277.74,6287.95,6296.12,770.94
Effective Prefill Concurrency,0.05,0.00,2.00,,,,,,0.00,,0.00,0.00,2.00,0.26
Effective Prefill Throughput (tokens/sec),17.66,0.00,867.08,,,,,,0.00,,0.00,0.00,867.08,114.16
Effective Prefill Throughput Per User (tokens/sec/user),16.45,0.00,867.08,,,,,,0.00,,0.00,0.00,867.08,112.78
Effective Total Throughput (tokens/sec),60.39,0.00,894.35,,,,,,55.04,,55.71,55.71,894.35,112.04
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,155.00,124.00,172.00,465.00,124.90,128.50,133.00,146.50,169.00,170.50,171.40,171.70,171.94,21.95
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.63,0.00,0.95,1.89,0.02,0.09,0.19,0.47,0.94,0.95,0.95,0.95,0.95,0.45
HTTP Connection Overhead (ms),0.94,0.00,1.43,2.82,0.03,0.14,0.28,0.69,1.39,1.41,1.42,1.43,1.43,0.67
HTTP Connection Reused (ratio),0.33,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.50,0.80,0.90,0.98,0.47
HTTP Data Received (KB),39.47,31.64,43.79,118.42,31.86,32.77,33.91,37.32,43.00,43.39,43.63,43.71,43.77,5.55
HTTP Data Sent (KB),0.44,0.20,0.89,1.32,0.20,0.20,0.21,0.21,0.23,0.56,0.76,0.82,0.88,0.32
HTTP DNS Lookup (ms),0.31,0.00,0.49,0.93,0.01,0.04,0.09,0.22,0.44,0.46,0.48,0.48,0.49,0.22
HTTP Duration (excl. conn) (ms),5701.54,4612.58,6296.60,17104.62,4644.24,4770.87,4929.15,5404.01,6195.43,6246.02,6276.37,6286.49,6294.58,771.11
HTTP Receiving (ms),5533.86,4429.10,6161.50,16601.57,4460.74,4587.29,4745.47,5220.03,6010.97,6086.24,6131.40,6146.45,6158.49,783.59
HTTP Sending (ms),0.93,0.24,1.29,2.79,0.26,0.34,0.44,0.75,1.26,1.28,1.29,1.29,1.29,0.49
HTTP Total Time (ms),5702.48,4613.97,6298.04,17107.44,4645.60,4772.12,4930.27,5404.70,6195.43,6246.73,6277.51,6287.78,6295.98,770.83
HTTP Waiting (TTFB) (ms),166.75,133.81,184.22,500.25,134.78,138.65,143.49,158.02,182.23,183.22,183.82,184.02,184.18,23.31
Input Sequence Length (tokens),63.67,13.00,160.00,191.00,13.10,13.50,14.00,15.50,18.00,89.00,131.60,145.80,157.16,68.15
Inter Chunk Latency (ms),35.93,3.43,84.49,16601.44,33.52,33.96,34.30,35.15,35.92,36.48,37.08,37.54,38.71,3.29
Inter Token Latency (ms),35.95,35.15,36.68,107.84,35.17,35.24,35.32,35.58,36.01,36.34,36.54,36.61,36.66,0.62
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),155.00,124.00,172.00,465.00,124.90,128.50,133.00,146.50,169.00,170.50,171.40,171.70,171.94,21.95
Output Token Throughput Per User (tokens/sec/user),27.83,27.27,28.45,83.49,27.28,27.32,27.37,27.52,27.77,28.11,28.31,28.38,28.43,0.48
Prefill Throughput Per User (tokens/sec/user),353.70,96.06,867.08,1061.09,96.10,96.25,96.44,97.01,97.95,482.51,713.25,790.17,851.70,363.02
