Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),92.94,0.00,254.82,,,,,,97.63,,101.99,103.55,107.43,17.70
Active Decode Throughput Per User (tokens/sec/user),23.72,0.00,254.82,,,,,,24.48,,25.67,26.13,27.37,3.88
Active Prefill Throughput (tokens/sec),130.36,3.58,382.19,,,,,,108.23,,242.76,297.25,311.96,77.75
Active Prefill Throughput Per User (tokens/sec/user),34.84,0.90,108.58,,,,,,27.06,,74.31,75.19,108.58,23.22
Active Total Throughput (tokens/sec),215.56,25.42,452.00,,,,,,200.16,,316.66,390.14,405.03,81.79
Credit-to-Start Latency (ms),1.87,0.75,3.79,111.94,0.83,0.99,1.06,1.28,1.78,2.26,2.80,3.47,3.74,0.75
Decode Duration (ms),21561.01,4194.97,32833.15,1293660.88,6463.42,12067.71,14668.47,18110.39,21472.49,25689.18,28942.67,30234.81,32510.18,5833.92
E2E Output Token Throughput (tokens/sec/user),12.81,6.12,25.93,768.45,7.17,9.10,9.67,10.36,11.73,13.67,15.91,24.72,25.37,4.00
Effective Concurrency,7.59,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,1.28
Effective Decode Concurrency,3.89,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.40
Effective Decode Throughput (tokens/sec),92.90,0.00,254.82,,,,,,97.63,,101.99,103.55,107.43,17.81
Effective Decode Throughput Per User (tokens/sec/user),23.71,0.00,254.82,,,,,,24.48,,25.67,26.13,27.37,3.91
Effective Latency (CO-aware) (ms),42070.16,4398.18,60800.47,2524209.35,9812.32,23594.46,29530.72,37422.55,43518.17,49744.65,52654.17,53804.87,57647.70,10252.90
Effective Prefill Concurrency,3.70,0.00,8.00,,,,,,4.00,,4.00,4.00,5.00,1.07
Effective Prefill Throughput (tokens/sec),122.66,0.00,382.19,,,,,,104.56,,231.06,297.25,311.96,81.44
Effective Prefill Throughput Per User (tokens/sec/user),32.78,0.00,108.58,,,,,,26.14,,74.31,75.19,108.58,23.98
Effective Total Throughput (tokens/sec),215.56,0.00,452.00,,,,,,200.16,,316.66,390.14,405.03,81.80
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,514.92,114.00,782.00,30895.00,161.79,290.65,358.00,423.00,508.50,619.25,675.10,713.50,777.87,137.30
HTTP Chunks Sent,1.00,1.00,1.00,60.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.08,0.00,1.15,5.06,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.82,1.14,0.27
HTTP Connection Overhead (ms),0.12,0.00,1.57,7.02,0.00,0.00,0.00,0.00,0.00,0.00,0.04,1.22,1.57,0.37
HTTP Connection Reused (ratio),0.90,0.00,1.00,54.00,0.00,0.00,0.90,1.00,1.00,1.00,1.00,1.00,1.00,0.30
HTTP Data Received (KB),130.17,29.15,197.12,7810.23,41.16,73.60,90.66,107.13,128.54,156.22,170.61,180.34,196.19,34.60
HTTP Data Sent (KB),3.07,0.16,13.81,184.40,0.16,0.17,0.18,0.21,2.58,4.57,6.80,9.15,12.74,3.09
HTTP DNS Lookup (ms),0.03,0.00,0.43,1.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.42,0.11
HTTP Duration (excl. conn) (ms),42068.18,4396.78,60798.82,2524090.66,9811.02,23592.99,29529.53,37421.40,43516.35,49741.86,52652.29,53803.66,57645.75,10252.75
HTTP Receiving (ms),21564.20,4195.01,32833.16,1293851.99,6463.46,12067.72,14668.52,18110.40,21472.50,25689.19,28942.69,30234.83,32510.19,5837.63
HTTP Sending (ms),0.34,0.11,1.70,20.25,0.11,0.13,0.15,0.20,0.25,0.30,0.41,1.16,1.65,0.32
HTTP Total Time (ms),42068.29,4398.00,60798.82,2524097.68,9811.52,23594.02,29529.53,37421.40,43516.35,49741.86,52652.29,53803.66,57645.75,10252.57
HTTP Waiting (TTFB) (ms),20503.64,150.68,32204.06,1230218.41,180.14,201.49,12406.64,17776.72,21673.30,25033.99,28364.74,30775.39,31411.70,7555.81
Input Sequence Length (tokens),679.55,6.00,3065.00,40773.00,6.59,7.00,9.00,14.00,576.50,1014.00,1536.30,2016.85,2828.41,707.92
Inter Chunk Latency (ms),41.96,3.96,421.19,1293660.88,36.80,38.36,39.00,39.90,40.80,41.87,43.19,44.33,62.42,12.70
Inter Token Latency (ms),41.81,37.12,43.88,2508.32,38.43,40.05,40.86,41.25,41.78,42.62,43.00,43.20,43.54,1.09
