Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),48.36,0.00,268.27,,,,,,30.55,,82.82,84.82,88.85,23.76
Active Decode Throughput Per User (tokens/sec/user),28.93,0.00,268.27,,,,,,29.30,,30.54,30.85,31.37,3.40
Active Prefill Throughput (tokens/sec),210.14,78.52,232.33,,,,,,232.33,,232.33,232.33,232.33,35.40
Active Prefill Throughput Per User (tokens/sec/user),77.29,70.02,92.29,,,,,,77.44,,77.44,77.44,77.44,0.27
Active Total Throughput (tokens/sec),49.81,28.95,232.33,,,,,,28.95,,83.74,83.74,83.74,29.07
Credit-to-Start Latency (ms),1.30,1.17,1.44,3.89,1.17,1.18,1.19,1.22,1.28,1.36,1.41,1.42,1.44,0.11
Decode Duration (ms),13303.45,7118.41,23313.34,39910.34,7165.61,7354.43,7590.45,8298.50,9478.59,16395.97,20546.39,21929.87,23036.65,7143.35
E2E Output Token Throughput (tokens/sec/user),27.57,26.87,28.76,82.70,26.87,26.89,26.91,26.97,27.08,27.92,28.42,28.59,28.72,0.84
Effective Concurrency,1.72,0.00,3.00,,,,,,1.00,,3.00,3.00,3.00,0.91
Effective Decode Concurrency,1.70,0.00,3.00,,,,,,1.00,,3.00,3.00,3.00,0.91
Effective Decode Throughput (tokens/sec),48.06,0.00,268.27,,,,,,30.54,,82.82,84.73,88.85,23.98
Effective Decode Throughput Per User (tokens/sec/user),28.75,0.00,268.27,,,,,,29.30,,30.54,30.85,31.37,4.07
Effective Latency (CO-aware) (ms),13481.47,7259.66,23509.82,40444.41,7307.97,7501.19,7742.72,8467.29,9674.93,16592.38,20742.84,22126.33,23233.13,7159.34
Effective Prefill Concurrency,0.02,0.00,3.00,,,,,,0.00,,0.00,0.00,0.00,0.25
Effective Prefill Throughput (tokens/sec),1.74,0.00,232.33,,,,,,0.00,,0.00,0.00,0.00,19.33
Effective Prefill Throughput Per User (tokens/sec/user),0.64,0.00,92.29,,,,,,0.00,,0.00,0.00,0.00,7.01
Effective Total Throughput (tokens/sec),49.80,0.00,232.33,,,,,,28.95,,83.74,83.74,83.74,29.08
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,377.67,195.00,676.00,1133.00,196.34,201.70,208.40,228.50,262.00,469.00,593.20,634.60,667.72,212.72
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.99,0.90,1.18,2.98,0.90,0.90,0.90,0.90,0.91,1.04,1.13,1.15,1.18,0.13
HTTP Connection Overhead (ms),1.38,1.25,1.57,4.14,1.25,1.26,1.26,1.29,1.33,1.45,1.52,1.54,1.56,0.14
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),95.64,49.54,171.16,286.92,49.87,51.20,52.87,57.88,66.23,118.69,150.17,160.66,169.06,53.83
HTTP Data Sent (KB),0.21,0.20,0.24,0.63,0.20,0.20,0.20,0.20,0.20,0.22,0.23,0.23,0.23,0.02
HTTP DNS Lookup (ms),0.39,0.35,0.42,1.16,0.35,0.35,0.36,0.37,0.39,0.40,0.42,0.42,0.42,0.03
HTTP Duration (excl. conn) (ms),13479.98,7258.32,23508.14,40439.94,7306.62,7499.83,7741.35,8465.90,9673.48,16590.81,20741.21,22124.68,23231.45,7159.20
HTTP Receiving (ms),13303.55,7118.53,23313.44,39910.64,7165.73,7354.54,7590.56,8298.60,9478.67,16396.06,20546.49,21929.96,23036.75,7143.34
HTTP Sending (ms),1.41,1.27,1.66,4.22,1.27,1.27,1.27,1.28,1.29,1.48,1.59,1.63,1.66,0.18
HTTP Total Time (ms),13481.36,7259.65,23509.71,40444.08,7307.95,7501.15,7742.66,8467.19,9674.73,16592.22,20742.71,22126.21,23233.01,7159.33
HTTP Waiting (TTFB) (ms),175.02,138.50,193.54,525.07,139.59,143.95,149.41,165.77,193.04,193.29,193.44,193.49,193.53,25.83
Input Sequence Length (tokens),13.67,11.00,18.00,41.00,11.02,11.10,11.20,11.50,12.00,15.00,16.80,17.40,17.88,3.09
Inter Chunk Latency (ms),35.32,3.73,54.87,39910.34,31.98,32.60,33.02,33.70,35.37,36.70,37.61,38.16,41.04,2.19
Inter Token Latency (ms),35.85,34.54,36.69,107.55,34.57,34.72,34.89,35.43,36.32,36.50,36.62,36.66,36.69,0.94
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),377.67,195.00,676.00,1133.00,196.34,201.70,208.40,228.50,262.00,469.00,593.20,634.60,667.72,212.72
Output Token Throughput Per User (tokens/sec/user),27.91,27.25,28.95,83.74,27.26,27.28,27.31,27.39,27.54,28.24,28.67,28.81,28.93,0.74
Prefill Throughput Per User (tokens/sec/user),77.44,61.52,92.29,232.33,61.86,63.22,64.92,70.02,78.52,85.41,89.54,90.91,92.01,12.58
Reasoning Token Count (tokens),377.67,195.00,676.00,1133.00,196.34,201.70,208.40,228.50,262.00,469.00,593.20,634.60,667.72,212.72
Request Latency (ms),13480.18,7258.50,23508.38,40440.53,7306.80,7500.01,7741.53,8466.07,9673.65,16591.01,20741.44,22124.91,23231.69,7159.23
Time to First Token (ms),176.73,140.09,195.06,530.18,141.19,145.58,151.08,167.56,195.04,195.05,195.05,195.06,195.06,25.91
Time to Second Token (ms),41.95,35.47,54.87,125.85,35.47,35.47,35.48,35.49,35.50,45.19,51.00,52.94,54.49,9.14
Tokens In Flight (tokens),437.26,0.00,694.00,,,,,,456.00,,623.00,658.00,686.00,151.11

Metric,Value
Benchmark Duration (sec),23.51
Input Token Throughput (tokens/sec),1.74
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),48.19
Request Count,3.00
Request Throughput (requests/sec),0.13
Total Input Sequence Length (tokens),41.00
Total Output Sequence Length (tokens),1133.00
Total Reasoning Tokens (tokens),1133.00
Total Token Throughput (tokens/sec),49.93
