Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),19.31,0.00,45.59,,,,,,20.65,,23.99,25.06,28.10,5.34
Active Decode Throughput Per User (tokens/sec/user),10.25,0.00,31.88,,,,,,10.37,,12.03,12.65,14.08,1.76
Active Prefill Throughput (tokens/sec),211.66,5.70,844.93,,,,,,149.92,,613.11,733.28,844.93,218.93
Active Prefill Throughput Per User (tokens/sec/user),200.01,5.70,844.93,,,,,,149.92,,481.47,733.28,844.93,208.54
Active Total Throughput (tokens/sec),52.53,7.92,855.44,,,,,,21.01,,91.83,247.99,744.28,113.52
Credit-to-Start Latency (ms),1.29,0.70,1.98,64.33,0.75,0.89,0.95,1.07,1.23,1.53,1.70,1.82,1.92,0.30
Decode Duration (ms),11886.41,1362.12,21992.00,594320.44,1496.60,2987.87,6957.40,8972.01,11420.41,14933.07,18671.72,21126.10,21700.22,4927.07
E2E Output Token Throughput (tokens/sec/user),9.69,7.15,14.36,484.40,7.47,8.09,8.22,8.66,9.76,10.34,11.26,11.80,13.24,1.31
Effective Concurrency,2.00,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.05
Effective Decode Concurrency,1.83,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.41
Effective Decode Throughput (tokens/sec),19.08,0.00,45.59,,,,,,20.63,,23.98,25.06,28.10,5.70
Effective Decode Throughput Per User (tokens/sec/user),10.13,0.00,31.88,,,,,,10.36,,12.03,12.65,14.08,2.07
Effective Latency (CO-aware) (ms),12990.31,2682.28,23081.79,649515.66,2686.46,3935.24,7982.58,10037.93,12507.50,16210.50,19804.81,22214.39,22786.28,4928.86
Effective Prefill Concurrency,0.17,0.00,2.00,,,,,,0.00,,1.00,1.00,2.00,0.41
Effective Prefill Throughput (tokens/sec),33.44,0.00,844.93,,,,,,0.00,,82.86,236.63,733.28,116.33
Effective Prefill Throughput Per User (tokens/sec/user),31.60,0.00,844.93,,,,,,0.00,,82.86,235.23,733.28,110.42
Effective Total Throughput (tokens/sec),52.53,0.00,855.44,,,,,,21.01,,91.83,247.99,744.28,113.51
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,44.48,7.00,81.00,2224.00,7.49,12.60,26.70,34.00,43.50,55.50,69.30,76.55,79.53,17.47
HTTP Chunks Sent,1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.02,0.00,0.93,0.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.47,0.13
HTTP Connection Overhead (ms),0.02,0.00,0.93,0.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.47,0.13
HTTP Connection Reused (ratio),0.98,0.00,1.00,49.00,0.49,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.14
HTTP Data Received (KB),12.12,2.27,21.77,605.77,2.43,3.66,7.52,9.34,11.72,15.08,18.59,20.41,21.26,4.58
HTTP Data Sent (KB),1.48,0.17,6.44,73.84,0.17,0.17,0.18,0.22,1.14,1.93,3.82,4.89,6.00,1.52
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),12988.89,2680.16,23080.68,649444.57,2684.75,3933.83,7981.21,10036.29,12506.12,16209.24,19803.47,22212.62,22785.09,4928.87
HTTP Receiving (ms),12184.15,1904.18,22263.90,609207.43,2034.01,3258.33,7223.92,9244.53,11693.27,15383.71,18948.43,21397.30,21972.98,4905.47
HTTP Sending (ms),0.29,0.11,1.32,14.48,0.13,0.16,0.21,0.25,0.27,0.31,0.35,0.37,0.86,0.16
HTTP Total Time (ms),12988.91,2681.09,23080.68,649445.50,2685.23,3933.83,7981.21,10036.29,12506.12,16209.24,19803.47,22212.62,22785.09,4928.83
HTTP Waiting (TTFB) (ms),804.45,509.70,1098.49,40222.66,510.52,513.37,777.77,784.16,816.97,845.92,864.75,869.00,1064.63,102.94
Input Sequence Length (tokens),217.42,6.00,943.00,10871.00,6.49,8.00,8.90,15.25,145.50,284.00,554.60,765.75,880.77,239.93
Inter Chunk Latency (ms),279.81,231.91,649.80,594320.44,266.04,267.83,268.65,270.22,272.57,274.83,276.65,307.50,536.48,41.70
Inter Token Latency (ms),94.44,60.91,126.27,4721.83,63.14,71.70,77.14,84.20,93.50,105.07,112.66,115.92,122.47,14.32
OSL Mismatch Diff % (%),-5.53,-77.97,-1.20,-276.44,-75.22,-8.44,-4.13,-2.88,-2.39,-1.91,-1.68,-1.54,-1.22,14.29
Output Sequence Length (tokens),125.06,21.00,246.00,6253.00,23.45,35.00,69.80,101.00,122.50,154.25,175.80,192.10,242.08,46.61
Output Token Count (tokens),69.33,21.00,161.00,208.00,21.10,21.50,22.00,23.50,26.00,93.50,134.00,147.50,158.30,64.85
Output Token Throughput Per User (tokens/sec/user),10.85,7.92,16.42,542.60,8.17,8.63,8.88,9.52,10.70,11.89,12.96,13.99,15.86,1.77
Prefill Throughput Per User (tokens/sec/user),189.33,5.70,844.93,9466.31,6.62,8.19,10.45,14.48,123.60,258.30,486.24,679.20,795.31,209.34
Reasoning Token Count (tokens),128.62,26.00,246.00,6045.00,35.20,62.60,85.00,101.50,123.00,153.50,178.20,192.40,242.32,42.80
Request Latency (ms),12989.03,2680.30,23080.82,649451.33,2684.91,3933.96,7981.38,10036.43,12506.24,16209.38,19803.62,22212.78,22785.20,4928.87
Time to First Output Token (ms),1356.77,1327.58,1393.69,4070.31,1328.01,1329.73,1331.87,1338.31,1349.03,1371.36,1384.76,1389.23,1392.80,27.54
Time to First Token (ms),1102.62,777.94,1408.82,55130.89,778.20,784.14,1048.19,1054.65,1093.89,1132.25,1326.74,1344.10,1401.41,132.04
Time to Second Token (ms),272.46,265.33,279.12,13623.02,266.39,267.75,268.37,270.17,273.04,274.62,275.77,276.76,278.74,3.01
Tokens In Flight (tokens),560.83,0.00,1501.44,,,,,,528.73,,978.46,1153.79,1437.91,326.63

Metric,Value
Benchmark Duration (sec),325.06
Input Token Throughput (tokens/sec),33.44
OSL Mismatch Count,4.00
Output Token Throughput (tokens/sec),19.24
Request Count,50.00
Request Throughput (requests/sec),0.15
Total Input Sequence Length (tokens),10871.00
Total Output Sequence Length (tokens),6253.00
Total Output Tokens (tokens),208.00
Total Reasoning Tokens (tokens),6045.00
Total Token Throughput (tokens/sec),52.68
