Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),25.94,0.00,42.40,,,,,,30.91,,31.58,31.65,31.99,6.93
Active Decode Throughput Per User (tokens/sec/user),10.31,0.00,15.12,,,,,,10.32,,10.53,10.55,10.66,0.17
Active Prefill Throughput (tokens/sec),47.14,13.30,47.15,,,,,,47.15,,47.15,47.15,47.15,0.59
Active Prefill Throughput Per User (tokens/sec/user),15.72,13.30,16.32,,,,,,15.72,,15.72,15.72,15.72,0.04
Active Total Throughput (tokens/sec),26.98,10.22,47.15,,,,,,31.28,,31.28,31.28,47.15,8.17
Credit-to-Start Latency (ms),1.36,1.27,1.48,4.08,1.28,1.28,1.29,1.30,1.33,1.40,1.45,1.46,1.47,0.09
Decode Duration (ms),13509.37,9595.65,16150.01,40528.12,9699.39,10114.33,10633.01,12189.06,14782.46,15466.23,15876.50,16013.25,16122.66,2823.17
E2E Output Token Throughput (tokens/sec/user),9.86,9.55,10.27,29.59,9.55,9.57,9.59,9.66,9.78,10.02,10.17,10.22,10.26,0.30
Effective Concurrency,2.53,0.00,3.00,,,,,,3.00,,3.00,3.00,3.00,0.64
Effective Decode Concurrency,2.39,0.00,3.00,,,,,,3.00,,3.00,3.00,3.00,0.83
Effective Decode Throughput (tokens/sec),24.67,0.00,42.40,,,,,,30.87,,31.57,31.65,31.99,8.77
Effective Decode Throughput Per User (tokens/sec/user),9.81,0.00,15.12,,,,,,10.31,,10.52,10.55,10.66,2.23
Effective Latency (CO-aware) (ms),14337.92,10424.07,16978.66,43013.75,10527.81,10942.77,11461.46,13017.54,15611.01,16294.84,16705.13,16841.90,16951.31,2823.27
Effective Prefill Concurrency,0.15,0.00,3.00,,,,,,0.00,,0.00,0.00,3.00,0.65
Effective Prefill Throughput (tokens/sec),2.30,0.00,47.15,,,,,,0.00,,0.00,0.00,47.15,10.15
Effective Prefill Throughput Per User (tokens/sec/user),0.77,0.00,16.32,,,,,,0.00,,0.00,0.00,15.72,3.38
Effective Total Throughput (tokens/sec),26.97,0.00,47.15,,,,,,31.28,,31.28,31.28,47.15,8.18
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,51.33,37.00,61.00,154.00,37.38,38.90,40.80,46.50,56.00,58.50,60.00,60.50,60.90,10.34
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.95,0.83,1.06,2.85,0.83,0.84,0.85,0.89,0.96,1.01,1.04,1.05,1.06,0.10
HTTP Connection Overhead (ms),1.34,1.18,1.53,4.02,1.19,1.20,1.21,1.25,1.31,1.42,1.49,1.51,1.53,0.14
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),13.90,10.17,16.47,41.71,10.26,10.66,11.15,12.62,15.08,15.77,16.19,16.33,16.44,2.70
HTTP Data Sent (KB),0.23,0.22,0.26,0.70,0.22,0.22,0.22,0.22,0.22,0.24,0.25,0.25,0.26,0.02
HTTP DNS Lookup (ms),0.39,0.35,0.47,1.17,0.35,0.35,0.35,0.35,0.36,0.41,0.44,0.46,0.46,0.05
HTTP Duration (excl. conn) (ms),14336.39,10422.64,16977.17,43009.18,10526.37,10941.31,11459.99,13016.01,15609.37,16293.27,16703.61,16840.39,16949.81,2823.22
HTTP Receiving (ms),13796.83,9870.74,16462.12,41390.48,9974.48,10389.43,10908.12,12464.18,15057.61,15759.87,16181.22,16321.67,16434.03,2834.76
HTTP Sending (ms),1.39,1.36,1.44,4.18,1.36,1.36,1.37,1.37,1.39,1.41,1.43,1.43,1.44,0.03
HTTP Total Time (ms),14337.74,10423.95,16978.70,43013.21,10527.68,10942.61,11461.27,13017.25,15610.56,16294.63,16705.07,16841.89,16951.34,2823.27
HTTP Waiting (TTFB) (ms),538.17,513.61,550.51,1614.52,514.35,517.29,520.97,532.01,550.40,550.46,550.49,550.50,550.51,17.37
Input Sequence Length (tokens),13.00,11.00,16.00,39.00,11.02,11.10,11.20,11.50,12.00,14.00,15.20,15.60,15.92,2.16
Inter Chunk Latency (ms),273.84,266.55,280.21,40528.12,267.68,268.28,269.67,272.00,274.12,276.07,277.31,278.58,279.79,3.02
Inter Token Latency (ms),96.10,90.53,99.88,288.29,90.67,91.26,92.00,94.20,97.88,98.88,99.48,99.68,99.84,4.02
OSL Mismatch Diff % (%),-2.16,-2.73,-1.78,-6.48,-2.71,-2.65,-2.58,-2.35,-1.97,-1.87,-1.81,-1.80,-1.78,0.41
Output Sequence Length (tokens),140.67,107.00,166.00,422.00,107.84,111.20,115.40,128.00,149.00,157.50,162.60,164.30,165.66,24.80
