Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),12.75,0.00,26.78,,,,,,14.64,,18.05,18.46,18.75,4.47
Active Decode Throughput Per User (tokens/sec/user),8.43,0.00,17.81,,,,,,8.32,,9.13,9.27,9.97,0.76
Active Prefill Throughput (tokens/sec),74.61,15.51,115.52,,,,,,115.52,,115.52,115.52,115.52,44.27
Active Prefill Throughput Per User (tokens/sec/user),68.46,13.36,115.52,,,,,,115.52,,115.52,115.52,115.52,50.92
Active Total Throughput (tokens/sec),17.47,8.49,124.05,,,,,,16.87,,17.02,26.71,124.05,21.43
Credit-to-Start Latency (ms),1.67,1.39,2.00,5.00,1.39,1.41,1.43,1.50,1.61,1.80,1.92,1.96,1.99,0.25
Decode Duration (ms),17840.53,14389.36,19783.23,53521.60,14488.55,14885.32,15381.29,16869.18,19349.01,19566.12,19696.39,19739.81,19774.55,2446.78
E2E Output Token Throughput (tokens/sec/user),7.96,7.78,8.09,23.87,7.79,7.80,7.82,7.89,7.99,8.04,8.07,8.08,8.09,0.13
Effective Concurrency,1.56,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.50
Effective Decode Concurrency,1.46,0.00,2.00,,,,,,1.00,,2.00,2.00,2.00,0.56
Effective Decode Throughput (tokens/sec),12.34,0.00,26.78,,,,,,9.32,,18.04,18.46,18.75,4.93
Effective Decode Throughput Per User (tokens/sec/user),8.16,0.00,17.81,,,,,,8.32,,9.13,9.27,9.97,1.66
Effective Latency (CO-aware) (ms),19068.92,15551.74,21143.66,57206.77,15650.93,16047.70,16543.67,18031.55,20511.37,20827.51,21017.20,21080.43,21131.01,2500.38
Effective Prefill Concurrency,0.10,0.00,2.00,,,,,,0.00,,0.00,1.00,2.00,0.39
Effective Prefill Throughput (tokens/sec),5.12,0.00,115.52,,,,,,0.00,,0.00,26.71,115.52,22.15
Effective Prefill Throughput Per User (tokens/sec/user),4.70,0.00,115.52,,,,,,0.00,,0.00,13.36,115.52,21.86
Effective Total Throughput (tokens/sec),17.47,0.00,124.05,,,,,,16.87,,17.02,26.71,124.05,21.43
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,56.33,46.00,63.00,169.00,46.28,47.40,48.80,53.00,60.00,61.50,62.40,62.70,62.94,7.41
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.78,0.00,1.30,2.35,0.02,0.10,0.21,0.52,1.04,1.17,1.25,1.28,1.30,0.56
HTTP Connection Overhead (ms),1.11,0.00,1.86,3.33,0.03,0.15,0.29,0.73,1.46,1.66,1.78,1.82,1.85,0.80
HTTP Connection Reused (ratio),0.33,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.50,0.80,0.90,0.98,0.47
HTTP Data Received (KB),15.14,12.37,16.94,45.43,12.44,12.74,13.12,14.25,16.13,16.53,16.78,16.86,16.92,1.99
HTTP Data Sent (KB),0.46,0.21,0.95,1.39,0.21,0.21,0.21,0.22,0.23,0.59,0.81,0.88,0.94,0.35
