Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),23.91,8.24,44.27,,,,,,19.06,,31.42,31.48,36.27,7.51
Active Decode Throughput Per User (tokens/sec/user),9.88,4.12,14.76,,,,,,9.60,,10.48,10.56,12.09,0.60
Active Prefill Throughput (tokens/sec),68.92,21.22,68.95,,,,,,68.95,,68.95,68.95,68.95,1.16
Active Prefill Throughput Per User (tokens/sec/user),22.99,21.22,28.28,,,,,,22.98,,22.98,22.98,22.98,0.13
Active Total Throughput (tokens/sec),25.32,9.42,68.95,,,,,,31.17,,31.17,31.17,68.95,10.77
Credit-to-Start Latency (ms),1.50,1.17,1.80,4.51,1.18,1.21,1.24,1.36,1.54,1.67,1.75,1.78,1.80,0.26
Decode Duration (ms),13979.92,8522.56,17522.74,41939.76,8670.00,9259.75,9996.94,12208.51,15894.45,16708.60,17197.08,17359.91,17490.18,3915.77
E2E Output Token Throughput (tokens/sec/user),10.00,9.05,11.77,30.00,9.05,9.06,9.08,9.11,9.18,10.48,11.25,11.51,11.72,1.25
Effective Concurrency,2.41,0.00,3.00,,,,,,3.00,,3.00,3.00,3.00,0.65
Effective Decode Concurrency,2.32,0.00,3.00,,,,,,2.00,,3.00,3.00,3.00,0.77
Effective Decode Throughput (tokens/sec),23.16,0.00,44.27,,,,,,19.05,,31.42,31.48,36.27,8.49
Effective Decode Throughput Per User (tokens/sec/user),9.57,0.00,14.76,,,,,,9.56,,10.48,10.56,12.09,1.82
Effective Latency (CO-aware) (ms),14547.01,9089.56,18089.88,43641.04,9237.00,9826.76,10563.97,12775.58,16461.60,17275.74,17764.22,17927.05,18057.31,3915.84
Effective Prefill Concurrency,0.09,0.00,3.00,,,,,,0.00,,0.00,0.00,3.00,0.52
Effective Prefill Throughput (tokens/sec),2.16,0.00,68.95,,,,,,0.00,,0.00,0.00,68.95,12.00
Effective Prefill Throughput Per User (tokens/sec/user),0.72,0.00,28.28,,,,,,0.00,,0.00,0.00,22.98,4.00
Effective Total Throughput (tokens/sec),25.31,0.00,68.95,,,,,,31.17,,31.17,31.17,68.95,10.78
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,53.00,33.00,66.00,159.00,33.54,35.70,38.40,46.50,60.00,63.00,64.80,65.40,65.88,14.35
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),1.07,0.98,1.18,3.21,0.98,0.99,0.99,1.02,1.06,1.12,1.15,1.17,1.18,0.08
HTTP Connection Overhead (ms),1.56,1.47,1.69,4.69,1.47,1.48,1.48,1.50,1.52,1.61,1.66,1.68,1.69,0.09
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),14.29,9.17,17.65,42.88,9.31,9.86,10.55,12.61,16.05,16.85,17.33,17.49,17.62,3.68
HTTP Data Sent (KB),0.23,0.22,0.26,0.70,0.22,0.22,0.22,0.22,0.22,0.24,0.25,0.25,0.26,0.02
HTTP DNS Lookup (ms),0.49,0.47,0.51,1.47,0.47,0.47,0.47,0.48,0.49,0.50,0.51,0.51,0.51,0.02
HTTP Duration (excl. conn) (ms),14545.22,9088.12,18087.78,43635.67,9235.55,9825.29,10562.45,12773.95,16459.77,17273.77,17762.17,17924.98,18055.22,3915.57
HTTP Receiving (ms),14251.63,8794.29,17794.37,42754.90,8941.73,9531.48,10268.68,12480.26,16166.24,16980.31,17468.74,17631.56,17761.81,3915.75
HTTP Sending (ms),1.55,1.39,1.76,4.65,1.40,1.41,1.42,1.45,1.50,1.63,1.70,1.73,1.75,0.15
HTTP Total Time (ms),14546.78,9089.64,18089.25,43640.35,9237.08,9826.83,10564.01,12775.55,16461.46,17275.35,17763.69,17926.47,18056.69,3915.58
HTTP Waiting (TTFB) (ms),292.04,291.77,292.33,876.12,291.78,291.80,291.82,291.89,292.01,292.17,292.27,292.30,292.33,0.23
Input Sequence Length (tokens),13.00,11.00,16.00,39.00,11.02,11.10,11.20,11.50,12.00,14.00,15.20,15.60,15.92,2.16
Inter Chunk Latency (ms),274.12,235.62,313.87,41939.76,235.77,268.78,269.90,271.67,273.73,276.88,278.00,278.78,313.82,10.13
Inter Token Latency (ms),98.00,80.40,107.39,293.99,80.92,82.98,85.56,93.30,106.20,106.80,107.16,107.28,107.37,12.45
OSL Mismatch Diff % (%),-2.16,-2.73,-1.78,-6.48,-2.71,-2.65,-2.58,-2.35,-1.97,-1.87,-1.81,-1.80,-1.78,0.41
Output Sequence Length (tokens),140.67,107.00,166.00,422.00,107.84,111.20,115.40,128.00,149.00,157.50,162.60,164.30,165.66,24.80
Output Token Throughput Per User (tokens/sec/user),10.39,9.31,12.44,31.17,9.31,9.32,9.33,9.36,9.42,10.93,11.83,12.14,12.38,1.45
Prefill Throughput Per User (tokens/sec/user),22.98,19.46,28.28,68.95,19.49,19.63,19.81,20.34,21.22,24.75,26.87,27.57,28.14,3.81
Reasoning Token Count (tokens),140.67,107.00,166.00,422.00,107.84,111.20,115.40,128.00,149.00,157.50,162.60,164.30,165.66,24.80
Request Latency (ms),14545.51,9088.39,18088.08,43636.52,9235.82,9825.55,10562.72,12774.22,16460.06,17274.07,17762.47,17925.28,18055.52,3915.59
Time to First Token (ms),565.59,565.34,565.83,1696.77,565.34,565.36,565.39,565.47,565.60,565.72,565.78,565.80,565.82,0.20
Time to Second Token (ms),274.02,273.95,274.10,822.07,273.95,273.96,273.96,273.99,274.03,274.06,274.08,274.09,274.10,0.06
Tokens In Flight (tokens),198.69,0.00,322.53,,,,,,204.54,,291.75,302.01,317.40,76.04

Metric,Value
Benchmark Duration (sec),18.09
Input Token Throughput (tokens/sec),2.16
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),23.32
Request Count,3.00
Request Throughput (requests/sec),0.17
Total Input Sequence Length (tokens),39.00
Total Output Sequence Length (tokens),422.00
Total Reasoning Tokens (tokens),422.00
Total Token Throughput (tokens/sec),25.48
