Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),59.80,0.00,96.08,,,,,,69.50,,78.92,80.53,82.69,19.79
Active Decode Throughput Per User (tokens/sec/user),8.59,0.00,21.76,,,,,,9.38,,10.17,10.35,11.00,1.85
Active Prefill Throughput (tokens/sec),193.91,6.95,727.25,,,,,,127.20,,444.10,672.51,727.25,176.07
Active Prefill Throughput Per User (tokens/sec/user),137.77,6.95,727.25,,,,,,123.41,,242.15,268.20,727.25,128.49
Active Total Throughput (tokens/sec),133.43,7.39,788.17,,,,,,70.28,,307.61,368.45,788.17,141.06
Credit-to-Start Latency (ms),1.48,0.57,3.40,74.03,0.65,0.76,0.93,1.08,1.25,1.57,2.48,3.20,3.32,0.69
Decode Duration (ms),14241.75,1813.63,26583.70,712087.36,2107.38,3368.37,5871.57,9989.15,14183.74,17590.42,23640.64,25024.61,26082.64,6147.17
E2E Output Token Throughput (tokens/sec/user),8.22,6.10,11.27,410.81,6.27,6.67,6.92,7.41,7.83,8.89,9.61,10.80,11.08,1.18
Effective Concurrency,7.45,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,1.51
Effective Decode Concurrency,6.87,0.00,8.00,,,,,,7.00,,8.00,8.00,8.00,1.64
Effective Decode Throughput (tokens/sec),59.33,0.00,96.08,,,,,,69.15,,78.92,80.53,82.69,20.41
Effective Decode Throughput Per User (tokens/sec/user),8.52,0.00,21.76,,,,,,9.36,,10.17,10.35,11.00,1.99
Effective Latency (CO-aware) (ms),15438.05,3028.95,27761.34,771902.30,3126.36,4451.98,6986.47,10988.80,15505.50,18815.25,24488.68,26415.14,27369.19,6170.89
Effective Prefill Concurrency,0.58,0.00,8.00,,,,,,0.00,,2.00,2.00,3.00,1.01
Effective Prefill Throughput (tokens/sec),74.09,0.00,727.25,,,,,,0.00,,243.97,315.35,727.25,143.95
Effective Prefill Throughput Per User (tokens/sec/user),52.64,0.00,727.25,,,,,,0.00,,168.23,228.16,727.25,103.87
Effective Total Throughput (tokens/sec),133.42,0.00,788.17,,,,,,70.28,,307.61,368.45,788.17,141.06
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,44.70,8.00,82.00,2235.00,8.98,12.70,19.80,31.25,44.50,54.75,70.30,76.55,81.51,18.38
HTTP Chunks Sent,1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.23,0.00,2.05,11.56,0.00,0.00,0.00,0.00,0.00,0.00,1.13,1.88,2.00,0.60
HTTP Connection Overhead (ms),0.31,0.00,2.89,15.42,0.00,0.00,0.00,0.00,0.00,0.00,1.20,2.65,2.80,0.82
HTTP Connection Reused (ratio),0.86,0.00,1.00,43.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.35
HTTP Data Received (KB),12.19,2.59,21.87,609.54,2.77,3.79,5.68,8.78,12.14,14.69,18.74,20.37,21.78,4.76
HTTP Data Sent (KB),1.07,0.17,5.24,53.65,0.17,0.17,0.18,0.21,0.88,1.47,2.15,3.21,4.88,1.09
HTTP DNS Lookup (ms),0.08,0.00,0.84,3.86,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.76,0.81,0.23
HTTP Duration (excl. conn) (ms),15436.40,3027.37,27759.96,771820.01,3123.79,4449.60,6985.06,10987.81,15504.14,18813.53,24486.45,26413.86,27367.69,6171.08
HTTP Receiving (ms),14611.02,2422.16,26885.17,730551.07,2560.26,3832.23,6172.74,10283.40,14629.36,17900.98,23934.27,25349.16,26494.01,6115.65
HTTP Sending (ms),0.61,0.17,3.01,30.57,0.18,0.21,0.24,0.28,0.31,0.39,1.66,2.84,2.97,0.79
HTTP Total Time (ms),15436.71,3027.37,27759.96,771835.43,3125.10,4450.83,6985.32,10987.81,15504.14,18813.53,24486.45,26413.86,27367.69,6170.80
HTTP Waiting (TTFB) (ms),824.77,517.01,1202.85,41238.37,517.04,517.20,518.17,717.52,847.70,900.80,1054.03,1095.19,1202.77,179.01
Input Sequence Length (tokens),153.54,6.00,813.00,7677.00,6.49,7.45,8.00,14.00,121.00,203.25,319.80,476.70,761.55,174.30
Inter Chunk Latency (ms),333.53,260.50,657.15,712087.36,271.27,295.30,297.62,300.02,303.53,307.20,504.26,555.48,609.65,80.35
Inter Token Latency (ms),113.29,72.55,147.19,5664.46,74.05,79.66,85.47,100.17,118.64,126.43,135.27,142.99,145.20,19.11
OSL Mismatch Diff % (%),-6.77,-77.97,-1.20,-338.58,-72.75,-35.94,-6.54,-3.18,-2.39,-1.91,-1.68,-1.54,-1.22,15.04
Output Sequence Length (tokens),123.96,26.00,246.00,6198.00,26.00,38.85,69.80,95.50,122.50,154.25,175.80,192.10,242.08,46.83
Output Token Count (tokens),81.12,26.00,123.00,649.00,26.49,28.45,30.90,70.50,92.50,98.25,108.30,115.65,121.53,31.76
