Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),31.14,4.17,51.90,,,,,,34.53,,38.52,40.06,41.12,8.46
Active Decode Throughput Per User (tokens/sec/user),8.44,2.75,24.39,,,,,,8.76,,9.85,10.15,12.20,1.64
Active Prefill Throughput (tokens/sec),212.47,5.42,682.56,,,,,,144.55,,562.46,617.07,682.56,191.97
Active Prefill Throughput Per User (tokens/sec/user),193.46,5.42,682.56,,,,,,144.55,,427.78,562.46,682.56,172.82
Active Total Throughput (tokens/sec),82.23,11.43,708.64,,,,,,34.81,,232.58,338.31,660.34,127.92
Credit-to-Start Latency (ms),1.27,0.60,2.49,63.51,0.64,0.73,0.82,0.97,1.15,1.46,1.96,2.10,2.34,0.43
Decode Duration (ms),15080.01,7017.71,36283.78,754000.44,7395.20,8455.30,9265.37,11790.65,13540.34,17984.43,21256.75,22023.63,29800.61,5201.98
E2E Output Token Throughput (tokens/sec/user),8.10,6.45,10.52,405.01,6.51,6.64,6.92,7.39,8.03,8.73,9.50,9.97,10.40,0.98
Effective Concurrency,3.92,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.44
Effective Decode Concurrency,3.65,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.67
Effective Decode Throughput (tokens/sec),31.02,0.00,51.90,,,,,,34.52,,38.51,40.06,41.12,8.67
Effective Decode Throughput Per User (tokens/sec/user),8.41,0.00,24.39,,,,,,8.75,,9.85,10.15,12.20,1.72
Effective Latency (CO-aware) (ms),16213.78,8162.80,37423.23,810689.24,8559.62,9411.44,10427.19,12824.31,14681.89,18982.71,22614.05,23196.52,31103.95,5203.44
Effective Prefill Concurrency,0.27,0.00,4.00,,,,,,0.00,,1.00,1.00,2.00,0.54
Effective Prefill Throughput (tokens/sec),51.21,0.00,682.56,,,,,,0.00,,207.07,314.50,636.57,130.92
Effective Prefill Throughput Per User (tokens/sec/user),46.63,0.00,682.56,,,,,,0.00,,205.69,299.90,636.57,118.51
Effective Total Throughput (tokens/sec),82.23,0.00,708.64,,,,,,34.81,,232.58,338.31,660.34,127.92
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,50.46,25.00,118.00,2523.00,25.98,29.00,31.80,40.25,46.00,59.00,70.00,71.55,97.91,16.56
HTTP Chunks Sent,1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.07,0.00,1.47,3.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.57,1.32,0.29
HTTP Connection Overhead (ms),0.09,0.00,2.15,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.57,1.66,0.37
HTTP Connection Reused (ratio),0.94,0.00,1.00,47.00,0.00,0.45,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.24
HTTP Data Received (KB),13.54,7.01,31.02,676.87,7.17,7.92,8.76,10.91,12.35,15.76,18.59,18.90,26.28,4.32
HTTP Data Sent (KB),1.21,0.15,4.22,60.70,0.15,0.15,0.16,0.20,0.95,1.71,2.67,3.54,4.17,1.06
HTTP DNS Lookup (ms),0.01,0.00,0.68,0.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.09
HTTP Duration (excl. conn) (ms),16212.37,8161.72,37421.98,810618.72,8558.60,9409.03,10426.15,12822.05,14680.66,18981.22,22613.01,23195.52,31102.75,5203.47
HTTP Receiving (ms),15405.61,7312.87,36576.43,770280.72,7690.98,8745.84,9580.41,12086.31,13836.57,18345.01,21791.69,22315.89,30235.88,5214.18
HTTP Sending (ms),0.38,0.10,2.20,18.84,0.10,0.16,0.23,0.25,0.28,0.33,0.44,1.05,1.93,0.37
HTTP Total Time (ms),16212.46,8161.72,37421.98,810623.07,8558.60,9410.21,10426.15,12822.34,14680.66,18981.22,22613.01,23195.52,31102.75,5203.43
HTTP Waiting (TTFB) (ms),806.38,512.34,1245.37,40319.16,512.35,513.19,617.21,807.70,844.60,868.28,887.06,890.13,1073.51,127.68
Input Sequence Length (tokens),211.74,6.00,777.00,10587.00,6.49,7.45,8.90,13.25,164.50,336.00,448.70,642.45,751.52,198.98
Inter Chunk Latency (ms),311.18,253.74,915.37,754000.44,260.75,287.84,289.42,291.39,294.58,296.96,331.75,484.63,597.33,65.07
Inter Token Latency (ms),116.67,86.64,148.10,5833.46,87.06,91.52,97.82,107.22,116.79,126.92,133.41,137.84,148.05,14.61
OSL Mismatch Diff % (%),-2.44,-4.84,-1.20,-122.14,-4.45,-3.78,-3.35,-2.80,-2.28,-1.95,-1.78,-1.65,-1.22,0.70
Output Sequence Length (tokens),129.26,59.00,246.00,6463.00,64.88,76.60,86.50,104.25,128.50,151.25,165.10,179.40,242.08,36.17
Output Token Count (tokens),179.50,121.00,238.00,359.00,122.17,126.85,132.70,150.25,179.50,208.75,226.30,232.15,236.83,58.50
Output Token Throughput Per User (tokens/sec/user),8.71,6.75,11.54,435.59,6.75,7.26,7.50,7.88,8.56,9.33,10.22,10.93,11.49,1.14
Prefill Throughput Per User (tokens/sec/user),182.64,5.42,682.56,9131.76,5.78,7.25,8.64,13.97,139.95,284.89,432.94,542.42,660.03,173.30
Reasoning Token Count (tokens),127.17,59.00,246.00,6104.00,64.64,75.80,85.50,101.75,128.50,149.75,160.80,171.85,216.39,33.32
Request Latency (ms),16212.51,8161.85,37422.14,810625.74,8558.73,9409.27,10426.28,12822.17,14680.81,18981.40,22613.10,23195.67,31102.91,5203.47
Time to First Output Token (ms),1465.85,1458.77,1472.93,2931.69,1458.91,1459.47,1460.18,1462.31,1465.85,1469.39,1471.51,1472.22,1472.79,7.08
Time to First Token (ms),1132.51,804.85,1538.17,56625.30,804.86,805.06,908.53,1101.87,1138.88,1176.58,1333.44,1447.82,1506.20,158.46
Time to Second Token (ms),301.49,256.93,584.86,15074.45,271.32,288.92,290.08,291.99,294.89,296.89,298.27,331.58,464.48,42.06
