Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),14.46,0.00,46.60,,,,,,8.85,,32.83,33.25,38.03,10.03
Active Decode Throughput Per User (tokens/sec/user),9.33,0.00,17.62,,,,,,8.85,,10.97,11.08,12.68,0.97
Active Prefill Throughput (tokens/sec),68.74,17.63,68.76,,,,,,68.76,,68.76,68.76,68.76,0.91
Active Prefill Throughput Per User (tokens/sec/user),22.92,17.63,23.80,,,,,,22.92,,22.92,22.92,22.92,0.08
Active Total Throughput (tokens/sec),16.05,8.77,68.76,,,,,,8.77,,32.93,32.93,68.76,13.48
Credit-to-Start Latency (ms),1.39,1.16,1.52,4.17,1.16,1.19,1.22,1.33,1.50,1.51,1.51,1.52,1.52,0.17
Decode Duration (ms),9204.87,4127.77,18809.65,27614.60,4138.76,4182.71,4237.65,4402.48,4677.18,11743.42,15983.15,17396.40,18527.00,6795.31
E2E Output Token Throughput (tokens/sec/user),10.13,8.57,12.01,30.38,8.59,8.69,8.81,9.18,9.80,10.91,11.57,11.79,11.97,1.43
Effective Concurrency,1.51,0.00,3.00,,,,,,1.00,,3.00,3.00,3.00,0.86
Effective Decode Concurrency,1.42,0.00,3.00,,,,,,1.00,,3.00,3.00,3.00,0.85
Effective Decode Throughput (tokens/sec),14.03,0.00,46.60,,,,,,8.85,,32.83,33.25,38.03,10.18
Effective Decode Throughput Per User (tokens/sec/user),9.06,0.00,17.62,,,,,,8.85,,10.97,11.08,12.68,1.85
Effective Latency (CO-aware) (ms),9773.48,4696.27,19378.37,29320.44,4707.27,4751.23,4806.18,4971.04,5245.80,12312.08,16551.86,17965.11,19095.72,6795.39
Effective Prefill Concurrency,0.09,0.00,3.00,,,,,,0.00,,0.00,0.00,3.00,0.51
Effective Prefill Throughput (tokens/sec),2.01,0.00,68.76,,,,,,0.00,,0.00,0.00,68.76,11.59
Effective Prefill Throughput Per User (tokens/sec/user),0.67,0.00,23.80,,,,,,0.00,,0.00,0.00,22.92,3.86
Effective Total Throughput (tokens/sec),16.05,0.00,68.76,,,,,,8.77,,32.93,32.93,68.76,13.48
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,35.67,17.00,71.00,107.00,17.04,17.20,17.40,18.00,19.00,45.00,60.60,65.80,69.96,25.00
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),1.03,0.93,1.16,3.10,0.93,0.93,0.94,0.97,1.01,1.08,1.13,1.14,1.16,0.10
HTTP Connection Overhead (ms),1.43,1.29,1.54,4.28,1.29,1.30,1.32,1.37,1.45,1.50,1.52,1.53,1.54,0.11
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),9.67,4.78,18.93,29.01,4.79,4.84,4.89,5.04,5.30,12.11,16.20,17.57,18.66,6.55
HTTP Data Sent (KB),0.21,0.20,0.24,0.64,0.20,0.20,0.20,0.20,0.20,0.22,0.23,0.24,0.24,0.02
HTTP DNS Lookup (ms),0.39,0.36,0.44,1.18,0.36,0.36,0.36,0.37,0.38,0.41,0.43,0.43,0.44,0.03
HTTP Duration (excl. conn) (ms),9771.88,4694.91,19376.70,29315.64,4705.89,4749.82,4804.73,4969.47,5244.03,12310.36,16550.17,17963.43,19094.05,6795.33
HTTP Receiving (ms),9477.21,4401.15,19081.55,28431.64,4412.10,4455.93,4510.71,4675.04,4948.94,12015.25,16255.03,17668.29,18798.90,6794.97
HTTP Sending (ms),1.49,1.34,1.69,4.46,1.34,1.35,1.36,1.38,1.43,1.56,1.64,1.66,1.69,0.15
HTTP Total Time (ms),9773.31,4696.36,19377.99,29319.92,4707.34,4751.28,4806.20,4970.96,5245.57,12311.78,16551.50,17964.75,19095.34,6795.24
HTTP Waiting (TTFB) (ms),293.18,292.33,293.81,879.54,292.36,292.44,292.55,292.87,293.40,293.60,293.73,293.77,293.80,0.62
Input Sequence Length (tokens),13.00,10.00,17.00,39.00,10.04,10.20,10.40,11.00,12.00,14.50,16.00,16.50,16.90,2.94
