Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),30.40,5.45,59.29,,,,,,33.35,,38.48,39.91,41.88,8.36
Active Decode Throughput Per User (tokens/sec/user),8.22,2.30,14.82,,,,,,8.49,,9.67,10.08,10.70,1.60
Active Prefill Throughput (tokens/sec),256.25,6.16,1047.34,,,,,,169.37,,638.41,784.54,1047.34,258.50
Active Prefill Throughput Per User (tokens/sec/user),251.11,6.16,1047.34,,,,,,158.60,,638.41,784.54,1047.34,261.06
Active Total Throughput (tokens/sec),93.79,8.97,1072.46,,,,,,32.62,,276.89,510.09,919.99,167.94
Credit-to-Start Latency (ms),1.28,0.61,2.60,63.95,0.62,0.79,0.84,1.01,1.17,1.56,1.88,1.98,2.31,0.41
Decode Duration (ms),15053.05,2912.04,30822.19,752652.69,4076.72,6427.08,6781.57,12281.60,14946.15,19519.32,21613.47,23036.75,27234.05,5609.03
E2E Output Token Throughput (tokens/sec/user),7.91,6.35,11.07,395.33,6.38,6.56,6.81,7.22,7.76,8.35,9.17,10.12,11.06,1.06
Effective Concurrency,3.92,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.35
Effective Decode Concurrency,3.64,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.61
Effective Decode Throughput (tokens/sec),30.28,0.00,59.29,,,,,,33.34,,38.46,39.91,41.88,8.56
Effective Decode Throughput Per User (tokens/sec/user),8.19,0.00,14.82,,,,,,8.48,,9.67,10.07,10.70,1.67
Effective Latency (CO-aware) (ms),16214.36,4094.31,32446.79,810717.96,5257.16,7387.60,7966.00,13464.80,16227.69,20526.90,22757.56,24162.89,28642.16,5644.31
Effective Prefill Concurrency,0.28,0.00,4.00,,,,,,0.00,,1.00,1.00,2.00,0.54
Effective Prefill Throughput (tokens/sec),63.50,0.00,1047.34,,,,,,0.00,,250.36,487.05,895.30,169.71
Effective Prefill Throughput Per User (tokens/sec/user),62.23,0.00,1047.34,,,,,,0.00,,250.36,487.05,895.30,169.25
Effective Total Throughput (tokens/sec),93.78,0.00,1072.46,,,,,,32.62,,276.89,510.09,919.99,167.94
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,50.26,11.00,101.00,2513.00,15.41,22.00,24.00,41.00,51.00,63.00,69.50,77.55,89.73,18.04
HTTP Chunks Sent,1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.07,0.00,2.22,3.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.71,0.35
HTTP Connection Overhead (ms),0.09,0.00,3.40,4.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.32,0.50
HTTP Connection Reused (ratio),0.96,0.00,1.00,48.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.20
HTTP Data Received (KB),13.53,3.18,26.70,676.58,4.34,6.13,6.74,11.09,13.60,16.91,18.44,20.62,24.02,4.72
HTTP Data Sent (KB),1.54,0.15,6.85,77.10,0.15,0.15,0.16,0.18,0.97,2.20,3.84,4.75,6.36,1.63
HTTP DNS Lookup (ms),0.02,0.00,1.19,1.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.17
HTTP Duration (excl. conn) (ms),16212.95,4093.38,32444.88,810647.38,5256.35,7385.99,7964.64,13463.26,16226.06,20525.11,22756.36,24161.90,28640.60,5644.24
HTTP Receiving (ms),15374.42,3208.69,31634.97,768720.75,4372.69,6716.75,7077.74,12573.38,15258.78,19816.53,21909.97,23330.05,27791.12,5639.48
HTTP Sending (ms),0.35,0.10,3.04,17.72,0.11,0.16,0.18,0.23,0.28,0.32,0.37,0.47,2.34,0.43
HTTP Total Time (ms),16213.04,4093.38,32444.88,810651.97,5256.35,7385.99,7964.64,13463.26,16226.06,20525.96,22756.36,24161.90,28640.60,5644.28
HTTP Waiting (TTFB) (ms),838.18,509.42,1099.66,41908.91,509.77,511.44,781.73,809.92,848.32,886.86,896.07,1025.98,1071.88,115.77
Input Sequence Length (tokens),262.84,6.00,1244.00,13142.00,6.49,7.45,8.00,11.50,162.00,402.00,692.70,856.80,1154.33,299.85
Inter Chunk Latency (ms),311.92,234.56,855.07,752652.69,259.39,278.16,288.19,290.95,294.33,297.21,333.93,486.56,651.24,70.09
Inter Token Latency (ms),118.91,78.60,148.94,5945.38,78.92,85.49,103.36,111.52,119.94,129.98,135.11,142.43,146.53,15.45
OSL Mismatch Diff % (%),-2.75,-10.34,-1.20,-137.50,-8.28,-4.71,-4.09,-2.88,-2.40,-1.94,-1.77,-1.58,-1.36,1.44
Output Sequence Length (tokens),126.32,26.00,246.00,6316.00,35.80,60.80,72.80,101.00,122.50,154.25,175.80,192.10,220.03,41.63
Output Token Count (tokens),101.33,71.00,123.00,304.00,71.78,74.90,78.80,90.50,110.00,116.50,120.40,121.70,122.74,22.10
Output Token Throughput Per User (tokens/sec/user),8.58,6.71,12.72,428.78,6.83,7.02,7.40,7.69,8.34,8.97,9.68,11.71,12.67,1.30
Prefill Throughput Per User (tokens/sec/user),224.37,6.16,1047.34,11218.67,6.25,6.75,7.99,11.00,139.94,333.66,592.81,748.19,972.84,256.05
Reasoning Token Count (tokens),125.25,26.00,246.00,6012.00,35.40,60.40,72.40,101.00,122.00,152.75,168.70,188.20,221.09,41.31
Request Latency (ms),16213.08,4093.50,32445.02,810654.01,5256.45,7386.12,7964.78,13463.38,16226.18,20525.33,22756.48,24162.00,28640.74,5644.25
Time to First Output Token (ms),6751.14,1434.95,16965.90,20253.43,1443.31,1476.72,1518.48,1643.77,1852.58,9409.24,13943.24,15454.57,16663.64,7224.94
Time to First Token (ms),1160.03,799.07,1852.58,58001.32,799.26,799.49,1074.26,1104.07,1146.21,1185.04,1348.49,1407.52,1740.00,172.30
Time to Second Token (ms),304.33,254.05,806.63,15216.40,270.02,288.30,290.18,292.26,294.37,296.44,298.36,299.36,574.63,72.25
Tokens In Flight (tokens),1243.50,0.00,2738.51,,,,,,1011.05,,2328.45,2496.85,2657.96,699.38

Metric,Value
Benchmark Duration (sec),206.94
Input Token Throughput (tokens/sec),63.50
OSL Mismatch Count,2.00
Output Token Throughput (tokens/sec),30.52
Request Count,50.00
Request Throughput (requests/sec),0.24
Total Input Sequence Length (tokens),13142.00
Total Output Sequence Length (tokens),6316.00
Total Output Tokens (tokens),304.00
Total Reasoning Tokens (tokens),6012.00
Total Token Throughput (tokens/sec),94.02
