Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),25.83,9.48,40.13,,,,,,29.46,,29.99,30.04,34.52,6.21
Active Decode Throughput Per User (tokens/sec/user),9.88,4.75,15.68,,,,,,9.86,,10.07,10.09,11.51,0.35
Active Prefill Throughput (tokens/sec),85.00,23.02,85.03,,,,,,85.03,,85.03,85.03,85.03,1.27
Active Prefill Throughput Per User (tokens/sec/user),28.34,23.02,28.34,,,,,,28.34,,28.34,28.34,28.34,0.10
Active Total Throughput (tokens/sec),27.67,9.58,85.03,,,,,,29.67,,29.67,29.67,85.03,11.99
Credit-to-Start Latency (ms),1.28,1.23,1.34,3.83,1.23,1.23,1.24,1.25,1.26,1.30,1.33,1.33,1.34,0.05
Decode Duration (ms),15283.10,12124.62,17540.60,45849.30,12205.81,12530.57,12936.51,14154.35,16184.08,16862.34,17269.30,17404.95,17513.47,2301.02
E2E Output Token Throughput (tokens/sec/user),9.59,9.33,9.91,28.78,9.34,9.35,9.37,9.44,9.54,9.72,9.84,9.87,9.90,0.24
Effective Concurrency,2.63,0.00,3.00,,,,,,3.00,,3.00,3.00,3.00,0.62
Effective Decode Concurrency,2.53,0.00,3.00,,,,,,3.00,,3.00,3.00,3.00,0.77
Effective Decode Throughput (tokens/sec),25.01,0.00,40.13,,,,,,29.43,,29.99,30.04,34.52,7.59
Effective Decode Throughput Per User (tokens/sec/user),9.57,0.00,15.68,,,,,,9.85,,10.07,10.09,11.51,1.76
Effective Latency (CO-aware) (ms),15848.87,12690.30,18106.28,47546.62,12771.50,13096.28,13502.25,14720.17,16750.04,17428.16,17835.03,17970.65,18079.15,2301.05
Effective Prefill Concurrency,0.09,0.00,3.00,,,,,,0.00,,0.00,0.00,3.00,0.52
Effective Prefill Throughput (tokens/sec),2.65,0.00,85.03,,,,,,0.00,,0.00,0.00,85.03,14.78
Effective Prefill Throughput Per User (tokens/sec/user),0.88,0.00,28.34,,,,,,0.00,,0.00,0.00,28.34,4.93
Effective Total Throughput (tokens/sec),27.67,0.00,85.03,,,,,,29.67,,29.67,29.67,85.03,12.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,57.67,46.00,66.00,173.00,46.30,47.50,49.00,53.50,61.00,63.50,65.00,65.50,65.90,8.50
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),1.00,0.80,1.26,2.99,0.80,0.81,0.82,0.87,0.93,1.10,1.19,1.22,1.25,0.19
HTTP Connection Overhead (ms),1.40,1.20,1.63,4.21,1.21,1.22,1.24,1.29,1.37,1.50,1.58,1.61,1.63,0.18
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),15.46,12.40,17.62,46.39,12.48,12.80,13.19,14.39,16.37,17.00,17.37,17.49,17.59,2.23
HTTP Data Sent (KB),0.22,0.21,0.23,0.66,0.21,0.21,0.21,0.22,0.23,0.23,0.23,0.23,0.23,0.01
HTTP DNS Lookup (ms),0.41,0.38,0.44,1.22,0.38,0.38,0.38,0.39,0.41,0.42,0.43,0.43,0.44,0.02
HTTP Duration (excl. conn) (ms),15847.41,12688.89,18104.75,47542.22,12770.08,13094.86,13500.83,14718.73,16748.58,17426.67,17833.52,17969.14,18077.63,2301.01
