Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),10.11,0.00,30.80,,,,,,9.83,,12.69,13.02,13.57,1.86
Active Decode Throughput Per User (tokens/sec/user),10.11,0.00,30.80,,,,,,9.83,,12.69,13.02,13.57,1.86
Active Prefill Throughput (tokens/sec),265.20,7.64,1082.43,,,,,,208.53,,676.25,807.39,1082.43,268.22
Active Prefill Throughput Per User (tokens/sec/user),265.20,7.64,1082.43,,,,,,208.53,,676.25,807.39,1082.43,268.22
Active Total Throughput (tokens/sec),27.19,6.83,1082.43,,,,,,9.75,,12.80,20.63,482.13,94.27
Credit-to-Start Latency (ms),1.35,0.78,2.35,67.42,0.80,0.91,1.01,1.09,1.23,1.49,1.93,2.20,2.32,0.38
Decode Duration (ms),11947.18,1900.15,20730.37,597359.12,2691.57,5203.66,6784.89,9509.34,11954.14,13719.59,18106.30,19515.12,20332.33,4251.29
E2E Output Token Throughput (tokens/sec/user),9.68,6.38,13.14,484.11,6.53,7.27,8.22,8.73,9.27,10.68,11.55,12.03,12.77,1.46
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.01
Effective Decode Concurrency,0.93,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.25
Effective Decode Throughput (tokens/sec),9.43,0.00,30.80,,,,,,9.71,,12.63,13.01,13.56,3.10
Effective Decode Throughput Per User (tokens/sec/user),9.43,0.00,30.80,,,,,,9.71,,12.63,13.01,13.56,3.10
Effective Latency (CO-aware) (ms),12817.68,2677.68,21508.35,640884.09,3472.63,5998.92,7848.70,10336.76,13012.33,14591.85,18892.48,20547.20,21152.27,4269.03
Effective Prefill Concurrency,0.07,0.00,1.00,,,,,,0.00,,0.00,1.00,1.00,0.25
Effective Prefill Throughput (tokens/sec),17.76,0.00,1082.43,,,,,,0.00,,0.00,20.63,482.13,95.98
Effective Prefill Throughput Per User (tokens/sec/user),17.76,0.00,1082.43,,,,,,0.00,,0.00,20.63,482.13,95.98
Effective Total Throughput (tokens/sec),27.19,0.00,1082.43,,,,,,9.75,,12.80,20.63,482.13,94.26
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,45.52,9.00,77.00,2276.00,11.94,21.25,27.00,36.25,45.50,52.50,67.10,72.00,75.53,15.37
HTTP Chunks Sent,1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),12.41,2.74,20.44,620.68,3.50,6.01,7.69,9.99,12.32,14.65,17.96,19.31,20.07,4.02
HTTP Data Sent (KB),1.46,0.17,5.27,72.76,0.17,0.17,0.18,0.22,1.11,1.94,3.58,4.26,4.98,1.35
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),12816.19,2675.64,21506.00,640809.65,3470.44,5997.18,7847.31,10335.41,13011.03,14590.35,18890.65,20546.16,21150.41,4269.11
HTTP Receiving (ms),12267.57,2163.80,20997.48,613378.48,2958.43,5473.07,7295.01,9783.49,12481.34,14055.04,18374.73,19834.33,20601.57,4257.97
HTTP Sending (ms),0.28,0.10,0.35,14.01,0.13,0.21,0.21,0.25,0.29,0.32,0.33,0.34,0.35,0.05
HTTP Total Time (ms),12816.19,2675.64,21506.00,640809.65,3470.44,5997.18,7847.31,10335.41,13011.03,14590.35,18890.65,20546.16,21150.41,4269.11
HTTP Waiting (TTFB) (ms),548.34,505.73,845.14,27417.16,506.80,508.34,509.30,513.25,538.79,572.51,590.82,593.68,730.66,51.80
Input Sequence Length (tokens),227.64,6.00,867.00,11382.00,6.49,8.00,8.90,15.25,175.50,307.25,615.00,714.05,842.01,235.65
Inter Chunk Latency (ms),274.77,230.05,786.85,597359.12,265.33,266.81,267.51,268.78,271.34,273.28,274.49,275.24,452.08,36.19
Inter Token Latency (ms),98.55,65.63,146.43,4927.45,70.02,76.36,78.64,85.34,99.80,108.99,114.44,127.62,144.60,16.92
OSL Mismatch Diff % (%),-4.63,-30.40,-1.20,-231.51,-29.77,-19.39,-10.03,-3.32,-2.53,-1.98,-1.77,-1.58,-1.36,6.30
Output Sequence Length (tokens),121.90,26.00,246.00,6095.00,35.80,64.40,80.20,95.75,117.00,148.25,166.90,187.40,220.03,40.11
Output Token Count (tokens),102.88,81.00,144.00,823.00,81.42,83.10,85.20,87.75,96.50,113.50,125.80,134.90,142.18,19.50
Output Token Throughput Per User (tokens/sec/user),10.44,6.83,15.24,522.02,6.92,7.86,8.74,9.18,10.02,11.72,12.72,13.10,14.34,1.75
Prefill Throughput Per User (tokens/sec/user),259.35,7.64,1082.43,12967.63,8.32,10.26,11.35,19.57,184.65,371.83,682.23,786.16,1022.92,270.55
Reasoning Token Count (tokens),125.52,26.00,246.00,5272.00,34.20,59.60,73.90,101.00,122.50,152.00,174.10,190.60,224.27,41.96
Request Latency (ms),12805.55,2675.76,21506.16,640277.53,3470.57,5997.33,7847.45,10335.56,12917.52,14590.48,18890.80,20546.25,21150.56,4263.69
Time to First Output Token (ms),1008.73,786.81,1119.18,8069.81,787.59,790.70,794.58,986.28,1066.17,1091.04,1102.01,1110.60,1117.46,126.57
Time to First Token (ms),858.37,773.13,1210.62,42918.41,773.47,774.22,775.58,784.12,817.69,860.43,1072.50,1092.48,1165.82,109.92
Time to Second Token (ms),270.61,265.28,275.25,13530.31,266.18,267.24,267.64,268.53,270.58,272.35,273.97,274.49,275.12,2.42
Tokens In Flight (tokens),283.29,0.00,978.00,,,,,,227.51,,656.33,786.75,923.00,229.84

Metric,Value
Benchmark Duration (sec),640.95
Input Token Throughput (tokens/sec),17.76
OSL Mismatch Count,7.00
Output Token Throughput (tokens/sec),9.51
Request Count,50.00
Request Throughput (requests/sec),0.08
Total Input Sequence Length (tokens),11382.00
Total Output Sequence Length (tokens),6095.00
Total Output Tokens (tokens),823.00
Total Reasoning Tokens (tokens),5272.00
Total Token Throughput (tokens/sec),27.27
