Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),9.33,0.00,21.57,,,,,,9.45,,10.70,10.85,10.90,0.97
Active Decode Throughput Per User (tokens/sec/user),9.33,0.00,21.57,,,,,,9.45,,10.70,10.85,10.90,0.97
Active Prefill Throughput (tokens/sec),207.65,19.64,326.42,,,,,,217.04,,326.42,326.42,326.42,118.31
Active Prefill Throughput Per User (tokens/sec/user),207.65,19.64,326.42,,,,,,217.04,,326.42,326.42,326.42,118.31
Active Total Throughput (tokens/sec),20.38,8.68,326.42,,,,,,9.53,,10.16,19.64,326.42,53.38
Credit-to-Start Latency (ms),1.34,1.05,1.55,4.01,1.06,1.09,1.12,1.23,1.40,1.48,1.52,1.54,1.55,0.21
Decode Duration (ms),12677.43,6892.34,17316.98,38032.28,7030.95,7585.40,8278.46,10357.65,13822.97,15569.97,16618.18,16967.58,17247.10,4332.24
E2E Output Token Throughput (tokens/sec/user),8.90,8.26,9.29,26.70,8.28,8.35,8.44,8.71,9.15,9.22,9.26,9.27,9.28,0.45
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.02
Effective Decode Concurrency,0.94,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.23
Effective Decode Throughput (tokens/sec),8.81,0.00,21.57,,,,,,9.44,,10.69,10.85,10.90,2.34
Effective Decode Throughput Per User (tokens/sec/user),8.81,0.00,21.57,,,,,,9.44,,10.69,10.85,10.90,2.34
Effective Latency (CO-aware) (ms),13426.83,7759.93,17878.58,40280.50,7897.57,8448.14,9136.35,11200.96,14641.99,16260.29,17231.26,17554.92,17813.85,4219.34
Effective Prefill Concurrency,0.06,0.00,1.00,,,,,,0.00,,0.00,1.00,1.00,0.23
Effective Prefill Throughput (tokens/sec),11.57,0.00,326.42,,,,,,0.00,,0.00,19.64,326.42,55.21
Effective Prefill Throughput Per User (tokens/sec/user),11.57,0.00,326.42,,,,,,0.00,,0.00,19.64,326.42,55.21
Effective Total Throughput (tokens/sec),20.38,0.00,326.42,,,,,,9.53,,10.16,19.64,326.42,53.37
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,48.33,26.00,66.00,145.00,26.54,28.70,31.40,39.50,53.00,59.50,63.40,64.70,65.74,16.66
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.30,0.00,0.89,0.89,0.00,0.00,0.00,0.00,0.00,0.44,0.71,0.80,0.87,0.42
HTTP Connection Overhead (ms),0.43,0.00,1.29,1.29,0.00,0.00,0.00,0.00,0.00,0.64,1.03,1.16,1.26,0.61
HTTP Connection Reused (ratio),0.67,0.00,1.00,2.00,0.02,0.10,0.20,0.50,1.00,1.00,1.00,1.00,1.00,0.47
HTTP Data Received (KB),13.02,7.18,17.67,39.06,7.32,7.88,8.58,10.69,14.21,15.94,16.98,17.32,17.60,4.37
HTTP Data Sent (KB),1.05,0.22,1.71,3.15,0.24,0.32,0.42,0.72,1.22,1.46,1.61,1.66,1.70,0.62
HTTP DNS Lookup (ms),0.13,0.00,0.40,0.40,0.00,0.00,0.00,0.00,0.00,0.20,0.32,0.36,0.39,0.19
HTTP Duration (excl. conn) (ms),13425.33,7758.35,17876.87,40276.00,7896.00,8446.59,9134.84,11199.57,14640.78,16258.82,17229.65,17553.26,17812.15,4219.33
HTTP Receiving (ms),12947.39,7162.10,17583.04,38842.17,7300.80,7855.59,8549.09,10629.57,14097.03,15840.03,16885.83,17234.43,17513.32,4331.30
