Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),9.17,0.00,30.56,,,,,,8.36,,15.05,15.25,15.39,2.22
Active Decode Throughput Per User (tokens/sec/user),9.17,0.00,30.56,,,,,,8.36,,15.05,15.25,15.39,2.22
Active Prefill Throughput (tokens/sec),222.01,30.67,335.22,,,,,,237.24,,335.22,335.22,335.22,118.23
Active Prefill Throughput Per User (tokens/sec/user),222.01,30.67,335.22,,,,,,237.24,,335.22,335.22,335.22,118.23
Active Total Throughput (tokens/sec),20.72,8.35,335.22,,,,,,8.36,,15.21,30.67,335.22,55.56
Credit-to-Start Latency (ms),1.46,1.13,1.65,4.38,1.14,1.18,1.23,1.37,1.61,1.63,1.64,1.64,1.65,0.23
Decode Duration (ms),12905.00,4603.14,19761.41,38715.00,4798.08,5577.87,6552.60,9476.80,14350.46,17055.93,18679.22,19220.31,19653.19,6272.18
E2E Output Token Throughput (tokens/sec/user),9.73,7.97,13.04,29.18,7.98,7.99,8.01,8.07,8.17,10.60,12.06,12.55,12.94,2.34
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.01
Effective Decode Concurrency,0.95,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.23
Effective Decode Throughput (tokens/sec),8.67,0.00,30.56,,,,,,8.36,,15.05,15.25,15.39,3.00
Effective Decode Throughput Per User (tokens/sec/user),8.67,0.00,30.56,,,,,,8.36,,15.05,15.25,15.39,3.00
Effective Latency (CO-aware) (ms),13646.68,5447.81,20317.30,40940.05,5642.36,6420.53,7393.24,10311.37,15174.93,17746.12,19288.83,19803.06,20214.45,6165.88
Effective Prefill Concurrency,0.05,0.00,1.00,,,,,,0.00,,0.00,1.00,1.00,0.23
Effective Prefill Throughput (tokens/sec),12.04,0.00,335.22,,,,,,0.00,,0.00,30.67,335.22,57.33
Effective Prefill Throughput Per User (tokens/sec/user),12.04,0.00,335.22,,,,,,0.00,,0.00,30.67,335.22,57.33
Effective Total Throughput (tokens/sec),20.71,0.00,335.22,,,,,,8.36,,15.21,30.67,335.22,55.56
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,49.67,19.00,75.00,149.00,19.72,22.60,26.20,37.00,55.00,65.00,71.00,73.00,74.60,23.17
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.33,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.50,0.80,0.90,0.98,0.47
HTTP Connection Overhead (ms),0.49,0.00,1.48,1.48,0.00,0.00,0.00,0.00,0.00,0.74,1.18,1.33,1.45,0.70
HTTP Connection Reused (ratio),0.67,0.00,1.00,2.00,0.02,0.10,0.20,0.50,1.00,1.00,1.00,1.00,1.00,0.47
HTTP Data Received (KB),13.35,5.41,19.95,40.05,5.59,6.33,7.26,10.05,14.69,17.32,18.90,19.42,19.84,6.01
HTTP Data Sent (KB),1.08,0.24,1.72,3.24,0.26,0.34,0.45,0.76,1.28,1.50,1.63,1.68,1.71,0.62
HTTP DNS Lookup (ms),0.16,0.00,0.48,0.48,0.00,0.00,0.00,0.00,0.00,0.24,0.38,0.43,0.47,0.22
HTTP Duration (excl. conn) (ms),13645.07,5446.03,20315.47,40935.21,5640.58,6418.80,7391.56,10309.87,15173.71,17744.59,19287.12,19801.29,20212.63,6165.91
HTTP Receiving (ms),13173.16,4873.60,20024.25,39519.47,5068.56,5848.40,6823.20,9747.61,14621.63,17322.94,18943.73,19483.99,19916.20,6269.46
HTTP Sending (ms),0.62,0.13,1.36,1.85,0.14,0.16,0.18,0.25,0.36,0.86,1.16,1.26,1.34,0.53
HTTP Total Time (ms),13645.56,5446.03,20316.94,40936.68,5640.58,6418.80,7391.56,10309.87,15173.71,17745.33,19288.30,19802.62,20214.08,6166.44
HTTP Waiting (TTFB) (ms),471.30,289.86,572.07,1413.89,295.10,316.07,342.28,420.91,551.95,562.01,568.05,570.06,571.67,128.56
Input Sequence Length (tokens),164.33,17.00,276.00,493.00,20.66,35.30,53.60,108.50,200.00,238.00,260.80,268.40,274.48,108.70
Inter Chunk Latency (ms),270.73,264.41,277.00,38715.00,265.50,266.12,267.40,268.32,271.30,272.98,273.92,274.70,276.01,2.71
Inter Token Latency (ms),101.70,65.76,119.77,305.11,66.84,71.14,76.52,92.67,119.59,119.68,119.73,119.75,119.76,25.42
OSL Mismatch Diff % (%),-2.75,-4.05,-1.78,-8.25,-4.02,-3.89,-3.73,-3.24,-2.42,-2.10,-1.90,-1.84,-1.79,0.96
Output Sequence Length (tokens),119.33,71.00,166.00,358.00,72.00,76.00,81.00,96.00,121.00,143.50,157.00,161.50,165.10,38.80
Output Token Throughput Per User (tokens/sec/user),10.64,8.35,15.21,31.92,8.35,8.35,8.35,8.36,8.36,11.78,13.84,14.52,15.07,3.23
Prefill Throughput Per User (tokens/sec/user),201.04,30.67,335.22,603.13,34.80,51.33,71.98,133.95,237.24,286.23,315.62,325.42,333.26,126.94
Reasoning Token Count (tokens),119.33,71.00,166.00,358.00,72.00,76.00,81.00,96.00,121.00,143.50,157.00,161.50,165.10,38.80
Request Latency (ms),13645.22,5446.17,20315.69,40935.67,5640.72,6418.93,7391.70,10309.99,15173.80,17744.75,19287.32,19801.51,20212.86,6165.93
Time to First Token (ms),740.22,554.29,843.03,2220.66,559.67,581.19,608.10,688.82,823.34,833.19,839.10,841.06,842.64,131.72
Time to Second Token (ms),271.20,267.92,276.43,813.61,267.94,268.05,268.19,268.59,269.27,272.85,274.99,275.71,276.28,3.73
Tokens In Flight (tokens),201.89,0.00,397.00,,,,,,200.00,,360.77,378.89,392.47,116.69

Metric,Value
Benchmark Duration (sec),40.94
Input Token Throughput (tokens/sec),12.04
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),8.74
Request Count,3.00
Request Throughput (requests/sec),0.07
Total Input Sequence Length (tokens),493.00
Total Output Sequence Length (tokens),358.00
Total Reasoning Tokens (tokens),358.00
Total Token Throughput (tokens/sec),20.78
