Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),9.65,0.00,28.84,,,,,,9.31,,11.36,12.43,14.32,1.34
Active Decode Throughput Per User (tokens/sec/user),9.65,0.00,28.84,,,,,,9.31,,11.36,12.43,14.32,1.34
Active Prefill Throughput (tokens/sec),358.88,7.64,1435.72,,,,,,259.16,,874.81,1096.41,1435.72,352.33
Active Prefill Throughput Per User (tokens/sec/user),358.88,7.64,1435.72,,,,,,259.16,,874.81,1096.41,1435.72,352.33
Active Total Throughput (tokens/sec),30.67,7.53,1435.72,,,,,,9.32,,12.45,14.41,686.67,119.90
Credit-to-Start Latency (ms),1.26,0.57,2.00,62.93,0.63,0.79,0.87,1.05,1.18,1.48,1.79,1.95,2.00,0.35
Decode Duration (ms),13098.13,1900.59,28211.20,654906.65,2823.42,5420.95,5941.46,10032.49,13280.54,16106.05,18141.28,20707.89,26199.83,5057.21
E2E Output Token Throughput (tokens/sec/user),9.35,7.17,12.81,467.32,7.36,7.94,8.18,8.61,9.13,9.90,10.92,11.81,12.80,1.19
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.01
Effective Decode Concurrency,0.94,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.24
Effective Decode Throughput (tokens/sec),9.06,0.00,28.84,,,,,,9.25,,11.29,12.36,14.31,2.64
Effective Decode Throughput Per User (tokens/sec/user),9.06,0.00,28.84,,,,,,9.25,,11.29,12.36,14.31,2.64
Effective Latency (CO-aware) (ms),13938.49,2760.91,28987.97,696924.72,3663.88,6241.52,6766.33,10873.62,14130.17,16898.08,18975.82,21566.16,27018.04,5061.90
Effective Prefill Concurrency,0.06,0.00,1.00,,,,,,0.00,,0.00,1.00,1.00,0.24
Effective Prefill Throughput (tokens/sec),21.60,0.00,1435.72,,,,,,0.00,,0.00,14.11,686.67,121.48
Effective Prefill Throughput Per User (tokens/sec/user),21.60,0.00,1435.72,,,,,,0.00,,0.00,14.11,686.67,121.48
Effective Total Throughput (tokens/sec),30.67,0.00,1435.72,,,,,,9.32,,12.45,14.41,686.67,119.89
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,50.18,9.00,106.00,2509.00,12.43,22.00,23.90,39.00,51.00,61.50,67.20,78.50,98.65,18.58
HTTP Chunks Sent,1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),13.49,2.67,27.93,674.53,3.58,6.09,6.67,10.48,13.65,16.42,18.53,20.81,26.05,4.85
HTTP Data Sent (KB),1.71,0.15,6.59,85.49,0.15,0.16,0.16,0.19,1.25,2.70,3.79,4.65,6.15,1.59
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),13937.10,2759.66,28986.22,696855.15,3662.72,6240.01,6765.60,10872.28,14128.81,16896.23,18974.39,21564.87,27016.51,5061.84
HTTP Receiving (ms),13382.85,2171.18,28480.69,669142.65,3094.44,5688.19,6210.32,10304.56,13550.58,16376.65,18438.07,20982.03,26470.61,5065.00
HTTP Sending (ms),0.28,0.11,0.37,14.09,0.16,0.22,0.24,0.25,0.29,0.32,0.33,0.35,0.37,0.05
HTTP Total Time (ms),13937.10,2759.66,28986.22,696855.15,3662.72,6240.01,6765.60,10872.28,14128.81,16896.23,18974.39,21564.87,27016.51,5061.84
