Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),9.98,0.00,21.38,,,,,,10.56,,10.77,10.82,10.89,1.18
Active Decode Throughput Per User (tokens/sec/user),9.98,0.00,21.38,,,,,,10.56,,10.77,10.82,10.89,1.18
Active Prefill Throughput (tokens/sec),101.44,23.00,226.13,,,,,,23.39,,226.13,226.13,226.13,98.79
Active Prefill Throughput Per User (tokens/sec/user),101.44,23.00,226.13,,,,,,23.39,,226.13,226.13,226.13,98.79
Active Total Throughput (tokens/sec),15.26,8.33,226.13,,,,,,10.25,,10.68,23.00,226.13,31.93
Credit-to-Start Latency (ms),1.64,1.19,2.10,4.91,1.20,1.24,1.28,1.41,1.62,1.86,2.00,2.05,2.09,0.37
Decode Duration (ms),11852.59,8404.44,15448.82,35557.77,8470.44,8734.44,9064.45,10054.48,11704.52,13576.67,14699.96,15074.39,15373.93,2877.76
E2E Output Token Throughput (tokens/sec/user),9.25,7.68,10.37,27.74,7.72,7.88,8.08,8.69,9.69,10.03,10.24,10.30,10.36,1.14
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.02
Effective Decode Concurrency,0.94,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.23
Effective Decode Throughput (tokens/sec),9.40,0.00,21.38,,,,,,10.55,,10.77,10.80,10.89,2.60
Effective Decode Throughput Per User (tokens/sec/user),9.40,0.00,21.38,,,,,,10.55,,10.77,10.80,10.89,2.60
Effective Latency (CO-aware) (ms),12580.40,9245.86,16006.20,37741.21,9310.72,9570.19,9894.52,10867.50,12489.15,14247.68,15302.79,15654.50,15935.86,2760.65
Effective Prefill Concurrency,0.06,0.00,1.00,,,,,,0.00,,0.00,1.00,1.00,0.23
Effective Prefill Throughput (tokens/sec),5.85,0.00,226.13,,,,,,0.00,,0.00,23.00,226.13,33.51
Effective Prefill Throughput Per User (tokens/sec/user),5.85,0.00,226.13,,,,,,0.00,,0.00,23.00,226.13,33.51
Effective Total Throughput (tokens/sec),15.26,0.00,226.13,,,,,,10.25,,10.68,23.00,226.13,31.92
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,45.33,33.00,59.00,136.00,33.22,34.10,35.20,38.50,44.00,51.50,56.00,57.50,58.70,10.66
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.42,0.00,1.25,1.25,0.00,0.00,0.00,0.00,0.00,0.63,1.00,1.13,1.23,0.59
HTTP Connection Overhead (ms),0.59,0.00,1.78,1.78,0.00,0.00,0.00,0.00,0.00,0.89,1.42,1.60,1.74,0.84
HTTP Connection Reused (ratio),0.67,0.00,1.00,2.00,0.02,0.10,0.20,0.50,1.00,1.00,1.00,1.00,1.00,0.47
HTTP Data Received (KB),12.22,8.87,15.91,36.67,8.93,9.17,9.47,10.38,11.90,13.90,15.10,15.51,15.83,2.88
HTTP Data Sent (KB),0.53,0.21,1.17,1.60,0.21,0.21,0.21,0.22,0.23,0.70,0.98,1.07,1.15,0.45
HTTP DNS Lookup (ms),0.17,0.00,0.52,0.52,0.00,0.00,0.00,0.00,0.00,0.26,0.42,0.47,0.51,0.25
HTTP Duration (excl. conn) (ms),12578.58,9244.52,16004.34,37735.74,9309.37,9568.76,9893.00,10865.70,12486.88,14245.61,15300.85,15652.59,15933.99,2760.44
HTTP Receiving (ms),12120.48,8677.64,15712.24,36361.44,8743.52,9007.03,9336.42,10324.60,11971.55,13841.90,14964.10,15338.17,15637.43,2873.79
HTTP Sending (ms),0.82,0.31,1.76,2.45,0.31,0.32,0.32,0.34,0.38,1.07,1.48,1.62,1.73,0.67
HTTP Total Time (ms),12579.17,9244.52,16006.11,37737.52,9309.37,9568.76,9893.00,10865.70,12486.88,14246.50,15302.27,15654.19,15935.73,2761.18
HTTP Waiting (TTFB) (ms),457.29,290.34,566.51,1371.86,294.83,312.81,335.27,402.68,515.01,540.76,556.21,561.36,565.48,119.91
Input Sequence Length (tokens),73.67,13.00,190.00,221.00,13.10,13.50,14.00,15.50,18.00,104.00,155.60,172.80,186.56,82.29
Inter Chunk Latency (ms),273.52,265.84,585.97,35557.77,265.95,266.60,267.66,268.90,270.99,273.23,274.64,275.09,276.40,27.64
Inter Token Latency (ms),103.74,93.63,120.06,311.23,93.71,94.02,94.41,95.58,97.54,108.80,115.56,117.81,119.61,11.65
OSL Mismatch Diff % (%),-2.75,-4.05,-1.78,-8.25,-4.02,-3.89,-3.73,-3.24,-2.42,-2.10,-1.90,-1.84,-1.79,0.96
Output Sequence Length (tokens),119.33,71.00,166.00,358.00,72.00,76.00,81.00,96.00,121.00,143.50,157.00,161.50,165.10,38.80
Output Token Throughput Per User (tokens/sec/user),9.75,8.33,10.68,29.26,8.37,8.52,8.71,9.29,10.25,10.47,10.59,10.64,10.67,1.02
Prefill Throughput Per User (tokens/sec/user),90.84,23.00,226.13,272.52,23.01,23.04,23.08,23.20,23.39,124.76,185.58,205.85,222.07,95.66
Reasoning Token Count (tokens),119.33,71.00,166.00,358.00,72.00,76.00,81.00,96.00,121.00,143.50,157.00,161.50,165.10,38.80
Request Latency (ms),12578.77,9244.67,16004.58,37736.30,9309.51,9568.90,9893.14,10865.86,12487.05,14245.82,15301.08,15652.83,15934.23,2760.49
Time to First Token (ms),726.18,555.76,840.23,2178.53,560.30,578.44,601.12,669.15,782.53,811.38,828.69,834.46,839.08,122.78
Time to Second Token (ms),272.04,269.29,274.51,816.12,269.35,269.59,269.89,270.80,272.32,273.41,274.07,274.29,274.46,2.14
Tokens In Flight (tokens),118.33,0.00,261.00,,,,,,107.57,,229.39,245.19,256.48,71.58

Metric,Value
Benchmark Duration (sec),37.74
Input Token Throughput (tokens/sec),5.85
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),9.48
Request Count,3.00
Request Throughput (requests/sec),0.08
Total Input Sequence Length (tokens),221.00
