Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),95.79,0.00,358.30,,,,,,93.69,,115.47,122.70,139.30,15.77
Active Decode Throughput Per User (tokens/sec/user),95.79,0.00,358.30,,,,,,93.69,,115.47,122.70,139.30,15.77
Active Prefill Throughput (tokens/sec),1639.61,76.09,3891.03,,,,,,1677.22,,3125.64,3394.30,3891.03,1061.94
Active Prefill Throughput Per User (tokens/sec/user),1639.61,76.09,3891.03,,,,,,1677.22,,3125.64,3394.30,3891.03,1061.94
Active Total Throughput (tokens/sec),251.15,76.09,3891.03,,,,,,97.26,,119.04,1712.05,3125.64,573.82
Credit-to-Start Latency (ms),1.03,0.50,1.75,51.74,0.50,0.55,0.63,0.84,1.02,1.23,1.53,1.61,1.72,0.32
Decode Duration (ms),1320.38,239.93,2649.51,66018.97,329.79,604.49,857.11,1024.56,1266.23,1631.88,1815.32,1957.90,2343.54,444.84
E2E Output Token Throughput (tokens/sec/user),87.34,67.36,105.85,4366.79,70.46,74.30,76.03,81.92,87.63,93.04,97.83,102.21,104.87,8.26
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.04
Effective Decode Concurrency,0.90,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.30
Effective Decode Throughput (tokens/sec),86.03,0.00,358.30,,,,,,91.74,,114.20,121.90,137.79,32.61
Effective Decode Throughput Per User (tokens/sec/user),86.03,0.00,358.30,,,,,,91.74,,114.20,121.90,137.79,32.61
Effective Latency (CO-aware) (ms),1469.16,333.03,2825.46,73457.83,412.09,708.76,1002.99,1197.44,1442.18,1775.68,1956.46,2107.85,2519.30,452.08
Effective Prefill Concurrency,0.10,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.30
Effective Prefill Throughput (tokens/sec),164.76,0.00,3891.03,,,,,,0.00,,76.09,1677.22,3125.64,596.92
Effective Prefill Throughput Per User (tokens/sec/user),164.76,0.00,3891.03,,,,,,0.00,,76.09,1677.22,3125.64,596.92
Effective Total Throughput (tokens/sec),250.79,0.00,3891.03,,,,,,97.26,,119.04,1677.22,3125.64,573.48
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,45.12,10.00,86.00,2256.00,12.94,22.70,29.80,35.25,44.00,55.75,61.40,66.55,77.67,14.52
HTTP Chunks Sent,1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),13.31,3.25,25.03,665.58,4.09,6.90,8.88,10.48,12.96,16.33,17.94,19.42,22.64,4.14
HTTP Data Sent (KB),1.43,0.19,5.60,71.50,0.19,0.19,0.20,0.24,1.04,1.81,3.48,4.31,5.24,1.37
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),1468.01,331.53,2824.71,73400.66,410.87,707.48,1001.67,1196.26,1441.23,1775.01,1955.37,2107.27,2518.30,452.18
HTTP Receiving (ms),1320.38,239.94,2649.51,66019.20,329.79,604.51,857.11,1024.57,1266.21,1631.90,1815.33,1957.92,2343.55,444.84
HTTP Sending (ms),0.21,0.09,0.42,10.33,0.09,0.10,0.10,0.15,0.20,0.26,0.29,0.31,0.39,0.07
HTTP Total Time (ms),1468.01,331.53,2824.71,73400.66,410.87,707.48,1001.67,1196.26,1441.23,1775.01,1955.37,2107.27,2518.30,452.18
HTTP Waiting (TTFB) (ms),147.42,70.00,285.07,7371.13,70.32,75.49,82.72,92.80,143.12,174.77,229.87,263.88,282.47,57.97
Input Sequence Length (tokens),242.24,6.00,969.00,12112.00,6.49,8.00,9.00,16.25,179.00,336.50,635.10,785.65,904.32,254.84
Inter Chunk Latency (ms),29.93,13.33,66.85,66018.97,20.16,24.11,25.20,27.07,30.21,32.70,34.24,35.02,38.19,4.00
Inter Token Latency (ms),10.37,8.40,12.74,518.29,8.46,8.61,8.86,9.82,10.28,11.15,11.69,11.89,12.51,1.04
OSL Mismatch Diff % (%),-0.03,-0.79,0.00,-1.40,-0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14
Output Sequence Length (tokens),127.48,29.00,249.00,6374.00,38.80,67.40,83.20,104.00,125.00,155.00,169.90,190.40,223.03,39.85
Output Token Throughput Per User (tokens/sec/user),97.46,78.51,119.04,4873.19,79.96,84.13,85.56,89.68,97.30,101.86,112.83,116.14,118.21,9.96
Prefill Throughput Per User (tokens/sec/user),1276.07,76.09,3891.03,63803.42,85.08,99.89,125.78,175.91,1105.79,2159.76,2637.74,2980.78,3647.63,1047.91
Reasoning Token Count (tokens),127.48,29.00,249.00,6374.00,38.80,67.40,83.20,104.00,125.00,155.00,169.90,190.40,223.03,39.85
