Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),155.70,36.80,266.80,,,,,,161.20,,188.74,193.15,202.43,33.01
Active Decode Throughput Per User (tokens/sec/user),62.29,24.51,126.94,,,,,,59.93,,81.01,92.95,107.58,13.73
Active Prefill Throughput (tokens/sec),225.29,94.31,268.03,,,,,,268.03,,268.03,268.03,268.03,51.87
Active Prefill Throughput Per User (tokens/sec/user),86.06,81.22,94.31,,,,,,89.34,,89.34,89.34,89.34,3.99
Active Total Throughput (tokens/sec),164.56,60.90,268.03,,,,,,180.57,,180.57,223.33,268.03,41.84
Credit-to-Start Latency (ms),1.29,1.14,1.48,3.88,1.14,1.15,1.16,1.20,1.25,1.37,1.44,1.46,1.48,0.14
Decode Duration (ms),2360.00,1842.66,2742.41,7080.01,1855.70,1907.89,1973.12,2168.80,2494.94,2618.68,2692.92,2717.67,2737.46,379.51
E2E Output Token Throughput (tokens/sec/user),56.50,54.09,58.82,169.51,54.14,54.34,54.59,55.34,56.59,57.71,58.38,58.60,58.78,1.93
Effective Concurrency,2.65,0.00,3.00,,,,,,3.00,,3.00,3.00,3.00,0.60
Effective Decode Concurrency,2.48,0.00,3.00,,,,,,3.00,,3.00,3.00,3.00,0.82
Effective Decode Throughput (tokens/sec),149.31,0.00,266.80,,,,,,160.00,,188.74,193.15,202.43,44.72
Effective Decode Throughput Per User (tokens/sec/user),59.73,0.00,126.94,,,,,,59.63,,81.01,87.09,107.58,18.26
Effective Latency (CO-aware) (ms),2526.40,2034.66,2857.54,7579.21,2047.71,2099.90,2165.13,2360.84,2687.01,2772.27,2823.43,2840.48,2854.13,354.61
Effective Prefill Concurrency,0.17,0.00,3.00,,,,,,0.00,,0.00,2.00,3.00,0.66
Effective Prefill Throughput (tokens/sec),15.04,0.00,268.03,,,,,,0.00,,0.00,162.44,268.03,57.80
Effective Prefill Throughput Per User (tokens/sec/user),5.74,0.00,94.31,,,,,,0.00,,0.00,81.22,89.34,21.50
Effective Total Throughput (tokens/sec),164.34,0.00,268.03,,,,,,180.57,,180.57,223.33,268.03,42.24
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,50.00,37.00,60.00,150.00,37.32,38.60,40.20,45.00,53.00,56.50,58.60,59.30,59.86,9.63
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),1.00,0.75,1.40,3.01,0.75,0.76,0.77,0.80,0.85,1.13,1.29,1.35,1.39,0.29
HTTP Connection Overhead (ms),1.49,1.08,2.14,4.46,1.08,1.09,1.11,1.16,1.25,1.69,1.96,2.05,2.12,0.46
