Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),132.07,0.00,296.78,,,,,,143.02,,175.81,182.79,194.30,44.89
Active Decode Throughput Per User (tokens/sec/user),71.57,0.00,210.71,,,,,,73.13,,90.04,93.57,110.40,18.34
Active Prefill Throughput (tokens/sec),1241.99,60.41,2868.24,,,,,,1154.72,,2359.66,2457.93,2868.24,808.50
Active Prefill Throughput Per User (tokens/sec/user),1196.23,60.41,2457.93,,,,,,1154.72,,2258.12,2425.05,2457.93,756.83
Active Total Throughput (tokens/sec),356.24,57.81,2868.24,,,,,,150.38,,1147.33,1782.15,2524.47,564.27
Credit-to-Start Latency (ms),1.13,0.29,2.53,56.58,0.42,0.61,0.68,0.85,1.03,1.31,1.72,1.98,2.49,0.45
Decode Duration (ms),1778.55,859.40,3288.20,88927.59,880.69,1005.52,1221.98,1352.48,1716.05,2022.93,2416.28,2750.71,3226.90,539.15
E2E Output Token Throughput (tokens/sec/user),67.33,51.15,90.77,3366.66,52.83,57.29,58.67,61.75,68.59,71.34,73.74,75.10,85.52,6.86
Effective Concurrency,1.97,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.17
Effective Decode Concurrency,1.78,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.44
Effective Decode Throughput (tokens/sec),130.78,0.00,296.78,,,,,,142.61,,175.78,182.79,194.30,46.51
Effective Decode Throughput Per User (tokens/sec/user),70.87,0.00,210.71,,,,,,73.05,,89.88,93.57,110.40,19.56
Effective Latency (CO-aware) (ms),1969.72,1040.96,3516.92,98485.87,1053.55,1206.30,1392.74,1563.72,1897.72,2236.62,2647.04,2987.92,3504.04,556.08
Effective Prefill Concurrency,0.19,0.00,2.00,,,,,,0.00,,1.00,1.00,1.00,0.41
Effective Prefill Throughput (tokens/sec),225.42,0.00,2868.24,,,,,,0.00,,1068.93,1711.17,2457.93,589.75
Effective Prefill Throughput Per User (tokens/sec/user),217.12,0.00,2457.93,,,,,,0.00,,1068.93,1679.45,2425.05,562.62
Effective Total Throughput (tokens/sec),356.21,0.00,2868.24,,,,,,150.38,,1147.33,1782.15,2524.47,564.25
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,44.00,20.00,80.00,2200.00,21.47,25.90,30.80,34.25,43.50,50.75,57.10,65.15,79.02,12.35
HTTP Chunks Sent,1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),12.99,6.17,23.25,649.68,6.58,7.81,9.18,10.24,12.87,14.97,16.72,19.01,23.04,3.53
HTTP Data Sent (KB),1.22,0.17,3.96,60.93,0.17,0.18,0.18,0.22,0.93,1.78,2.60,3.34,3.91,1.00
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),1968.47,1040.11,3515.81,98423.64,1052.63,1205.14,1391.57,1562.77,1896.69,2235.57,2645.32,2986.93,3502.95,556.06
HTTP Receiving (ms),1779.42,859.41,3288.19,88970.91,880.70,1005.53,1221.99,1352.49,1716.06,2022.94,2416.29,2750.71,3226.90,540.10
HTTP Sending (ms),0.23,0.10,0.35,11.47,0.11,0.12,0.16,0.21,0.23,0.26,0.29,0.31,0.33,0.05
HTTP Total Time (ms),1968.47,1040.11,3515.81,98423.64,1052.63,1205.14,1391.57,1562.77,1896.69,2235.57,2645.32,2986.93,3502.95,556.06
HTTP Waiting (TTFB) (ms),188.83,107.20,329.59,9441.26,109.08,116.93,124.31,149.29,179.30,214.75,277.24,296.49,327.93,55.26
Input Sequence Length (tokens),225.18,7.00,792.00,11259.00,7.49,8.00,9.00,15.25,169.50,353.00,522.90,656.70,768.97,206.83
Inter Chunk Latency (ms),41.38,23.48,170.03,88927.59,27.37,32.85,33.92,35.77,40.08,43.66,45.90,48.35,110.30,12.00
Inter Token Latency (ms),13.58,9.75,17.30,679.13,10.59,12.02,12.22,12.57,13.31,14.59,15.41,15.88,16.88,1.39
OSL Mismatch Diff % (%),-0.03,-0.65,0.00,-1.27,-0.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12
Output Sequence Length (tokens),131.64,62.00,249.00,6582.00,67.88,79.60,89.50,105.50,128.00,153.50,168.10,182.40,245.08,36.30
Output Token Throughput Per User (tokens/sec/user),74.40,57.81,102.55,3720.18,59.27,62.97,64.90,68.55,75.12,79.55,81.84,83.17,95.04,7.71
Prefill Throughput Per User (tokens/sec/user),1011.49,60.41,2457.93,50574.32,62.01,64.49,69.96,110.04,1006.38,1594.01,2026.51,2313.97,2441.82,750.66
Reasoning Token Count (tokens),131.64,62.00,249.00,6582.00,67.88,79.60,89.50,105.50,128.00,153.50,168.10,182.40,245.08,36.30
Request Latency (ms),1967.72,1040.21,3515.88,98386.21,1052.75,1205.24,1391.63,1562.86,1896.80,2235.70,2640.56,2987.05,3503.05,554.99
Time to First Token (ms),189.17,107.54,329.92,9458.62,109.34,117.31,124.70,149.63,179.63,215.12,277.59,296.77,328.29,55.25
Time to Second Token (ms),37.92,23.48,56.21,1896.25,26.55,30.39,31.84,33.60,37.74,42.05,43.45,44.93,51.81,5.56
Tokens In Flight (tokens),597.81,0.00,1731.77,,,,,,533.39,,1158.08,1391.84,1672.88,376.23

Metric,Value
Benchmark Duration (sec),49.94
Input Token Throughput (tokens/sec),225.42
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),131.78
Request Count,50.00
Request Throughput (requests/sec),1.00
Total Input Sequence Length (tokens),11259.00
Total Output Sequence Length (tokens),6582.00
Total Reasoning Tokens (tokens),6582.00
Total Token Throughput (tokens/sec),357.21
