Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),144.91,0.00,276.42,,,,,,132.80,,203.01,211.93,237.30,45.73
Active Decode Throughput Per User (tokens/sec/user),90.23,0.00,258.70,,,,,,94.16,,117.83,128.28,146.31,25.02
Active Prefill Throughput (tokens/sec),264.20,78.18,308.08,,,,,,308.08,,308.08,308.08,308.08,56.21
Active Prefill Throughput Per User (tokens/sec/user),100.24,78.18,115.77,,,,,,102.69,,102.69,102.69,102.69,3.25
Active Total Throughput (tokens/sec),159.10,89.54,308.08,,,,,,161.32,,229.26,308.08,308.08,72.73
Credit-to-Start Latency (ms),1.60,1.46,1.75,4.79,1.46,1.47,1.49,1.52,1.58,1.67,1.72,1.73,1.75,0.12
Decode Duration (ms),1162.76,706.54,1876.24,3488.29,710.52,726.44,746.33,806.02,905.50,1390.87,1682.10,1779.17,1856.83,511.00
E2E Output Token Throughput (tokens/sec/user),68.26,60.48,82.73,204.79,60.50,60.59,60.70,61.03,61.58,72.16,78.50,80.62,82.31,10.24
Effective Concurrency,1.92,0.00,3.00,,,,,,2.00,,3.00,3.00,3.00,0.93
Effective Decode Concurrency,1.70,0.00,3.00,,,,,,1.00,,3.00,3.00,3.00,0.97
Effective Decode Throughput (tokens/sec),137.28,0.00,276.42,,,,,,124.49,,203.01,211.93,237.30,55.03
Effective Decode Throughput Per User (tokens/sec/user),85.48,0.00,258.70,,,,,,93.63,,117.83,128.28,146.31,31.61
Effective Latency (CO-aware) (ms),1309.83,811.66,2044.30,3929.49,816.89,837.84,864.03,942.59,1073.53,1558.92,1850.15,1947.22,2024.89,530.24
Effective Prefill Concurrency,0.21,0.00,3.00,,,,,,0.00,,0.00,3.00,3.00,0.73
Effective Prefill Throughput (tokens/sec),21.50,0.00,308.08,,,,,,0.00,,0.00,308.08,308.08,73.99
Effective Prefill Throughput Per User (tokens/sec/user),8.16,0.00,115.77,,,,,,0.00,,0.00,102.69,102.69,27.42
Effective Total Throughput (tokens/sec),158.78,0.00,308.08,,,,,,161.32,,229.26,308.08,308.08,73.01
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
