Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),173.61,2.64,900.12,,,,,,196.24,,248.05,257.40,281.55,72.99
Active Decode Throughput Per User (tokens/sec/user),47.91,2.64,225.10,,,,,,51.07,,64.06,68.30,92.20,17.79
Active Prefill Throughput (tokens/sec),1079.65,6.66,3135.25,,,,,,1013.33,,2583.80,2616.10,3135.25,894.42
Active Prefill Throughput Per User (tokens/sec/user),978.42,6.29,3135.25,,,,,,863.52,,2009.54,2583.80,3135.25,845.10
Active Total Throughput (tokens/sec),530.02,44.46,3278.53,,,,,,204.53,,1588.39,2155.79,3278.53,704.34
Credit-to-Start Latency (ms),1.27,0.59,4.08,63.35,0.60,0.65,0.78,0.93,1.12,1.41,1.86,2.31,3.24,0.58
Decode Duration (ms),2556.12,371.41,5436.44,127806.13,668.17,1071.22,1298.10,1995.09,2545.82,3152.11,3586.03,3963.99,4759.98,926.02
E2E Output Token Throughput (tokens/sec/user),44.88,28.35,65.93,2243.93,28.43,33.23,36.45,40.53,45.67,48.07,52.73,54.92,64.46,7.15
Effective Concurrency,3.92,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.41
Effective Decode Concurrency,3.48,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.82
Effective Decode Throughput (tokens/sec),172.96,0.00,900.12,,,,,,195.83,,248.05,257.40,281.55,73.62
Effective Decode Throughput Per User (tokens/sec/user),47.73,0.00,225.10,,,,,,50.98,,63.99,68.30,92.20,18.00
Effective Latency (CO-aware) (ms),2892.31,762.03,5608.91,144615.48,1013.45,1402.57,1756.28,2253.92,2882.45,3519.62,4042.39,4206.26,4959.55,922.18
Effective Prefill Concurrency,0.45,0.00,4.00,,,,,,0.00,,1.00,2.00,3.00,0.75
Effective Prefill Throughput (tokens/sec),357.01,0.00,3135.25,,,,,,0.00,,1453.63,2009.54,3135.25,722.86
Effective Prefill Throughput Per User (tokens/sec/user),323.53,0.00,3135.25,,,,,,0.00,,1336.44,1890.04,3135.25,669.36
Effective Total Throughput (tokens/sec),529.96,0.00,3278.53,,,,,,204.53,,1588.39,2155.79,3278.53,704.32
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,42.74,8.00,88.00,2137.00,12.90,20.00,25.70,33.00,43.00,50.00,62.00,64.10,79.18,14.62
HTTP Chunks Sent,1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.03,0.00,1.58,1.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.81,0.22
HTTP Connection Overhead (ms),0.05,0.00,2.47,2.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.26,0.35
HTTP Connection Reused (ratio),0.98,0.00,1.00,49.00,0.49,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.14
HTTP Data Received (KB),12.63,2.70,25.50,631.66,4.11,6.11,7.76,9.88,12.71,14.78,18.10,18.70,23.00,4.18
HTTP Data Sent (KB),1.40,0.17,6.21,70.17,0.17,0.18,0.18,0.20,0.83,1.97,3.47,4.31,5.79,1.47
HTTP DNS Lookup (ms),0.02,0.00,0.89,0.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.45,0.12
HTTP Duration (excl. conn) (ms),2890.91,760.89,5606.43,144545.71,1012.28,1401.60,1754.63,2252.26,2881.30,3518.54,4040.99,4203.84,4957.70,922.04
HTTP Receiving (ms),2562.06,371.43,5436.48,128103.21,668.18,1071.22,1298.09,1995.11,2545.83,3155.76,3586.03,3994.37,4760.00,929.71
HTTP Sending (ms),0.32,0.09,2.23,15.98,0.13,0.19,0.20,0.24,0.27,0.34,0.38,0.41,1.35,0.28
HTTP Total Time (ms),2890.96,760.89,5606.43,144548.18,1012.28,1401.60,1754.63,2252.26,2881.30,3518.54,4041.24,4203.84,4957.70,922.10
HTTP Waiting (TTFB) (ms),328.53,134.48,1350.66,16426.52,147.04,170.49,183.54,207.03,236.24,360.84,421.20,936.67,1350.39,270.05
Input Sequence Length (tokens),263.14,6.00,1272.00,13157.00,6.49,7.45,8.90,12.25,149.00,384.50,707.90,877.45,1180.86,306.48
Inter Chunk Latency (ms),61.36,13.44,1216.27,127806.13,34.72,44.23,47.47,50.39,57.00,61.92,71.71,101.46,174.57,34.24
Inter Token Latency (ms),19.92,12.96,30.18,995.96,13.11,14.79,16.73,18.33,19.72,21.35,23.07,24.33,27.78,3.00
OSL Mismatch Diff % (%),-0.09,-1.32,0.00,-4.40,-1.30,-0.66,-0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.29
Output Sequence Length (tokens),128.48,29.00,249.00,6424.00,38.80,63.80,75.80,104.00,125.50,157.25,178.80,195.10,225.48,42.21
Output Token Throughput Per User (tokens/sec/user),51.40,33.13,77.17,2569.92,36.27,41.13,43.36,46.85,50.72,54.57,59.82,67.64,76.30,8.22
Prefill Throughput Per User (tokens/sec/user),827.65,5.92,3135.25,41382.32,6.28,17.76,41.84,58.31,698.66,1328.20,1890.41,2297.35,2865.04,785.68
Reasoning Token Count (tokens),128.48,29.00,249.00,6424.00,38.80,63.80,75.80,104.00,125.50,157.25,178.80,195.10,225.48,42.21
Request Latency (ms),2885.11,761.00,5606.56,144255.44,1012.41,1401.71,1754.71,2252.38,2881.40,3518.68,4019.74,4173.59,4957.83,916.72
Time to First Token (ms),328.99,134.94,1351.18,16449.31,147.56,170.88,183.94,207.32,236.73,361.33,421.74,938.35,1350.94,270.24
Time to Second Token (ms),77.61,13.44,1216.27,3880.36,13.47,24.05,39.04,46.38,54.90,60.02,71.40,87.46,692.58,163.84
Tokens In Flight (tokens),1252.67,0.00,2835.21,,,,,,1174.00,,2300.44,2548.95,2757.74,720.97

Metric,Value
Benchmark Duration (sec),36.85
Input Token Throughput (tokens/sec),357.01
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),174.31
Request Count,50.00
Request Throughput (requests/sec),1.36
Total Input Sequence Length (tokens),13157.00
Total Output Sequence Length (tokens),6424.00
Total Reasoning Tokens (tokens),6424.00
Total Token Throughput (tokens/sec),531.32
