Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),169.44,0.00,386.23,,,,,,170.51,,210.59,211.84,311.83,41.81
Active Decode Throughput Per User (tokens/sec/user),64.62,0.00,146.42,,,,,,61.45,,74.36,89.12,103.94,12.33
Active Prefill Throughput (tokens/sec),202.43,55.57,223.89,,,,,,223.89,,223.89,223.89,223.89,39.16
Active Prefill Throughput Per User (tokens/sec/user),72.52,55.57,75.42,,,,,,74.63,,74.63,74.63,74.63,3.85
Active Total Throughput (tokens/sec),175.67,55.57,223.89,,,,,,190.44,,190.44,223.89,223.89,34.85
Credit-to-Start Latency (ms),1.52,1.47,1.58,4.56,1.47,1.47,1.48,1.49,1.51,1.54,1.57,1.57,1.58,0.05
Decode Duration (ms),2416.39,1970.53,2720.80,7249.17,1982.28,2029.26,2087.99,2264.19,2557.85,2639.32,2688.21,2704.50,2717.54,322.21
E2E Output Token Throughput (tokens/sec/user),58.17,55.34,60.15,174.51,55.42,55.71,56.08,57.18,59.01,59.58,59.92,60.03,60.12,2.05
Effective Concurrency,2.72,0.00,3.00,,,,,,3.00,,3.00,3.00,3.00,0.53
Effective Decode Concurrency,2.48,0.00,3.00,,,,,,3.00,,3.00,3.00,3.00,0.88
Effective Decode Throughput (tokens/sec),157.96,0.00,386.23,,,,,,166.12,,203.49,211.51,311.83,58.67
Effective Decode Throughput Per User (tokens/sec/user),60.24,0.00,146.42,,,,,,60.97,,74.36,89.12,103.94,20.13
Effective Latency (CO-aware) (ms),2650.45,2223.97,2916.04,7951.35,2235.72,2282.71,2341.44,2517.66,2811.34,2863.69,2895.10,2905.57,2913.94,304.58
Effective Prefill Concurrency,0.24,0.00,3.00,,,,,,0.00,,0.00,3.00,3.00,0.79
Effective Prefill Throughput (tokens/sec),17.48,0.00,223.89,,,,,,0.00,,0.00,223.89,223.89,58.00
Effective Prefill Throughput Per User (tokens/sec/user),6.26,0.00,75.42,,,,,,0.00,,0.00,74.63,74.63,20.40
Effective Total Throughput (tokens/sec),175.44,0.00,223.89,,,,,,190.44,,190.44,223.89,223.89,35.41
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,50.33,40.00,57.00,151.00,40.28,41.40,42.80,47.00,54.00,55.50,56.40,56.70,56.94,7.41
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),1.10,0.91,1.43,3.31,0.91,0.91,0.92,0.94,0.96,1.20,1.34,1.39,1.42,0.23
HTTP Connection Overhead (ms),1.60,1.36,2.02,4.79,1.36,1.36,1.37,1.38,1.40,1.71,1.90,1.96,2.01,0.30
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),14.83,11.85,16.75,44.48,11.93,12.26,12.66,13.87,15.89,16.32,16.57,16.66,16.73,2.13
HTTP Data Sent (KB),0.24,0.23,0.25,0.73,0.23,0.23,0.23,0.24,0.25,0.25,0.25,0.25,0.25,0.01
HTTP DNS Lookup (ms),0.49,0.44,0.59,1.48,0.44,0.44,0.44,0.45,0.45,0.52,0.56,0.58,0.59,0.07
HTTP Duration (excl. conn) (ms),2648.73,2222.27,2914.38,7946.20,2234.01,2281.00,2339.72,2515.91,2809.55,2861.97,2893.42,2903.90,2912.29,304.58
HTTP Receiving (ms),2416.42,1970.54,2720.83,7249.25,1982.29,2029.28,2088.01,2264.21,2557.88,2639.36,2688.24,2704.53,2717.57,322.22
HTTP Sending (ms),1.49,1.29,1.87,4.47,1.29,1.29,1.29,1.30,1.31,1.59,1.76,1.82,1.86,0.27
HTTP Total Time (ms),2650.33,2224.29,2915.74,7950.99,2236.03,2282.96,2341.62,2517.62,2810.96,2863.35,2894.79,2905.27,2913.65,304.28
HTTP Waiting (TTFB) (ms),230.83,192.26,250.36,692.48,193.42,198.02,203.78,221.06,249.85,250.11,250.26,250.31,250.35,27.27
Input Sequence Length (tokens),17.00,14.00,19.00,51.00,14.08,14.40,14.80,16.00,18.00,18.50,18.80,18.90,18.98,2.16
Inter Chunk Latency (ms),48.98,24.11,84.77,7249.17,24.26,32.86,39.74,44.20,49.02,54.85,57.84,60.32,63.08,8.45
Inter Token Latency (ms),15.76,15.23,16.15,47.29,15.24,15.29,15.36,15.57,15.91,16.03,16.10,16.13,16.15,0.39
OSL Mismatch Diff % (%),-0.27,-0.81,0.00,-0.81,-0.79,-0.73,-0.65,-0.40,0.00,0.00,0.00,0.00,0.00,0.38
Output Sequence Length (tokens),154.67,123.00,172.00,464.00,123.92,127.60,132.20,146.00,169.00,170.50,171.40,171.70,171.94,22.43
Output Token Throughput Per User (tokens/sec/user),63.48,61.91,65.68,190.44,61.93,62.01,62.10,62.38,62.85,64.26,65.11,65.40,65.62,1.60
Prefill Throughput Per User (tokens/sec/user),74.63,55.57,92.89,223.89,55.97,57.56,59.54,65.50,75.42,84.16,89.40,91.15,92.54,15.25
Reasoning Token Count (tokens),154.67,123.00,172.00,464.00,123.92,127.60,132.20,146.00,169.00,170.50,171.40,171.70,171.94,22.43
Request Latency (ms),2648.93,2222.46,2914.57,7946.79,2234.21,2281.19,2339.92,2516.11,2809.76,2862.16,2893.60,2904.09,2912.47,304.58
Time to First Token (ms),232.54,193.77,251.93,697.61,194.93,199.58,205.40,222.84,251.91,251.92,251.93,251.93,251.93,27.41
Time to Second Token (ms),35.44,24.11,58.01,106.31,24.11,24.12,24.13,24.15,24.20,41.10,51.24,54.63,57.33,15.96
Tokens In Flight (tokens),237.59,0.00,421.77,,,,,,262.79,,357.62,384.36,412.41,107.96

Metric,Value
Benchmark Duration (sec),2.91
Input Token Throughput (tokens/sec),17.48
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),158.99
Request Count,3.00
Request Throughput (requests/sec),1.03
Total Input Sequence Length (tokens),51.00
Total Output Sequence Length (tokens),464.00
Total Reasoning Tokens (tokens),464.00
Total Token Throughput (tokens/sec),176.46
