Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),107.46,0.00,282.69,,,,,,106.32,,122.29,125.82,172.35,14.43
Active Decode Throughput Per User (tokens/sec/user),107.46,0.00,282.69,,,,,,106.32,,122.29,125.82,172.35,14.43
Active Prefill Throughput (tokens/sec),1302.97,129.45,2000.27,,,,,,1399.67,,2000.27,2000.27,2000.27,730.09
Active Prefill Throughput Per User (tokens/sec/user),1302.97,129.45,2000.27,,,,,,1399.67,,2000.27,2000.27,2000.27,730.09
Active Total Throughput (tokens/sec),224.29,104.42,2000.27,,,,,,107.06,,114.07,1399.67,2000.27,422.04
Credit-to-Start Latency (ms),1.04,0.51,1.52,3.13,0.52,0.57,0.63,0.80,1.10,1.31,1.44,1.48,1.51,0.42
Decode Duration (ms),1129.06,639.96,1569.29,3387.19,650.72,693.75,747.55,908.95,1177.95,1373.62,1491.02,1530.15,1561.46,380.97
E2E Output Token Throughput (tokens/sec/user),97.07,94.30,101.69,291.21,94.32,94.39,94.49,94.76,95.22,98.45,100.39,101.04,101.56,3.29
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.05
Effective Decode Concurrency,0.90,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.30
Effective Decode Throughput (tokens/sec),96.75,0.00,282.69,,,,,,103.99,,122.18,125.78,145.69,34.98
Effective Decode Throughput Per User (tokens/sec/user),96.75,0.00,282.69,,,,,,103.99,,122.18,125.78,145.69,34.98
Effective Latency (CO-aware) (ms),1252.39,778.65,1663.08,3757.17,789.39,832.33,886.01,1047.04,1315.44,1489.26,1593.55,1628.32,1656.13,363.81
Effective Prefill Concurrency,0.10,0.00,1.00,,,,,,0.00,,0.00,1.00,1.00,0.30
Effective Prefill Throughput (tokens/sec),127.05,0.00,2000.27,,,,,,0.00,,0.00,1399.67,2000.27,448.76
Effective Prefill Throughput Per User (tokens/sec/user),127.05,0.00,2000.27,,,,,,0.00,,0.00,1399.67,2000.27,448.76
Effective Total Throughput (tokens/sec),223.81,0.00,2000.27,,,,,,107.06,,114.07,1399.67,2000.27,421.71
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,39.00,22.00,54.00,117.00,22.38,23.90,25.80,31.50,41.00,47.50,51.40,52.70,53.74,13.14
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.34,0.00,1.02,1.02,0.00,0.00,0.00,0.00,0.00,0.51,0.81,0.92,1.00,0.48
