Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),98.03,0.00,23133.75,,,,,,96.85,,118.27,124.30,137.95,36.51
Active Decode Throughput Per User (tokens/sec/user),98.03,0.00,23133.75,,,,,,96.85,,118.27,124.30,137.95,36.51
Active Prefill Throughput (tokens/sec),1775.10,89.34,3801.79,,,,,,1713.96,,2854.33,3188.38,3801.79,965.84
Active Prefill Throughput Per User (tokens/sec/user),1775.10,89.34,3801.79,,,,,,1713.96,,2854.33,3188.38,3801.79,965.84
Active Total Throughput (tokens/sec),282.46,66.79,3801.79,,,,,,100.59,,139.07,1938.34,2854.33,614.78
Credit-to-Start Latency (ms),0.98,0.51,1.87,49.10,0.54,0.61,0.68,0.75,0.92,1.11,1.42,1.55,1.80,0.31
Decode Duration (ms),1297.32,224.36,2455.54,64865.97,308.12,638.30,799.07,1034.04,1289.43,1615.17,1747.26,2122.79,2345.13,450.61
E2E Output Token Throughput (tokens/sec/user),88.53,63.14,106.63,4426.35,66.07,73.88,77.18,82.13,88.88,95.17,98.80,103.67,106.20,9.28
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.04
Effective Decode Concurrency,0.89,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.31
Effective Decode Throughput (tokens/sec),87.13,0.00,23133.75,,,,,,94.36,,117.45,123.46,136.88,46.20
Effective Decode Throughput Per User (tokens/sec/user),87.13,0.00,23133.75,,,,,,94.36,,117.45,123.46,136.88,46.20
Effective Latency (CO-aware) (ms),1459.08,420.42,2779.19,72953.81,457.86,785.81,962.16,1149.74,1402.32,1751.04,1919.11,2303.70,2603.37,470.08
Effective Prefill Concurrency,0.11,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.31
Effective Prefill Throughput (tokens/sec),194.93,0.00,3801.79,,,,,,0.00,,139.07,1938.34,2854.33,640.68
Effective Prefill Throughput Per User (tokens/sec/user),194.93,0.00,3801.79,,,,,,0.00,,139.07,1938.34,2854.33,640.68
Effective Total Throughput (tokens/sec),282.06,0.00,3801.79,,,,,,100.59,,139.07,1938.34,2854.33,614.44
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,43.60,10.00,83.00,2180.00,12.94,21.35,26.80,35.25,43.50,54.00,58.30,68.65,79.08,14.35
HTTP Chunks Sent,1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),12.87,3.25,24.20,643.74,4.09,6.53,8.08,10.42,12.84,15.80,17.20,19.94,23.00,4.10
HTTP Data Sent (KB),1.51,0.17,5.22,75.72,0.17,0.18,0.19,0.29,1.15,2.08,3.41,3.95,4.87,1.29
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),1457.99,419.35,2778.08,72899.35,456.87,784.83,960.96,1148.40,1400.81,1749.65,1918.27,2302.68,2602.40,470.08
HTTP Receiving (ms),1297.75,224.36,2455.56,64887.52,308.12,638.32,799.09,1034.04,1289.43,1615.16,1761.85,2122.79,2345.15,451.03
HTTP Sending (ms),0.22,0.10,0.54,11.15,0.10,0.12,0.14,0.18,0.23,0.26,0.28,0.29,0.42,0.07
HTTP Total Time (ms),1457.99,419.35,2778.08,72899.35,456.87,784.83,960.96,1148.40,1400.81,1749.65,1918.27,2302.68,2602.40,470.08
HTTP Waiting (TTFB) (ms),160.01,70.55,322.41,8000.67,70.59,79.25,81.10,108.72,156.01,194.47,248.14,277.04,317.80,64.57
Input Sequence Length (tokens),284.64,8.00,1029.00,14232.00,8.00,8.45,9.00,28.75,207.50,406.75,688.40,775.45,960.89,262.90
Inter Chunk Latency (ms),30.47,0.13,71.14,64865.97,21.21,24.39,25.30,27.20,30.50,33.24,35.08,36.93,45.65,4.64
Inter Token Latency (ms),10.09,8.01,14.79,504.53,8.12,8.91,9.03,9.43,9.91,10.60,11.37,11.64,13.40,1.09
OSL Mismatch Diff % (%),-0.04,-0.84,0.00,-1.78,-0.69,-0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15
Output Sequence Length (tokens),128.22,29.00,248.00,6411.00,38.80,67.40,83.20,104.00,125.50,155.00,169.90,189.95,222.52,39.81
Output Token Throughput Per User (tokens/sec/user),100.15,67.60,124.80,5007.65,75.51,85.92,87.98,94.31,100.89,106.09,110.75,112.26,123.15,9.90
Prefill Throughput Per User (tokens/sec/user),1425.82,89.34,3801.80,71290.91,89.70,104.80,112.93,297.43,1292.97,2281.34,2657.17,2884.23,3501.22,1003.28
Reasoning Token Count (tokens),128.22,29.00,248.00,6411.00,38.80,67.40,83.20,104.00,125.50,155.00,169.90,189.95,222.52,39.81
Request Latency (ms),1457.67,419.49,2778.19,72883.55,457.00,784.93,961.06,1148.50,1400.92,1749.77,1918.36,2302.82,2602.51,469.70
Time to First Token (ms),160.35,70.83,322.65,8017.58,70.87,79.56,81.37,109.08,156.43,194.87,248.51,277.40,318.09,64.55
Time to Second Token (ms),25.83,0.13,33.96,1291.50,7.34,16.26,20.40,23.43,26.19,29.50,30.70,32.22,33.71,5.73
Tokens In Flight (tokens),368.33,0.00,1193.00,,,,,,295.81,,826.64,956.66,1130.52,284.00

Metric,Value
Benchmark Duration (sec),73.01
Input Token Throughput (tokens/sec),194.93
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),87.81
Request Count,50.00
Request Throughput (requests/sec),0.68
Total Input Sequence Length (tokens),14232.00
Total Output Sequence Length (tokens),6411.00
Total Reasoning Tokens (tokens),6411.00
Total Token Throughput (tokens/sec),282.74
