Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),168.05,0.00,1270.67,,,,,,188.73,,239.21,248.46,273.58,70.64
Active Decode Throughput Per User (tokens/sec/user),46.89,0.00,334.08,,,,,,49.10,,62.11,66.90,97.62,17.64
Active Prefill Throughput (tokens/sec),1066.41,6.02,2805.96,,,,,,804.22,,2340.72,2737.48,2805.96,930.17
Active Prefill Throughput Per User (tokens/sec/user),965.20,5.78,2805.96,,,,,,804.22,,2340.72,2737.48,2805.96,871.63
Active Total Throughput (tokens/sec),512.47,35.42,2941.94,,,,,,195.89,,1896.77,2324.82,2941.94,710.90
Credit-to-Start Latency (ms),1.42,0.43,8.83,71.09,0.51,0.64,0.83,0.96,1.12,1.66,1.91,2.20,5.94,1.16
Decode Duration (ms),2630.09,456.11,5475.59,131504.35,659.32,1059.54,1394.75,1882.66,2577.56,3278.40,3950.29,4203.66,4898.19,1019.90
E2E Output Token Throughput (tokens/sec/user),43.85,27.17,72.59,2192.50,28.75,32.26,38.93,41.49,43.48,47.18,49.14,50.21,61.93,6.49
Effective Concurrency,3.89,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.49
Effective Decode Concurrency,3.45,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.86
Effective Decode Throughput (tokens/sec),167.28,0.00,1270.67,,,,,,188.47,,239.21,248.46,273.58,71.38
Effective Decode Throughput Per User (tokens/sec/user),46.68,0.00,334.08,,,,,,49.04,,62.11,66.90,97.62,17.88
Effective Latency (CO-aware) (ms),2970.52,734.33,5641.04,148525.99,901.01,1573.37,1684.06,2210.71,2912.79,3617.54,4290.86,4439.70,5109.72,1003.14
Effective Prefill Concurrency,0.44,0.00,4.00,,,,,,0.00,,1.00,2.00,3.00,0.76
Effective Prefill Throughput (tokens/sec),345.14,0.00,2805.96,,,,,,0.00,,1754.80,2194.97,2805.96,727.29
Effective Prefill Throughput Per User (tokens/sec/user),312.38,0.00,2805.96,,,,,,0.00,,1405.33,2007.72,2805.96,670.68
Effective Total Throughput (tokens/sec),512.42,0.00,2941.94,,,,,,195.89,,1896.77,2324.82,2941.94,710.89
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,43.96,8.00,87.00,2198.00,11.92,19.45,24.90,34.00,43.00,53.75,64.00,70.20,80.63,15.82
HTTP Chunks Sent,1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.09,0.00,4.48,4.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.29,0.63
HTTP Connection Overhead (ms),0.13,0.00,6.37,6.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.25,0.89
HTTP Connection Reused (ratio),0.98,0.00,1.00,49.00,0.49,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.14
HTTP Data Received (KB),12.98,2.70,25.17,648.82,3.81,5.99,7.53,10.11,12.67,15.78,18.58,20.46,23.39,4.50
HTTP Data Sent (KB),1.43,0.17,6.43,71.54,0.17,0.18,0.18,0.20,0.84,2.03,3.64,4.49,5.99,1.52
HTTP DNS Lookup (ms),0.04,0.00,1.89,1.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.26
HTTP Duration (excl. conn) (ms),2968.96,733.03,5638.55,148447.99,899.67,1572.43,1682.24,2209.74,2911.65,3615.91,4289.86,4438.53,5108.01,1002.93
HTTP Receiving (ms),2630.10,456.11,5475.60,131504.76,659.32,1059.55,1394.79,1882.67,2577.58,3278.40,3950.32,4203.66,4898.21,1019.90
HTTP Sending (ms),0.36,0.11,5.68,17.95,0.12,0.13,0.15,0.23,0.24,0.28,0.33,0.41,3.19,0.76
HTTP Total Time (ms),2969.09,733.03,5638.55,148454.36,899.67,1572.43,1682.24,2209.74,2911.65,3615.91,4289.86,4438.53,5108.01,1003.08
HTTP Waiting (TTFB) (ms),338.51,162.66,1500.72,16925.28,164.09,167.45,169.73,202.01,250.24,329.32,400.17,1043.16,1500.65,302.78
Input Sequence Length (tokens),263.14,6.00,1271.00,13157.00,6.49,7.45,8.90,12.25,149.00,385.00,708.10,876.45,1179.86,306.44
Inter Chunk Latency (ms),61.22,9.38,1331.68,131504.35,32.43,43.82,47.00,50.76,57.98,62.44,68.32,99.48,170.27,35.05
Inter Token Latency (ms),20.30,12.18,31.09,1014.84,13.21,16.59,17.42,18.86,20.20,21.90,22.59,23.44,27.75,2.79
OSL Mismatch Diff % (%),-0.07,-1.10,0.00,-3.28,-0.99,-0.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23
Output Sequence Length (tokens),128.54,29.00,249.00,6427.00,38.80,63.80,75.80,104.00,125.50,157.25,178.80,195.10,225.97,42.31
Output Token Throughput Per User (tokens/sec/user),50.25,32.17,82.09,2512.50,36.60,42.67,44.27,45.66,49.51,53.02,57.41,60.28,76.16,7.49
Prefill Throughput Per User (tokens/sec/user),835.56,5.33,2805.96,41777.98,5.66,16.01,34.91,62.03,707.18,1452.47,2024.24,2296.77,2772.41,808.81
Reasoning Token Count (tokens),128.54,29.00,249.00,6427.00,38.80,63.80,75.80,104.00,125.50,157.25,178.80,195.10,225.97,42.31
Request Latency (ms),2969.10,733.16,5638.68,148454.90,899.80,1572.54,1682.38,2209.87,2911.75,3616.00,4289.94,4438.69,5108.12,1002.95
Time to First Token (ms),339.01,163.09,1500.96,16950.55,164.51,167.82,170.18,202.45,250.63,329.53,400.55,1046.87,1500.89,303.21
Time to Second Token (ms),82.46,9.38,1331.68,4123.09,9.55,19.33,43.13,47.31,56.57,61.62,75.58,100.02,769.61,180.20
Tokens In Flight (tokens),1246.13,0.00,2827.67,,,,,,1160.85,,2317.18,2507.71,2746.06,721.39

Metric,Value
Benchmark Duration (sec),38.12
Input Token Throughput (tokens/sec),345.14
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),168.59
Request Count,50.00
Request Throughput (requests/sec),1.31
Total Input Sequence Length (tokens),13157.00
Total Output Sequence Length (tokens),6427.00
Total Reasoning Tokens (tokens),6427.00
Total Token Throughput (tokens/sec),513.73
