Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),159.16,0.00,336.16,,,,,,161.32,,191.54,194.27,205.39,28.91
Active Decode Throughput Per User (tokens/sec/user),61.23,0.00,336.16,,,,,,58.58,,75.18,85.49,114.37,16.05
Active Prefill Throughput (tokens/sec),212.17,58.25,240.27,,,,,,240.27,,240.27,240.27,240.27,45.87
Active Prefill Throughput Per User (tokens/sec/user),76.99,58.25,80.57,,,,,,80.09,,80.09,80.09,80.09,5.08
Active Total Throughput (tokens/sec),166.68,58.25,240.27,,,,,,177.41,,177.41,240.27,240.27,34.47
Credit-to-Start Latency (ms),1.80,1.66,1.94,5.41,1.66,1.68,1.69,1.73,1.81,1.87,1.91,1.93,1.94,0.11
Decode Duration (ms),2597.23,2147.85,2837.41,7791.69,2161.02,2213.71,2279.56,2477.14,2806.43,2821.92,2831.21,2834.31,2836.79,318.01
E2E Output Token Throughput (tokens/sec/user),54.84,51.93,57.69,164.53,51.99,52.23,52.52,53.42,54.91,56.30,57.14,57.41,57.64,2.35
Effective Concurrency,2.74,0.00,3.00,,,,,,3.00,,3.00,3.00,3.00,0.51
Effective Decode Concurrency,2.53,0.00,3.00,,,,,,3.00,,3.00,3.00,3.00,0.84
Effective Decode Throughput (tokens/sec),149.88,0.00,336.16,,,,,,159.46,,191.54,194.27,205.39,46.67
Effective Decode Throughput Per User (tokens/sec/user),57.66,0.00,336.16,,,,,,56.57,,75.18,85.49,114.37,21.17
Effective Latency (CO-aware) (ms),2817.50,2389.90,3079.58,8452.50,2401.76,2449.21,2508.52,2686.46,2983.02,3031.30,3060.27,3069.92,3077.64,304.92
Effective Prefill Concurrency,0.21,0.00,3.00,,,,,,0.00,,0.00,3.00,3.00,0.74
Effective Prefill Throughput (tokens/sec),16.54,0.00,240.27,,,,,,0.00,,0.00,240.27,240.27,58.31
Effective Prefill Throughput Per User (tokens/sec/user),6.00,0.00,80.57,,,,,,0.00,,0.00,80.09,80.09,20.69
Effective Total Throughput (tokens/sec),166.42,0.00,240.27,,,,,,177.41,,177.41,240.27,240.27,35.06
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,53.33,42.00,60.00,160.00,42.32,43.60,45.20,50.00,58.00,59.00,59.60,59.80,59.96,8.06
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),1.16,1.00,1.33,3.49,1.00,1.01,1.03,1.08,1.16,1.25,1.30,1.32,1.33,0.14
HTTP Connection Overhead (ms),1.76,1.47,2.10,5.27,1.48,1.49,1.52,1.59,1.70,1.90,2.02,2.06,2.09,0.26
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),15.64,12.38,17.52,46.93,12.47,12.84,13.31,14.70,17.03,17.28,17.42,17.47,17.51,2.32
HTTP Data Sent (KB),0.24,0.23,0.25,0.73,0.23,0.23,0.23,0.24,0.25,0.25,0.25,0.25,0.25,0.01
HTTP DNS Lookup (ms),0.59,0.47,0.77,1.78,0.47,0.48,0.49,0.51,0.54,0.65,0.72,0.75,0.76,0.13
HTTP Duration (excl. conn) (ms),2815.51,2387.73,3077.59,8446.53,2399.60,2447.08,2506.43,2684.47,2981.20,3029.40,3058.31,3067.95,3075.66,305.03
HTTP Receiving (ms),2597.27,2147.88,2837.44,7791.80,2161.05,2213.74,2279.60,2477.18,2806.49,2821.96,2831.25,2834.34,2836.82,318.02
HTTP Sending (ms),1.57,1.35,1.70,4.70,1.35,1.38,1.41,1.50,1.65,1.68,1.69,1.70,1.70,0.16
HTTP Total Time (ms),2817.27,2389.44,3079.69,8451.80,2401.30,2448.76,2508.08,2686.05,2982.67,3031.18,3060.29,3069.99,3077.75,305.10
HTTP Waiting (TTFB) (ms),216.67,173.37,238.45,650.02,174.66,179.85,186.34,205.79,238.21,238.33,238.40,238.42,238.44,30.62
Input Sequence Length (tokens),17.00,14.00,19.00,51.00,14.08,14.40,14.80,16.00,18.00,18.50,18.80,18.90,18.98,2.16
Inter Chunk Latency (ms),49.63,12.84,80.77,7791.69,25.70,35.78,39.34,45.12,49.77,56.46,59.62,61.86,64.00,8.69
Inter Token Latency (ms),16.92,16.41,17.46,50.76,16.42,16.46,16.51,16.65,16.89,17.18,17.35,17.40,17.45,0.43
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),155.00,124.00,172.00,465.00,124.90,128.50,133.00,146.50,169.00,170.50,171.40,171.70,171.94,21.95
Output Token Throughput Per User (tokens/sec/user),59.14,57.27,60.93,177.41,57.31,57.46,57.66,58.24,59.21,60.07,60.59,60.76,60.90,1.50
Prefill Throughput Per User (tokens/sec/user),80.09,58.25,102.90,240.27,58.66,60.33,62.42,68.69,79.13,91.01,98.14,100.52,102.42,18.24
Reasoning Token Count (tokens),155.00,124.00,172.00,465.00,124.90,128.50,133.00,146.50,169.00,170.50,171.40,171.70,171.94,21.95
Request Latency (ms),2815.70,2387.96,3077.77,8447.09,2399.83,2447.30,2506.64,2684.66,2981.36,3029.57,3058.49,3068.13,3075.84,305.01
Time to First Token (ms),218.47,174.93,240.36,655.40,176.24,181.45,187.97,207.52,240.11,240.23,240.31,240.33,240.35,30.78
Time to Second Token (ms),52.84,46.66,65.20,158.53,46.66,46.66,46.66,46.67,46.67,55.93,61.49,63.34,64.82,8.73
Tokens In Flight (tokens),234.35,0.00,419.75,,,,,,260.49,,366.66,393.20,410.90,108.43

Metric,Value
Benchmark Duration (sec),3.08
Input Token Throughput (tokens/sec),16.54
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),150.85
Request Count,3.00
Request Throughput (requests/sec),0.97
Total Input Sequence Length (tokens),51.00
Total Output Sequence Length (tokens),465.00
Total Reasoning Tokens (tokens),465.00
Total Token Throughput (tokens/sec),167.39
